market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-WAXP,왁스,6.08,5.9,5.606,6.735833333333333,0.2151511720076993,-5.244381020335364,12.408759124087581,-0.7510203827718256,-1.1188990923593505,,,11.09015031723909,,False,False,False,False,32.395779451667025,1.8487394957983128,11.0,A급,-0.16474464579901982,0.0014028639834435808,0.0,-0.011323745895142068,0.008813558648586906,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,30400.0,55062.0987723411,0.5521039095456817,5,0.0,complete,1788637560680,1788637942709,11852765.40381804,12642521.90838288,-0.03224116110577191,6.06,6.09,0.4950495049504955,0.33003300330034513,0.16420361247947104,33.333333333330344,complete_hourly_ordered,/v1/candles/minutes/60,120,False,14.436619718309874,5.68,2026-09-02T10:00:00,6.5,2026-09-03T10:00:00,D-3,6.4615384615384635,51.21951219512191,False,True,0.5521039095456817,,-95.03347813922122,0.0014028639834435808,0.16474464579900872,0.0,-0.011323745895142068,0.008813558648586906,0.025308524475113003,,-63.28388897048025,,0.017450230711489212,0.0,0.0,-0.022647491790284136,0.01762689922612104,0.05053693414543048,,-63.28388897048025,,0.017450230711489212,0.0,0.0,-0.022647491790284136,0.01762689922612104,0.05053693414543048,,,,0.02482203785112347,0.33003300330034513,0.0,0.0,0.0,0.0,,-95.37797238946663,,0.024971495794410714,-0.16420361247947435,0.0,-0.0339712376854262,0.026440021740759434,0.07568560881829178,,-95.37797238946663,,0.024971495794410714,-0.16420361247947435,0.0,-0.0339712376854262,0.026440021740759434,0.07568560881829178,0.5521039095456817,30400.0,-1053603.086156634,0.16474464579900872,85462.0987723411,3110379.1501830015,0.02747642478484106,-0.16420361247947435,False,True,rising,falling,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 5개 개선,S0,True,가격 미급등 상태에서 선행조건 5개 개선,2026-09-06T04:56:19.448542+09:00,2026-09-05T19:40:00Z,33988180301-1
KRW-CARV,카브,48.0,46.419999999999995,43.656000000000006,56.505833333333335,0.07185972980741084,-6.331317573758448,17.849189611692022,-0.6206644491592793,-0.9361194962145583,,,,,False,False,False,False,35.80409405024187,-0.6211180124223503,8.0,B급,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,0.0,0.0,,0,0.0,complete,,,3330103.6552518,1775566.22408137,0.3044727661423855,47.1,48.5,2.972399150743099,1.9108280254777066,1.0309278350515463,35.714285714285715,complete_hourly_ordered,/v1/candles/minutes/60,120,False,16.455696202531644,47.4,2026-09-02T03:00:00,55.2,2026-09-02T13:00:00,D-4,13.043478260869568,92.30769230769226,False,True,,,,0.0,0.0,0.0,0.0,0.0,,,-100.0,,0.08169419445849257,-0.20790020790021346,0.0,-0.014371945961477728,0.010586497015278695,,,-100.0,,0.08169419445849257,-0.20790020790021346,0.0,-0.014371945961477728,0.010586497015278695,,,,,0.08169419445849257,-0.20790020790021346,0.0,-0.014371945961477728,0.010586497015278695,,,,,0.09564524876152802,-0.4149377593361092,0.0,-0.02874389192297766,0.02117268178595566,,,,,0.09564524876152802,-0.4149377593361092,0.0,-0.02874389192297766,0.02117268178595566,,,0.0,0.0,0.0,0,1845271.964485406,0.0,-0.4149377593361092,False,False,flat_or_na,flat_or_na,unavailable,flat_or_na,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-05T19:40:00Z,33988180301-1
KRW-LSK,리스크,139.0,135.46666666666667,119.08,137.36666666666667,0.7936507936507908,-13.761056992498045,1.3831594273234693,-1.0968248934806362,-1.462609107684116,,,0.9456794847350249,,False,False,False,False,-81.98942035648062,0.0,12.0,A급,0.0,0.05803194610503226,0.0,0.0,0.0,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,5999.999999000001,3610145.0157,0.0016619830984370063,9,0.0,complete,1788637617639,1788637930781,930437.21645799,3929337.81086515,-0.6170863008156601,139.0,140.0,0.7194244604316502,0.0,0.7142857142857143,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.575757575757569,132.0,2026-09-03T08:00:00,142.0,2026-09-04T01:00:00,D-2,2.1126760563380254,30.0,False,True,,,,0.05803194610503226,0.0,0.0,0.0,0.0,0.0,,,,0.05803194610503226,0.0,0.0,0.0,0.0,0.0,,,,0.05803194610503226,0.0,0.0,0.0,0.0,0.0,,,,0.05803194610503226,0.0,0.0,0.0,0.0,0.0,,-40.00000000735999,,0.06575709427710308,0.0,0.0,0.0,0.0,0.0,,-40.00000000735999,,0.06575709427710308,0.0,0.0,0.0,0.0,0.0,,5999.999999000001,3610145.0157,0.0,3616145.015699,1024085.65139158,3.5310962620999495,0.0,False,False,rising,rising,sell_advantage_weakening,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S0,True,가격 미급등 상태에서 선행조건 3개 개선,2026-09-06T04:56:19.448542+09:00,2026-09-05T19:40:00Z,33988180301-1
KRW-0G,제로지,275.0,244.66666666666666,232.52,385.18333333333334,1.0184420589044896,-5.223923390102635,36.480463848383884,-1.4467865555570132,-1.5207757653031202,,,,,False,False,False,False,-28.49930047458781,-11.2540192926045,8.0,B급,1.845018450184499,0.09167616986593785,1.0,0.16515276630881814,-0.09561370051692819,False,False,False,True,2026-09-06T04:56:19.448542+09:00,1788638179,15015748.343073808,18620364.809007466,0.8064153681785036,24,0.0,complete,1788637325584,1788638127604,1117593.63860563,1892384.00249279,-0.2574073485823033,269.0,277.0,2.973977695167296,2.230483271375472,0.7220216606498195,25.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,21.355932203389827,295.0,2026-09-01T05:00:00,358.0,2026-09-01T11:00:00,D-4,23.184357541899438,131.74603174603178,False,True,-18.36317169377269,20.477071951238912,2763.9034061997377,0.09167616986593785,1.4760147601476037,1.0,0.16515276630881814,-0.09561370051692819,,0.7209323803880621,304.1301676919201,-57.16071945827487,0.11314482932809256,2.230483271375472,1.0,0.22020368841177973,-0.12749045117902114,,0.7209323803880621,304.1301676919201,-57.16071945827487,0.11314482932809256,2.230483271375472,1.0,0.22020368841177973,-0.12749045117902114,,-0.18507864800306895,-68.72906286495,-61.55213767834703,0.22561246601813068,2.6119402985074647,1.0,0.22020368841177973,-0.12749045117902114,,0.6548758325401504,187.63938930959677,-45.94753373099502,0.3929548161389569,3.7735849056603765,1.0,0.3027800715661888,-0.17531075073753044,,0.6548758325401504,187.63938930959677,-45.94753373099502,0.3929548161389569,3.7735849056603765,1.0,0.3027800715661888,-0.17531075073753044,,-18.36317169377269,2552174.901356049,17970190.478103064,1.4760147601476037,33636113.15208127,26774828.896946106,1.2562587526345594,3.7735849056603765,False,False,rising,rising,sell_advantage_accelerating,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S4,True,당일/5D 급등 후 상승분 상당 부분 반납,2026-09-06T04:56:19.448542+09:00,2026-09-05T19:40:00Z,33988180301-1
KRW-BORA,보라,32.0,30.48,29.982,37.27166666666667,0.41730726993189915,-1.660996597958779,18.222063229441492,-1.1211228527934887,-1.0661782854608515,,,,,False,False,False,False,-64.62940487730326,7.0234113712374535,8.0,B급,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,0.0,0.0,,0,0.0,complete,,,2991241.71573983,5130551.11707162,-0.26340359146925496,31.3,32.7,4.472843450479247,2.2364217252396124,2.1406727828746264,50.00000000000024,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.84745762711865,29.5,2026-09-01T02:00:00,32.7,2026-09-05T09:00:00,D-1,2.140672782874631,21.875000000000057,True,True,,,,0.0,0.0,0.0,0.0,0.0,,,-100.0,,0.00014557671464388022,0.0,1.0,0.06589062156818759,-0.04817803344339211,,,-100.0,,0.00014557671464388022,0.0,1.0,0.06589062156818759,-0.04817803344339211,,,,-100.0,0.04048876777807209,0.31347962382446415,1.0,0.021963540522706992,-0.016058626343859572,,,,-100.0,0.14338059220358446,0.31347962382446415,1.0,0.021963540522706992,-0.016058626343859572,,,,-100.0,0.14338059220358446,0.31347962382446415,1.0,0.021963540522706992,-0.016058626343859572,,,0.0,0.0,0.0,0,1999568.3481684672,0.0,0.31347962382446415,False,False,flat_or_na,flat_or_na,unavailable,flat_or_na,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T19:40:00Z,33988180301-1
KRW-PUNDIX,펀디엑스,133.0,125.4,115.32,144.25833333333333,0.5344735435595993,-8.740894901144653,13.072612789555766,-0.894596155737279,-1.3291789366233602,,,9.835103784269535,,False,False,False,False,398.8045982560102,7.258064516129026,13.0,A급,0.0,0.0,0.0,0.0,0.0,False,True,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,4126532.73363233,0.0,,2,0.0,complete,1788638081591,1788638081591,1078117.30407606,2488729.2115369,-0.39547872365302145,132.0,135.0,2.2727272727272707,0.7575757575757569,1.4814814814814816,66.66666666666666,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.999999999999996,120.0,2026-09-02T03:00:00,144.0,2026-09-03T19:00:00,D-3,7.638888888888884,45.83333333333329,False,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-100.0,0.28105162009654805,0.7575757575757569,0.0,0.05344735435597325,-0.04119425839339996,-0.0925282085913377,,,-100.0,0.28105162009654805,0.7575757575757569,0.0,0.05344735435597325,-0.04119425839339996,-0.0925282085913377,,,,0.45201245545592883,0.7575757575757569,0.0,0.05344735435597325,-0.04119425839339996,-0.0925282085913377,,144.1123203938752,,3.2067133493851543,0.0,0.0,0.0,0.0,0.0,,144.1123203938752,,3.2067133493851543,0.0,0.0,0.0,0.0,0.0,,4126532.73363233,0.0,0.0,4126532.73363233,12756900.955445485,0.3234745451144115,0.0,False,True,rising,flat_or_na,buy_only,flat_or_na,neutral,False,True,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S1,True,발사 구조 관찰 또는 초기 준비,2026-09-06T04:56:19.448542+09:00,2026-09-05T19:40:00Z,33988180301-1
KRW-USD1,월드리버티파이낸셜유에스디,1363.0,1379.9333333333334,1414.1,1462.1166666666666,-0.05311443746982558,2.4161421870211806,5.620846489678195,-0.08017960282865717,0.0028682553715698943,,,,,False,False,False,False,-18.36116368275872,-1.1602610587382212,5.0,관찰,0.0,0.18809605397569484,-2.0,-0.019314340898113347,0.016086376146748904,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,0.0,0.0,,0,0.0,complete,,,40906.23874257,23786.8102963,0.26462546905130424,1371.0,1372.0,0.07293946024800047,-0.5835156819839482,0.6559766763848397,899.999999999924,complete_hourly_ordered,/v1/candles/minutes/60,120,False,0.9454545454545382,1375.0,2026-09-01T04:00:00,1388.0,2026-09-02T07:00:00,D-4,1.8011527377521652,192.30769230769266,True,True,,,-100.0,0.18809605397569484,0.0,-2.0,-0.019314340898113347,0.016086376146748904,,,-100.0,,0.19965699690600758,-0.2926115581565525,0.0,-0.004828585224525561,0.004021662799507553,,,-100.0,,0.19965699690600758,-0.2926115581565525,0.0,-0.004828585224525561,0.004021662799507553,,,-100.0,-100.0,0.299944907988948,-0.07331378299120228,-2.0,-0.019314340898113347,0.016086376146748904,,,-100.0,,4.895214162246642,-0.3654970760233911,-2.0,-0.024142926122638908,0.020107855581341205,,,-100.0,,4.895214162246642,-0.3654970760233911,-2.0,-0.024142926122638908,0.020107855581341205,,,0.0,-325756.9999999999,0.0,0,39999.99997422,0.0,-0.3654970760233911,False,False,flat_or_na,falling,unavailable,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T19:40:00Z,33988180301-1
KRW-BAT,베이직어텐션토큰,97.6,95.5,96.522,121.75916666666667,-0.06278777731268947,1.0588259671370315,21.566480278692232,-0.9168386187616926,-0.6987757498868639,1.1548662386921604,,,,False,False,False,False,13.787883787895282,4.162219850586979,5.0,관찰,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,0.0,0.0,,0,0.0,complete,,,861451.57188833,695284.14597489,0.10674093489775,97.1,98.6,1.5447991761071034,0.5149330587023604,1.0141987829614605,66.66666666666714,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.36728060671723,92.3,2026-09-03T10:00:00,99.1,2026-09-04T04:00:00,D-2,1.5136226034308753,22.058823529411747,True,True,,,-100.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0074803390051272345,0.0,0.0,0.0,0.0,,,,,0.0074803390051272345,0.0,0.0,0.0,0.0,,,,-100.0,0.065573699055399,0.0,0.0,0.0,0.0,,,-100.0,,0.12765411982114117,-0.2044989775051187,0.0,-0.013952839402819883,0.009876827938370525,,,-100.0,,0.12765411982114117,-0.2044989775051187,0.0,-0.013952839402819883,0.009876827938370525,,,0.0,-32832.64,0.0,0,1131665.359516864,0.0,-0.2044989775051187,False,False,flat_or_na,falling,unavailable,flat_or_na,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T19:40:00Z,33988180301-1
KRW-HUNT,헌트,121.0,120.06666666666666,115.2,125.525,0.2783964365256075,-4.224537037037032,4.348403372502165,-0.7402894778862669,-0.9024613742901135,,,4.818381701845876,,False,False,False,False,187.56240824357863,5.1724137931034475,13.0,A급,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,0.0,285935.74524097,0.0,4,0.0,complete,1788637955722,1788637955722,1719781.38713251,3478686.99892119,-0.33835073740323607,122.0,123.0,0.8196721311475308,-0.8196721311475419,1.6260162601626018,200.00000000000136,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.344827586206895,116.0,2026-09-01T07:00:00,128.0,2026-09-03T13:00:00,D-3,5.46875,58.33333333333329,False,True,,-100.0,,0.0,-0.8196721311475419,0.0,0.0,0.0,0.0,,,,0.002668462979386277,-0.8196721311475419,0.0,0.0,0.0,0.0,,,,0.002668462979386277,-0.8196721311475419,0.0,0.0,0.0,0.0,,,,0.8924799404467478,-0.8196721311475419,0.0,0.0,0.0,0.0,-0.005219785123412658,-100.0,-85.58505747132227,1.2410461401814814,0.0,0.0,0.0,0.0,0.0,-0.005219785123412658,-100.0,-85.58505747132227,1.2410461401814814,0.0,0.0,0.0,0.0,0.0,,-15264.84763546,285935.74524097,-0.8196721311475419,285935.74524097,1820142.14876026,0.15709528260511263,0.0,False,False,falling,rising,sell_only,flat_or_na,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S1,True,발사 구조 관찰 또는 초기 준비,2026-09-06T04:56:19.448542+09:00,2026-09-05T19:40:00Z,33988180301-1
KRW-PENGU,펏지펭귄,11.8,12.42,9.9758,10.50225,-0.2676659528908054,-24.50129312937309,-18.260372777262013,-0.5642449424268523,-1.5330647995262843,,,,,False,False,False,False,9.552724999404916,-2.4793388429751984,7.0,B급,-0.8403361344537785,0.1290971416312061,0.0,-0.053533190578169965,0.05409043592143448,False,False,False,False,2026-09-06T04:56:19.448542+09:00,1788638179,0.0,6936379.173438413,0.0,37,0.0,complete,1788637284347,1788637473517,60017800.9456366,116880891.49408491,-0.3214443801941865,11.4,11.9,4.385964912280693,3.5087719298245723,0.8403361344537785,19.999999999999595,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.71428571428572,11.2,2026-09-02T19:00:00,12.4,2026-09-04T00:00:00,D-2,4.8387096774193505,50.0,False,False,,-100.0,,0.1290971416312061,-0.8403361344537785,0.0,-0.053533190578169965,0.05409043592143448,,-0.0008374831647228807,-100.0,-71.32319783331586,0.18379721341334943,0.0,0.0,0.0,0.0,,-0.0008374831647228807,-100.0,-71.32319783331586,0.18379721341334943,0.0,0.0,0.0,0.0,,,-100.0,,0.34396932638960465,-0.8403361344537785,0.0,-0.053533190578169965,0.05409043592143448,,-1.4409401286890755,-100.0,-47.563099308236076,0.5335327014819313,0.0,0.0,0.0,0.0,,-1.4409401286890755,-100.0,-47.563099308236076,0.5335327014819313,0.0,0.0,0.0,0.0,,,-99999.999999907,6936379.173438413,-0.8403361344537785,6936379.173438413,34711807.36614584,0.19982765807243474,0.0,False,False,falling,rising,sell_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T19:40:00Z,33988180301-1
