market,snapshot_kst,snapshot_epoch,price,value_accel_pct,launch_score,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_value_accel_pct,delta_price_pct_15m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate
KRW-QUID,2026-09-03T16:04:14.534971+09:00,1788419054,88.0,,,0.0,358521.909601795,0.0,12,0.0,complete,1788418452671,1788419010939,1148660.92582279,686726.84962853,0.2516820054991763,89.3,89.3,0.0,-1.4557670772676334,1.4557670772676339,,-12.698740557167309,-100.0,2.434831315051156,,-0.3397508493771184,-0.36729172758159134,-100.0,-93.47894934480159,,-0.3397508493771184,,-100.0,,,-0.22675736961451642,,,,,,-12.698740557167309,-4444559.194997599,8521.909602658008,,-0.3397508493771184,falling,rising,sell_only,flat_or_na,neutral,False,False,False,pass
KRW-RAY,2026-09-03T16:04:14.534971+09:00,1788419054,1109.0,-85.52976702365473,9.0,15402301.322763043,4807418.651470269,3.2038610404884342,62,0.0,complete,1788418912784,1788419080738,29746.67869056,12451.37450109,0.409860239545182,1097.0,1111.0,1.2762078395624377,1.0938924339106704,0.18001800180018002,14.28571428571354,,,,0.26428688890040064,0.2712477396021651,-63.014531980890425,1048.9448645527427,23646.748575977464,0.26492912795701784,0.09025270758122872,1.3846594047348217,41721.24790654742,23646.748575977464,0.2854559365829914,1.0938924339106704,,,,,,,15402301.322763043,4807418.651470269,0.26428688890040064,0.2712477396021651,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-RE,2026-09-03T16:04:14.534971+09:00,1788419054,624.0,,,3992235.0439438303,3250636.5007460397,1.2281394868443734,8,0.0,complete,1788418193472,1788418821585,362566.89556431,284958.15577348,0.11985442050541514,638.0,641.0,0.4702194357366851,-2.1943573667711602,2.65210608424337,566.6666666666588,0.3401001171232634,-72.6854799915748,-80.24949983910885,,0.16051364365972098,-185.23253662024365,-72.51984751277244,4072.13831749685,,-0.31948881789137795,0.41349706565151567,-52.92617281624929,-68.77525968135878,,-0.4784688995215336,,,,,,0.3401001171232634,-10623562.86395431,-13207865.685354393,,0.16051364365972098,falling,falling,buy_advantage_accelerating,flat_or_na,neutral,False,False,False,pass
KRW-RED,2026-09-03T16:04:14.534971+09:00,1788419054,171.0,14.191598685204166,13.0,48831642.607322805,76121921.77909656,0.6414925092016293,190,0.0,complete,1788418175562,1788419244571,1261339.54041432,1984839.32764231,-0.22287736339714487,158.0,175.0,10.759493670886066,8.227848101265822,2.2857142857142856,23.529411764705817,0.2950837309809022,-59.21611811360301,-77.97652428872767,2.1905819584504336,1.183431952662728,-1.0842436541903866,-52.047663094505104,29.000854616308214,15.451143086808829,1.183431952662728,-6.9068718262406215,60.99106097097658,1794.3622342071176,17.65749463079919,2.39520958083832,,,,,,0.2950837309809022,-70901056.55883983,-269517988.91009086,2.1905819584504336,1.183431952662728,falling,falling,sell_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-RENDER,2026-09-03T16:04:14.534971+09:00,1788419054,1967.0,-52.586084303571056,7.0,12510647.116352262,111182.11260567998,112.5239197488781,33,0.0,complete,1788418808646,1788419152065,40984.90243269,30188.38873886,0.15169333209289154,1940.0,1971.0,1.5979381443298912,1.3917525773195827,0.20294266869609334,12.903225806451612,112.5239197488781,,-72.79967133776273,0.0167530061833574,0.2548419979612637,109.8893400929757,79043.85326474723,1753.035213902654,0.0258777011588478,0.40837161817253165,112.0918018557421,5543.287629894857,-78.32846948068641,0.02609856338513339,0.40837161817253165,,,,,,112.5239197488781,12510647.116352262,-297570.71529685997,0.0167530061833574,0.2548419979612637,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass
KRW-RLUSD,2026-09-03T16:04:14.534971+09:00,1788419054,1374.0,,,0.0,0.0,,0,0.0,complete,,,61906.27194275,201966.72722302,-0.5307873701480209,1375.0,1431.0,4.072727272727272,-0.07272727272726875,3.9832285115303985,101.78571428571419,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,0.0,flat_or_na,flat_or_na,unavailable,flat_or_na,neutral,False,False,False,pass
KRW-RVN,2026-09-03T16:04:14.534971+09:00,1788419054,3.95,11.880731719648807,7.0,16761605.095626066,9874647.723178381,1.6974382849407574,100,0.0,complete,1788418192435,1788419129474,23601477.90114397,54580884.02222216,-0.39624546200643074,3.86,4.02,4.145077720207246,2.3316062176165886,1.7412935323382936,43.7499999999997,1.2305000359629905,459.9212106157943,54.025411097390915,0.10150564916653337,0.7653061224489832,1.2524237554509468,214.1973264148937,-17.627417372431665,0.13364917313596436,0.2538071065989911,-4.424383857413732,244.32838084456674,1141.822530336593,0.23389606516099803,-1.0025062656641603,,,,,,1.2305000359629905,13768040.147944968,3463596.6811301317,0.10150564916653337,0.7653061224489832,rising,rising,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-SAFE,2026-09-03T16:04:14.534971+09:00,1788419054,130.0,590.9782755761453,10.0,0.0,1244961.937635,0.0,1,0.0,complete,1788418862887,1788418862887,1336631.513173,2879039.66570582,-0.36587487189715584,132.0,132.0,0.0,-1.5151515151515138,1.5151515151515151,,0.0,,-91.26556199312479,0.16227741220382086,0.0,-13.128422480753649,-100.0,2417.795162738874,2.0201807149252318,0.0,,-100.0,,2.2883238249679607,0.0,,,,,,0.0,0.0,-13008524.510549098,0.16227741220382086,0.0,flat_or_na,falling,sell_only,accelerating,neutral,False,False,False,pass
KRW-SAHARA,2026-09-03T16:04:14.534971+09:00,1788419054,12.0,5.693043783139862,6.0,14245406.526885841,14534173.472796496,0.9801318632634227,44,0.0,complete,1788418178711,1788419169132,64552098.91591479,81110396.61724465,-0.11367577934678753,11.7,12.4,5.982905982905984,2.564102564102577,3.2258064516129057,57.142857142856926,-1.3848666997461727,55.057108412172305,274.1433702177813,0.1851284137605047,0.0,0.9236794848174364,451.1956919046085,-68.25293721847574,0.6359925688831813,0.0,0.33973880294642145,59.09490131649802,3.948534430536177,0.7451329997421929,0.0,,,,,,-1.3848666997461727,5058206.615341801,10649519.987065492,0.1851284137605047,0.0,rising,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-SAND,2026-09-03T16:04:14.534971+09:00,1788419054,50.7,30.247890222767772,6.0,3184084.6620487524,13743593.758745808,0.2316777342187187,13,0.0,complete,1788418460790,1788419166771,8271778.56590974,5135695.30949188,0.23390560261851848,51.1,51.4,0.5870841487279899,-0.7827788649706457,1.3618677042801473,233.33333333333206,-1.3929262606888262,4.472904960152113,632.599959725202,0.020548876454910214,0.0,-0.301010568010752,-30.26869040669692,60.33069835026485,0.056339370540637645,0.3960396039603964,-0.49735882159255174,-74.87331497788222,-20.93210006022521,0.15402020569888109,0.0,,,,,,-1.3929262606888262,136323.46189525723,11867591.231541052,0.020548876454910214,0.0,rising,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-SC,2026-09-03T16:04:14.534971+09:00,1788419054,0.951,1122.9581808035643,14.0,5550571.442909282,7872686.248130981,0.7050416170499642,55,0.0,complete,1788418156589,1788419192686,134475118.65320688,38750817.68432514,0.5525979711396232,1.05,1.05,0.0,-9.428571428571441,9.428571428571436,,-0.0740613945114954,-70.91023921103489,-67.85449299983799,0.14799319565690894,0.0,-0.1782682010105029,-52.88734003332024,-40.97500899643571,0.8076748602334192,0.10526315789474161,-4.075976554112696,34.628125360735204,812.9383260983097,1.0728665671194904,-0.3144654088050314,,,,,,-0.0740613945114954,-13530271.06788522,-16618096.392476626,0.14799319565690894,0.0,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-SEI,2026-09-03T16:04:14.534971+09:00,1788419054,66.5,2.1519646451565677,12.0,11045363.34771195,16537040.975444634,0.6679165495273844,53,0.0,complete,1788418205309,1788419089976,2974039.33605555,2196943.23357246,0.15028016281613435,67.5,68.4,1.333333333333342,-1.4814814814814836,2.777777777777786,211.11111111111055,0.5941574749843409,1159.4579855185311,39.0839252350103,0.22207953148072335,-0.2998500749625266,-0.059050172303515835,376.07593359468245,418.16557178109275,0.5148100073159023,-0.5979073243647326,,155.01094113257477,,0.5682757731799271,-0.5979073243647326,,,,,,0.5941574749843409,10168369.95255995,4647068.106544096,0.22207953148072335,-0.2998500749625266,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass
