market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate
KRW-ZRX,제로엑스,135.0,133.53333333333333,121.38,133.40833333333333,1.3151239251390834,-10.012632503981987,-0.09369729527140984,-1.3615743580105026,-1.4919972704884283,,,,,False,False,True,False,-14.342984424186412,1.5037593984962516,9.0,B급,0.746268656716409,0.001145388544076198,0.0,0.05058168942841945,-0.043722282777659556,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,7874.99999955,0.0,,1,0.0,complete,1788416032218,1788416032218,1065830.16798394,1406408.8916947,-0.13776124213288296,133.0,135.0,1.5037593984962516,1.5037593984962516,0.0,0.0,,,,0.001145388544076198,0.746268656716409,,,,,,,,,,,,,,,,,7874.99999955,0.0,0.746268656716409,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass
KRW-GMT,스테픈,10.2,9.908666666666667,9.7364,12.065166666666666,1.0332404323295519,-1.7693055612615263,17.873768838667786,-1.232841400558501,-1.1346674307885132,,,,,False,False,False,False,-49.62531235256106,6.360792492179357,9.0,B급,0.0,0.12460752056102109,0.0,0.0,0.0,False,False,False,True,2026-09-03T15:24:42.648780+09:00,1788416682,459974.29856472596,6481072.871877319,0.07097193746434284,9,0.0,complete,1788415839469,1788416783289,8175992.32636465,36377705.47159657,-0.6329825477813074,9.93,10.8,8.761329305135956,2.7190332326283873,5.555555555555569,68.96551724137946,-0.902720563296935,-96.45720843594077,-51.395020328733374,0.12460752056102109,0.0,,,,,,,,,,,,,,,,-0.902720563296935,-12523411.549788726,-6853101.765600572,0.0,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-TFUEL,쎄타퓨엘,12.3,12.273333333333333,11.265999999999998,12.731666666666666,0.9873834339001686,-8.94135747677379,3.599947637125269,-1.078544809465789,-1.3460152311014129,,,2.674522214863435,,False,False,False,False,-53.70364902590345,-3.90625,11.0,A급,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,0.0,0.0,,0,0.0,complete,,,6251566.18764485,25079091.85185132,-0.6009297870626287,12.2,12.4,1.6393442622950838,0.819672131147553,0.8064516129032229,49.999999999999325,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,flat_or_na,flat_or_na,unavailable,flat_or_na,neutral,False,False,False,pass
KRW-CFG,센트리퓨즈,140.0,175.86666666666667,220.82,297.10833333333335,-1.6772269847185939,20.3574555444857,40.80722519844052,1.0430459098262361,1.1015318115087738,,,,,False,False,False,False,2.9087518862431327,-18.6046511627907,2.0,-,-0.7092198581560294,0.606524652959961,0.0,-0.0372717107715137,0.020777675020987374,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,5137554.80555283,22724678.708646458,0.2260782152927889,25,0.0,complete,1788415860620,1788416898765,1648241.85496503,1024147.08306353,0.23353440923980887,142.0,144.0,1.4084507042253502,-1.4084507042253502,2.7777777777777777,200.0,-3.5013223773709137,-48.452805299943414,749.869784341272,0.606524652959961,-0.7092198581560294,,,,,,,,,,,,,,,,-3.5013223773709137,-4829146.264112151,20050777.467851058,-0.7092198581560294,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-AZTEC,아즈텍,17.5,19.006666666666668,19.186,23.575,-0.27981811822314073,0.9347093366690932,19.377872039589956,-0.6277467501793046,-0.5874853329852087,1.4889911200688977,,,,False,False,False,False,-64.33257716701108,-5.913978494623661,4.0,-,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,0.0,0.0,,0,0.0,complete,,,4490845.002441,5434444.84029464,-0.09507025515675634,17.5,17.6,0.5714285714285783,0.0,0.5681818181818262,100.0,,-100.0,-100.0,0.0,0.0,,,,,,,,,,,,,,,,,-90002.5,-424731.52692303597,0.0,falling,falling,unavailable,flat_or_na,neutral,False,False,False,pass
KRW-XPL,플라즈마,118.0,124.0,116.78,128.24083333333334,0.37776578521317994,-6.182565507792429,3.306929020267862,-0.7803391879019376,-0.5274497606568154,,,6.269656879073857,,False,False,False,False,-43.97145315398841,-2.4793388429752095,11.0,A급,0.8547008547008517,0.0893310168177095,1.0,0.05396654074474316,-0.04570519232773629,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,70680242.62298684,1721738.49114894,41.05167131148989,150,0.0,complete,1788415910075,1788416865062,8297357.2264269,10567686.44278253,-0.12034582353292649,115.0,119.0,3.4782608695652195,2.60869565217392,0.8403361344537815,24.99999999999984,40.835031863879664,970.3755262132928,-94.35137339537621,0.0893310168177095,0.8547008547008517,,,,,,,,,,,,,,,,40.835031863879664,64076929.9638274,-28758918.34213472,0.8547008547008517,rising,falling,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-ZAMA,자마,73.6,72.78,69.41199999999999,56.685833333333335,0.8685207428624109,-4.852186941739194,-28.39186745659556,-0.5508651027700366,-0.9052527993237476,,,,,False,False,False,False,-59.62756706733422,1.7980636237897585,6.0,관찰,0.1360544217686943,0.368435775519508,0.0,0.009239582370867971,-0.009873395850505062,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,13822241.82033031,693754.790699302,19.923814589298257,9,0.0,complete,1788415837448,1788416812707,1851850.70088772,1154217.86072442,0.23207482659316422,73.8,75.3,2.0325203252032464,-0.27100271002710175,2.2576361221779586,113.33333333333344,-1.6454299093490832,-7.628593154722097,0.0,0.368435775519508,0.1360544217686943,,,,,,,,,,,,,,,,-1.6454299093490832,-1141524.8823708445,0.0,0.1360544217686943,falling,flat_or_na,buy_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-MASK,마스크네트워크,598.0,590.3333333333334,543.02,592.75,0.8886863392958855,-8.713000135047217,0.4077042035709201,-1.086193790901869,-1.2054854008386293,,,0.3382074998894963,,False,False,False,False,-88.51989340004576,0.6734006734006703,12.0,A급,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,0.0,0.0,,0,0.0,complete,,,70584.04557407,42536.10829471,0.24794818889563885,597.0,604.0,1.1725293132328396,0.16750418760469454,0.9933774834437087,85.71428571428544,,,-100.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,-6045.78,0.0,flat_or_na,falling,unavailable,flat_or_na,neutral,False,False,False,pass
KRW-COMP,컴파운드,27800.0,26622.0,24831.0,26477.916666666668,0.7569449701006814,-7.2127582457412105,-0.5441641619588605,-0.4771277707223237,-0.8308543199392506,,,,,False,False,True,False,11.595394437226748,8.930669800235025,8.0,B급,0.7608695652173925,0.4725689622130833,0.0,0.05298614790705258,-0.04623205950193843,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,2786712.4230926,11009331.822121203,0.2531227569590754,30,0.0,complete,1788415974640,1788416863375,1916.11393568,1122.22954801,0.2612885580355271,26410.0,27920.0,5.7175312381673615,5.263157894736836,0.42979942693409745,7.947019867549781,-1.8065458719001741,-55.31408512554585,263.610835013419,0.4725689622130833,0.7246376811594235,,,,,,,,,,,,,,,,-1.8065458719001741,-3449508.611929099,7981553.009722803,0.7246376811594235,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-ZETA,제타체인,46.9,45.61333333333334,44.004,55.755,1.0336680448907343,-3.6572432809138697,18.18969898065943,-1.2556088916276074,-1.3064721949134217,,,13.922760125687052,,False,False,False,False,-3.1832619141959007,0.21367521367521292,11.0,A급,0.0,0.00894933269054432,0.0,0.0,0.0,False,False,False,True,2026-09-03T15:24:42.648780+09:00,1788416682,746532.1474244249,0.0,,6,0.0,complete,1788415873373,1788416873138,1222866.83357288,2413840.21859552,-0.3274867532463243,46.1,47.3,2.6030368763557465,1.7353579175704903,0.8456659619450289,33.33333333333362,,-9.317651203550259,-100.0,0.00894933269054432,0.0,,,,,,,,,,,,,,,,,-76706.50632960314,-2021137.91357401,0.0,falling,falling,buy_only,accelerating,neutral,False,False,False,pass
KRW-RED,레드스톤,169.0,155.13333333333333,139.06,156.41666666666666,1.660113586719092,-11.558559854259546,0.8204581779435257,-1.5898509084725339,-1.567352485074584,,,0.5234675580359216,,False,False,False,False,-1.259544401604662,11.111111111111116,13.0,A급,1.7964071856287456,2.206351543990359,0.0,0.087374399300999,-0.07468248701811475,False,False,False,True,2026-09-03T15:24:42.648780+09:00,1788416682,101833707.71597816,59008850.75956176,1.7257361633920159,257,0.0,complete,1788415891272,1788416906892,1161284.62070627,1151902.6755913,0.004055851910472828,158.0,175.0,10.759493670886066,6.962025316455689,3.428571428571429,35.29411764705883,-5.822628172050235,235.73141865486113,1368.4881273396102,2.206351543990359,1.1976047904191711,,,,,,,,,,,,,,,,-5.822628172050235,71501810.83126469,54990510.422928244,1.1976047904191711,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-TIA,셀레스티아,499.0,491.53333333333336,481.68,540.5083333333333,0.7240437158470003,-2.0456181143774606,9.060914879511564,-1.2233728621559563,-0.7560782070623329,,,11.984097405368756,,False,False,False,False,7.406273020548371,5.944798301486198,11.0,A급,0.0,0.34730948179910737,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,890399.8129058799,4610338.332781999,0.19313112154365236,19,0.0,complete,1788416228746,1788416846522,118380.19357162,100451.71869885,0.08192806381279029,491.0,500.0,1.8329938900203624,1.6293279022403295,0.2,11.111111111110707,,9793.33125686219,,0.34730948179910737,0.0,,,,,,,,,,,,,,,,,881399.8129080199,4610338.332781999,0.0,rising,rising,sell_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-ADA,에이다,282.0,288.73333333333335,264.34,282.73333333333335,0.6039488966318229,-9.228014425865695,-2.1221410044800755,-0.3909954638606967,-0.9405118643039618,,,,,False,False,False,False,-37.67292173626865,0.3558718861210064,8.0,B급,0.0,0.05083738021637174,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,11197916.787087638,14391961.011470221,0.7780674765699429,45,0.0,complete,1788415821831,1788416863731,6584823.67546316,5250593.08711618,0.1127320326028135,277.0,286.0,3.2490974729241895,1.8050541516245522,1.3986013986013985,44.44444444444437,-0.0031417703542606645,-41.85649798395848,-41.621719463550185,0.05083738021637174,0.0,,,,,,,,,,,,,,,,-0.0031417703542606645,-8061185.948069565,-10260976.483809847,0.0,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-ELF,엘프,88.1,88.16666666666667,86.366,95.27749999999999,0.6315629280170487,-2.0849253950242823,7.463287064976851,-0.9393014621971018,-1.01538687044849,,,7.350190633921003,,False,False,False,False,-56.485816039184144,-2.219755826859049,12.0,A급,0.0,0.004484420578243942,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,6155.922038490001,6000.000000199,1.0259870063809715,2,0.0,complete,1788416828784,1788416835602,1159677.19395711,689846.91247031,0.25402766033384344,88.7,90.0,1.465614430665152,-0.6764374295377795,2.1111111111111174,146.15384615384733,1.0259870063809715,,-96.5947786605,0.004484420578243942,0.0,,,,,,,,,,,,,,,,1.0259870063809715,6155.922038490001,-170199.999999801,0.0,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass
KRW-SOON,쑨,259.0,272.4,281.76,263.45,-0.3900536323744541,3.3219761499148257,-3.3972290757259405,0.4338966868314034,0.41774972286888123,,,,8.1322114408493,False,False,False,False,-37.405875172032935,-6.810035842293905,0.0,-,0.38610038610038533,0.08624448462076373,0.0,0.024378352023401995,-0.022035326319056914,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,10199.9999998,7037351.76534775,0.0014494088600239196,8,0.0,complete,1788415932821,1788416646472,436750.66237056,795447.12259246,-0.2911029906068732,260.0,261.0,0.38461538461538325,-0.38461538461538325,0.7662835249042145,200.0,-10.881841323682401,-97.81047740113037,16340.641192559568,0.08624448462076373,0.0,,,,,,,,,,,,,,,,-10.881841323682401,-455654.97701965994,6994547.15886724,0.0,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-STEEM,스팀,60.0,60.25333333333333,55.54,64.42833333333333,1.084889833351954,-8.48637618533189,6.480068292935299,-1.1852036294248276,-1.3275531599432702,,,4.881211908088268,,False,False,False,False,-5.999572643354389,-5.80847723704867,12.0,A급,0.0,0.20313410125311115,0.0,0.0,0.0,False,False,False,True,2026-09-03T15:24:42.648780+09:00,1788416682,729657.3551573651,4907341.185068304,0.14868690144828584,22,0.0,complete,1788416200021,1788416463088,604181.71142776,1508567.76002051,-0.42806118795183123,58.6,63.3,8.020477815699657,2.3890784982935065,5.21327014218009,70.2127659574469,-0.6087191260142899,-83.44056319559586,-15.646791177475894,0.20313410125311115,0.0,,,,,,,,,,,,,,,,-0.6087191260142899,-3676635.949233913,-910269.376010837,0.0,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-ELSA,헤이엘사,63.0,62.60666666666667,69.196,76.55083333333333,0.22411953041623356,9.522708441721095,18.215564820761795,-0.7435579912053889,-0.7258951288110502,12.806947883491565,,,,False,False,False,False,3.4695365738684147,-2.1739130434782705,5.0,관찰,-0.15847860538827918,0.001697922279686459,0.0,-0.010672358591246045,0.00781841854977472,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,32339.679183000004,0.0,,1,0.0,complete,1788416388971,1788416388971,647839.01043251,1055814.10494823,-0.23947075307319465,63.3,63.4,0.15797788309637184,-0.4739336492890933,0.6309148264984206,399.99999999998596,,,-100.0,0.001697922279686459,-0.15847860538827918,,,,,,,,,,,,,,,,,32339.679183000004,-1893000.0,-0.15847860538827918,rising,falling,buy_only,accelerating,neutral,False,False,False,pass
