market,name,date,entry,ma15,ma50,ma120,ma15_above_50,ma50_above_120,value_accel_pct,ret3_pct,dd3_pct,ret7_pct,dd7_pct,ret14_pct,dd14_pct,ret30_pct,dd30_pct
KRW-PENGU,펏지펭귄,2026-08-28,12.7,10.982,9.501,10.723083333333333,True,False,-20.50373586422444,0.0,-5.5118110236220375,0.0,-10.236220472440937,0.0,-10.236220472440937,0.0,-10.236220472440937
KRW-ETHFI,이더파이,2026-07-17,651.0,611.9333333333333,538.22,609.35,True,False,-10.197419953387588,2.457757296466978,0.6144393241167334,3.840245775729656,-5.222734254992323,3.840245775729656,-12.903225806451612,9.677419354838701,-21.96620583717358
KRW-ETHFI,이더파이,2026-08-18,677.0,586.4,598.78,580.8583333333333,False,True,-27.477158405016088,22.15657311669128,6.646971935007384,25.11078286558346,6.646971935007384,25.11078286558346,6.646971935007384,25.11078286558346,6.646971935007384
KRW-SHIB,시바이누,2026-09-02,0.00712,0.007253333333333333,0.0067432,0.007238333333333334,True,False,-4.035894084398817,5.89887640449438,0.7022471910112404,5.89887640449438,0.7022471910112404,5.89887640449438,0.7022471910112404,5.89887640449438,0.7022471910112404
KRW-UNI,유니스왑,2026-07-13,5275.0,4865.933333333333,4468.98,4832.725,True,False,-14.62609153987886,1.9905213270142275,-1.2322274881516604,1.9905213270142275,-1.9905213270142164,7.014218009478679,-1.9905213270142164,18.957345971563978,-4.1706161137440745
KRW-SKY,스카이프로토콜,2026-09-01,102.0,91.96000000000001,85.024,90.2925,True,False,69.87091427923208,-8.333333333333337,-8.92156862745097,-8.333333333333337,-9.019607843137257,-8.333333333333337,-9.019607843137257,-8.333333333333337,-9.019607843137257
KRW-SKR,시커,2026-09-01,31.2,16.464000000000002,12.6358,15.354916666666666,True,False,17.236543165319283,3.205128205128216,-11.538461538461531,3.205128205128216,-11.538461538461531,3.205128205128216,-11.538461538461531,3.205128205128216,-11.538461538461531
KRW-PEPE,페페,2026-08-27,0.00537,0.004601333333333333,0.004222,0.0045808333333333335,True,False,-42.711569725472884,-4.469273743016755,-11.731843575418988,-4.469273743016755,-12.104283054003718,-4.469273743016755,-12.104283054003718,-4.469273743016755,-12.104283054003718
KRW-AAVE,에이브,2026-07-10,142700.0,135806.66666666666,118982.0,135370.0,True,False,14.033121456067166,2.592852137351076,-1.7519271198318198,2.592852137351076,-6.937631394533983,2.592852137351076,-7.9187105816397985,3.153468815697269,-11.28241065171689
KRW-AAVE,에이브,2026-08-22,173100.0,131886.66666666666,135170.0,129234.16666666667,False,True,74.04319642197328,12.13171577123051,1.675332177931832,12.13171577123051,-2.3685730791449977,12.13171577123051,-2.3685730791449977,12.13171577123051,-2.3685730791449977
KRW-JUP,주피터,2026-06-21,322.0,269.3333333333333,291.3,264.7083333333333,False,True,35.16003983044198,2.795031055900621,-4.037267080745344,9.627329192546586,-4.037267080745344,13.975155279503104,-4.037267080745344,13.975155279503104,-10.869565217391308
KRW-JUP,주피터,2026-09-02,307.0,293.26666666666665,275.16,292.95,True,False,-13.886205818150232,1.6286644951140072,-3.2573289902280145,1.6286644951140072,-3.2573289902280145,1.6286644951140072,-3.2573289902280145,1.6286644951140072,-3.2573289902280145
KRW-ATOM,코스모스,2026-06-20,2730.0,2803.9333333333334,2900.9,2796.241666666667,False,True,-19.074080393211943,-0.5494505494505475,-5.164835164835169,-0.5494505494505475,-12.08791208791209,-0.5494505494505475,-15.714285714285714,-0.5494505494505475,-20.439560439560445
KRW-A,볼타,2026-09-04,105.0,104.73333333333333,95.706,104.46666666666667,True,False,8.102540586407226,3.809523809523818,3.809523809523818,3.809523809523818,3.809523809523818,3.809523809523818,3.809523809523818,3.809523809523818,3.809523809523818
KRW-TRUMP,오피셜트럼프,2026-08-28,3791.0,2731.4,2358.68,2699.1,True,False,-15.356157428919682,-1.6354523872329163,-14.1651279345819,-1.6354523872329163,-19.519915589554206,-1.6354523872329163,-19.519915589554206,-1.6354523872329163,-19.519915589554206
KRW-G,그래비티,2026-08-14,5.22,5.056666666666667,5.0158,5.033083333333334,True,False,1.2552583725921052,2.298850574712641,0.19157088122607746,11.494252873563227,0.19157088122607746,11.494252873563227,0.19157088122607746,11.494252873563227,-3.6398467432950055
KRW-CELO,셀로,2026-09-03,104.0,103.17333333333333,95.462,102.48666666666666,True,False,57.150232435443485,0.9615384615384581,-1.9230769230769273,0.9615384615384581,-1.9230769230769273,0.9615384615384581,-1.9230769230769273,0.9615384615384581,-1.9230769230769273
KRW-AERO,에어로드롬파이낸스,2026-06-19,725.0,571.9333333333333,626.94,568.875,False,True,15.911382798021357,15.034482758620694,6.206896551724128,15.034482758620694,-0.5517241379310311,16.551724137931046,-4.27586206896552,21.65517241379311,-8.275862068965523
KRW-AERO,에어로드롬파이낸스,2026-08-30,667.0,659.5333333333333,637.1,658.6166666666667,True,False,-38.804465964699254,-1.9490254872563728,-4.497751124437777,8.695652173913038,-4.497751124437777,8.695652173913038,-4.497751124437777,8.695652173913038,-4.497751124437777
KRW-EGLD,멀티버스엑스,2026-09-01,5560.0,4730.4,4292.14,4693.075,True,False,4.750129114256163,31.38489208633093,15.64748201438848,31.38489208633093,12.230215827338121,31.38489208633093,12.230215827338121,31.38489208633093,12.230215827338121
KRW-FF,팔콘파이낸스,2026-08-28,126.0,107.53999999999999,96.13600000000001,107.39416666666666,True,False,-20.12817121858236,2.3809523809523725,-6.349206349206349,18.253968253968257,-6.349206349206349,27.777777777777768,-6.349206349206349,27.777777777777768,-6.349206349206349
KRW-PLUME,플룸,2026-08-20,18.7,17.4,16.316,17.298333333333336,True,False,-28.38855859029914,8.556149732620334,0.5347593582887722,8.556149732620334,-1.6042780748663166,9.090909090909083,-1.6042780748663166,9.090909090909083,-1.6042780748663166
KRW-ESP,에스프레소,2026-07-25,109.0,105.06666666666666,101.56,104.48,True,False,245.3066974957938,46.78899082568808,-7.339449541284404,46.78899082568808,-14.678899082568808,46.78899082568808,-20.733944954128436,46.78899082568808,-20.733944954128436
KRW-ESP,에스프레소,2026-08-21,119.0,103.33999999999999,102.52799999999999,101.66166666666666,True,True,15.288517452376137,5.042016806722693,0.0,6.72268907563025,-2.5210084033613467,6.72268907563025,-9.243697478991598,6.72268907563025,-9.243697478991598
