market,snapshot_kst,snapshot_epoch,price,value_accel_pct,launch_score,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,slope15,gap120,f120up,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_value_accel_pct,delta_price_pct_15m,delta_launch_score,delta_slope15,delta_gap120,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-0G,2026-09-05T00:00:53.630112+09:00,1788534053,261.0,2494.749155755703,9.0,9919148.68328083,12913332.940359998,0.7681323426796354,46,0.0,complete,1788533238256,1788534057379,1110838.33029601,1398418.50764148,-0.11460770894295923,262.0,264.0,0.7633587786259444,-0.3816793893129722,1.1363636363636365,150.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,59.111111111111114,225.0,2026-08-31T08:00:00,358.0,2026-09-01T11:00:00,D-4,27.37430167597765,73.68421052631581,False,0.975745748536383,38.051054004361404,,True,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,0.15824003632642247,778.9737705965864,597.8997112698252,9.62296527773151,1.1627906976744207,0.0,0.027878449958174123,-0.015779425181271733,,-12.436685202605684,-20360225.295218416,10620277.858405437,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,22832481.623640828,22095341.52401458,1.0333617879961292,1.1627906976744207,False,True,falling,rising,sell_advantage_accelerating,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S4,True,당일/5D 급등 후 상승분 상당 부분 반납,2026-09-05T00:00:53.630112+09:00,2026-09-04T14:40:00Z,33886045542-1
KRW-1INCH,2026-09-05T00:00:53.630112+09:00,1788534053,124.0,448.9695666291136,7.0,72399.99999976,0.0,,8,0.0,complete,1788533578273,1788534017487,1393654.6734812,1434589.49603588,-0.014473581523079614,126.0,129.0,2.3809523809523725,-1.5873015873015928,3.875968992248062,166.66666666666714,complete_hourly_ordered,/v1/candles/minutes/60,120,False,8.403361344537807,119.0,2026-09-02T19:00:00,129.0,2026-09-04T18:00:00,D-1,3.875968992248058,49.99999999999986,True,0.10758472296932275,-4.141018466703964,,True,,1311.3239158863828,-100.0,5.512868933757261,0.0,0.0,0.0,0.0,,,1311.3239158863828,-100.0,5.512868933757261,0.0,0.0,0.0,0.0,,,1311.3239158863828,-100.0,5.512868933757261,0.0,0.0,0.0,0.0,,,1311.3239158863828,-100.0,5.512868933757261,0.0,0.0,0.0,0.0,,,1311.3239158863828,-100.0,5.512868933757261,0.0,0.0,0.0,0.0,,,-89.4027205319023,-100.0,39.91060639694001,-2.3622047244094446,0.0,-0.10758472296934496,0.09733654798340208,,,67270.06496608,-147619.04761828,5.512868933757261,0.0,0.0,0.0,0.0,72399.99999976,4291654.137618321,0.01686995216253349,-2.3622047244094446,False,True,rising,falling,buy_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-2Z,2026-09-05T00:00:53.630112+09:00,1788534053,70.3,36.34987285814615,5.0,5425778.945805744,11319206.906636791,0.47934267750017423,57,0.0,complete,1788533173343,1788534038706,1130071.17480082,912156.38688952,0.10670445938499291,74.0,74.6,0.8108108108108025,-5.000000000000004,5.764075067024126,716.6666666666736,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.841446453407495,71.9,2026-08-31T08:00:00,76.1,2026-09-02T01:00:00,D-3,7.621550591327198,138.09523809523833,False,-0.35608824040299636,25.610497394292565,,False,0.20618466997976326,957.128114736534,502.4145628366985,5.175035033859409,-0.8462623413258208,-1.0,-0.02605523710265123,0.017642451268226722,,0.20618466997976326,957.128114736534,502.4145628366985,5.175035033859409,-0.8462623413258208,-1.0,-0.02605523710265123,0.017642451268226722,,0.20618466997976326,957.128114736534,502.4145628366985,5.175035033859409,-0.8462623413258208,-1.0,-0.02605523710265123,0.017642451268226722,,0.20618466997976326,957.128114736534,502.4145628366985,5.175035033859409,-0.8462623413258208,-1.0,-0.02605523710265123,0.017642451268226722,,0.20618466997976326,957.128114736534,502.4145628366985,5.175035033859409,-0.8462623413258208,-1.0,-0.02605523710265123,0.017642451268226722,,0.47934267750017423,,346.36304089451164,19.484832776914665,-2.9005524861878573,0.0,-0.17370158068437114,0.11760013895841226,,0.20618466997976326,4912522.428438595,9440233.919440733,5.175035033859409,-0.8462623413258208,-1.0,-0.02605523710265123,0.017642451268226722,16744985.852442537,1475128.554584504,11.35154343016501,-2.9005524861878573,False,False,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-A,2026-09-05T00:00:53.630112+09:00,1788534053,104.0,-27.456962769699555,8.0,1248835.58220616,0.0,,4,0.0,complete,1788533173711,1788533973845,1189942.88626162,3187023.72863606,-0.456270522049921,107.0,108.0,0.9345794392523255,-2.8037383177570097,3.7037037037037033,400.0000000000035,complete_hourly_ordered,/v1/candles/minutes/60,120,False,8.910891089108919,101.0,2026-08-31T08:00:00,110.0,2026-09-04T03:00:00,D-1,5.454545454545457,66.66666666666666,False,0.5250352157766924,-0.19944156362186788,,True,,2.3635723121355534,-100.0,1.1806855056173085,0.0,0.0,0.0,0.0,,,2.3635723121355534,-100.0,1.1806855056173085,0.0,0.0,0.0,0.0,,,2.3635723121355534,-100.0,1.1806855056173085,0.0,0.0,0.0,0.0,,,2.3635723121355534,-100.0,1.1806855056173085,0.0,0.0,0.0,0.0,,,2.3635723121355534,-100.0,1.1806855056173085,0.0,0.0,0.0,0.0,,,4024.2409660116105,-100.0,2.7431696863187938,-2.8037383177570097,0.0,-0.19208605455240946,0.16744310697949671,,,28835.582208010135,-163991.75189488,1.1806855056173085,0.0,0.0,0.0,0.0,1248835.58220616,1192470.11371066,1.047267824868252,-2.8037383177570097,False,False,rising,falling,buy_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-AAVE,2026-09-05T00:00:53.630112+09:00,1788534053,177800.0,29.035956483810168,8.0,3665413.68784,58953935.928307,0.06217419804332411,59,0.0,complete,1788533162491,1788534175725,811.08405423,719.18600485,0.06005348456941592,181100.0,185800.0,2.5952512424075147,-1.8221976808393103,4.3057050592034445,170.21276595744646,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.945865556216528,168100.0,2026-08-31T11:00:00,186500.0,2026-09-02T14:00:00,D-3,4.825737265415553,48.913043478260846,True,1.594314252785245,-32.23409109376271,,True,-0.361935861681715,-87.72033783337186,-16.236502941895857,2.034361288886057,-0.7258514796203208,0.0,-0.04610065309258449,0.05008213015465657,,-0.361935861681715,-87.72033783337186,-16.236502941895857,2.034361288886057,-0.7258514796203208,0.0,-0.04610065309258449,0.05008213015465657,,-0.361935861681715,-87.72033783337186,-16.236502941895857,2.034361288886057,-0.7258514796203208,0.0,-0.04610065309258449,0.05008213015465657,,-0.361935861681715,-87.72033783337186,-16.236502941895857,2.034361288886057,-0.7258514796203208,0.0,-0.04610065309258449,0.05008213015465657,,-0.361935861681715,-87.72033783337186,-16.236502941895857,2.034361288886057,-0.7258514796203208,0.0,-0.04610065309258449,0.05008213015465657,,-1.4757167364663328,-77.05161823776508,467.63270592112247,9.266441853376818,-2.841530054644814,1.0,-0.20361121782559444,0.22113940823052047,,-0.361935861681715,-26184053.163140006,-11427480.797182009,2.034361288886057,-0.7258514796203208,0.0,-0.04610065309258449,0.05008213015465657,62619349.616147,21306016.616946496,2.939045375865354,-2.841530054644814,False,False,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-ADA,2026-09-05T00:00:53.630112+09:00,1788534053,289.0,18.733845107109936,7.0,418882972.26227933,395615887.0766577,1.0588123125123972,452,0.0,complete,1788533159069,1788534503004,7313523.36896746,4240182.76537789,0.26600474063067464,302.0,310.0,2.6490066225165476,-4.304635761589404,6.774193548387098,262.5000000000005,complete_hourly_ordered,/v1/candles/minutes/60,120,False,17.42424242424243,264.0,2026-09-02T19:00:00,310.0,2026-09-04T13:00:00,D-1,6.129032258064515,41.30434782608695,False,0.3447483337163826,-3.178541888219298,,False,0.29657411466016814,410.8333994255506,267.74858506974584,4.826918795077283,-1.3651877133105783,-1.0,-0.09193288899103091,0.08232767699808896,,0.29657411466016814,410.8333994255506,267.74858506974584,4.826918795077283,-1.3651877133105783,-1.0,-0.09193288899103091,0.08232767699808896,,0.29657411466016814,410.8333994255506,267.74858506974584,4.826918795077283,-1.3651877133105783,-1.0,-0.09193288899103091,0.08232767699808896,,0.29657411466016814,410.8333994255506,267.74858506974584,4.826918795077283,-1.3651877133105783,-1.0,-0.09193288899103091,0.08232767699808896,,0.29657411466016814,410.8333994255506,267.74858506974584,4.826918795077283,-1.3651877133105783,-1.0,-0.09193288899103091,0.08232767699808896,,0.9880085952688793,6973.858867296214,373.0352085462062,14.816753353007872,-4.62046204620462,0.0,-0.2987818892208782,0.26749384188553815,,0.29657411466016814,336883053.5542764,288038073.5545128,4.826918795077283,-1.3651877133105783,-1.0,-0.09193288899103091,0.08232767699808896,814498859.338937,184709931.17779166,4.409610539862879,-4.62046204620462,False,False,rising,rising,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-AERO,2026-09-05T00:00:53.630112+09:00,1788534053,671.0,112.74654234535264,9.0,3241502.2562774504,10340533.201928379,0.3134753491892421,18,0.0,complete,1788533232026,1788534131547,95674.88690586,124155.95003192,-0.1295589987410236,694.0,707.0,1.8731988472622474,-3.3141210374639796,5.091937765205092,276.9230769230771,complete_hourly_ordered,/v1/candles/minutes/60,120,False,13.301282051282048,624.0,2026-09-02T20:00:00,707.0,2026-09-04T21:00:00,D-1,5.09193776520509,43.373493975903635,False,0.08822664444660955,-3.421205905442019,,True,0.13179323478820062,18164.04246268566,10485.36137119968,3.4446093510269264,-1.178203240058906,0.0,-0.10783256543476227,0.09700549108154277,,0.13179323478820062,18164.04246268566,10485.36137119968,3.4446093510269264,-1.178203240058906,0.0,-0.10783256543476227,0.09700549108154277,,0.13179323478820062,18164.04246268566,10485.36137119968,3.4446093510269264,-1.178203240058906,0.0,-0.10783256543476227,0.09700549108154277,,0.13179323478820062,18164.04246268566,10485.36137119968,3.4446093510269264,-1.178203240058906,0.0,-0.10783256543476227,0.09700549108154277,,0.13179323478820062,18164.04246268566,10485.36137119968,3.4446093510269264,-1.178203240058906,0.0,-0.10783256543476227,0.09700549108154277,,-42.01511460427755,324.6395700699564,57239.09950493952,11.614515628586233,-4.142857142857148,0.0,-0.2842858543280258,0.25568348410574826,,0.13179323478820062,3223754.2562774504,10242846.095751138,3.4446093510269264,-1.178203240058906,0.0,-0.10783256543476227,0.09700549108154277,13582035.45820583,5225914.93569238,2.5989775236183306,-4.142857142857148,False,False,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-AGLD,2026-09-05T00:00:53.630112+09:00,1788534053,225.0,-12.879657092204722,8.0,45000.0,25276502.880933747,0.0017803095709867298,12,0.0,complete,1788533408685,1788534208049,349810.85081654,521253.51810817,-0.19681974536883917,226.0,230.0,1.7699115044247815,-0.4424778761061954,2.1739130434782608,125.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.882352941176472,221.0,2026-08-31T08:00:00,234.0,2026-08-31T12:00:00,D-4,3.8461538461538436,69.23076923076935,False,-0.028885037550563375,12.768973882360356,,True,-18.42399023917611,-98.18286335605,18706.92178640904,1.918858494960796,-0.4424778761061954,0.0,0.0,0.0,,-18.42399023917611,-98.18286335605,18706.92178640904,1.918858494960796,-0.4424778761061954,0.0,0.0,0.0,,-18.42399023917611,-98.18286335605,18706.92178640904,1.918858494960796,-0.4424778761061954,0.0,0.0,0.0,,-18.42399023917611,-98.18286335605,18706.92178640904,1.918858494960796,-0.4424778761061954,0.0,0.0,0.0,,-18.42399023917611,-98.18286335605,18706.92178640904,1.918858494960796,-0.4424778761061954,0.0,0.0,0.0,,0.0017803095709867298,,739.8883843658704,8.794848872179271,-1.7467248908296984,0.0,-0.11554015020220909,0.08981180959298385,,-18.42399023917611,-2431423.5617516097,25142102.880933747,1.918858494960796,-0.4424778761061954,0.0,0.0,0.0,25321502.880933747,643341.90162972,39.35932482679749,-1.7467248908296984,False,False,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-AHT,2026-09-05T00:00:53.630112+09:00,1788534053,1.32,1156.118905503052,8.0,0.0,202046.15384614322,0.0,2,0.0,complete,1788533433312,1788533991376,194801099.36210188,179673948.36761993,0.04039561804235354,1.35,1.35,0.0,-2.2222222222222254,2.222222222222224,,complete_hourly_ordered,/v1/candles/minutes/60,120,False,37.00787401574803,1.27,2026-08-31T08:00:00,1.74,2026-09-01T18:00:00,D-4,24.13793103448275,89.3617021276596,False,0.5652620760534299,18.8513968796973,,False,-0.035822007608590355,-100.0,-75.87433713212074,0.17949955689300623,-1.4925373134328401,0.0,-0.10277492291881352,0.07451167627673172,,-0.035822007608590355,-100.0,-75.87433713212074,0.17949955689300623,-1.4925373134328401,0.0,-0.10277492291881352,0.07451167627673172,,-0.035822007608590355,-100.0,-75.87433713212074,0.17949955689300623,-1.4925373134328401,0.0,-0.10277492291881352,0.07451167627673172,,-0.035822007608590355,-100.0,-75.87433713212074,0.17949955689300623,-1.4925373134328401,0.0,-0.10277492291881352,0.07451167627673172,,-0.035822007608590355,-100.0,-75.87433713212074,0.17949955689300623,-1.4925373134328401,0.0,-0.10277492291881352,0.07451167627673172,,,-100.0,,3.4001973041031306,-2.2222222222222254,0.0,-0.15416238437822027,0.11176172215170155,,-0.035822007608590355,-29999.999999996602,-635427.846153857,0.17949955689300623,-1.4925373134328401,0.0,-0.10277492291881352,0.07451167627673172,202046.15384614322,920618.5934174253,0.21946781793329673,-2.2222222222222254,False,True,falling,falling,sell_only,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-AI,2026-09-05T00:00:53.630112+09:00,1788534053,26.4,,,87993.69056623199,1157483.856655478,0.07602152726387706,4,0.0,complete,1788533345461,1788534180411,3971535.77683603,5978420.23763697,-0.20169782237044742,26.6,26.8,0.7518796992481258,-0.7518796992481258,1.4925373134328437,200.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,4.150943396226414,26.5,2026-08-31T08:00:00,27.6,2026-08-31T14:00:00,D-4,4.710144927536231,118.18181818181819,False,,,,True,,-97.48401353788553,,,1.1494252873563093,,,,,,-97.48401353788553,,,1.1494252873563093,,,,,,-97.48401353788553,,,1.1494252873563093,,,,,,-97.48401353788553,,,1.1494252873563093,,,,,,-97.48401353788553,,,1.1494252873563093,,,,,0.07602152726387706,,3638.640024077713,,0.3802281368821214,,,,,,-3409389.61777959,1157483.856655478,,1.1494252873563093,,,,1245477.54722171,801000.0,1.5549033048960175,0.3802281368821214,False,False,falling,rising,sell_advantage_weakening,flat_or_na,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
