market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-WAXP,왁스,5.91,5.837999999999999,5.594600000000001,6.807333333333333,0.8870967741935409,-4.350623815822373,14.239545588091286,-0.9661939684665513,-1.2056678288621143,,,11.810504723784733,,False,False,False,False,48.9982566466868,-0.670016750418756,12.0,A급,0.33840947546530664,0.16780675365424003,0.0,0.02304147465435058,-0.017487440824311307,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,1614333.9979909325,1099273.421382432,1.4685463748962173,10,0.0,complete,1788443281147,1788443685995,17733925.28477162,14667195.59664719,0.09464887648016894,5.93,6.5,9.612141652613836,-0.3372681281618828,9.076923076923075,103.5087719298245,complete_hourly_ordered,/v1/candles/minutes/60,120,False,14.436619718309874,5.68,2026-09-02T10:00:00,6.5,2026-09-03T10:00:00,D0,9.076923076923071,71.95121951219508,False,False,1.4456854822102219,625.722220870141,-88.70266673578693,0.16780675365424003,0.0,0.0,0.02304147465435058,-0.017487440824311307,-0.048906997058919544,0.456789762926763,-87.18984820640766,-91.17443207851346,1.4185624372223558,-0.16891891891891442,0.0,0.0,0.0,0.0,0.456789762926763,-87.18984820640766,-91.17443207851346,1.4185624372223558,-0.16891891891891442,0.0,0.0,0.0,0.0,0.456789762926763,-87.18984820640766,-91.17443207851346,1.4185624372223558,-0.16891891891891442,0.0,0.0,0.0,0.0,0.456789762926763,-87.18984820640766,-91.17443207851346,1.4185624372223558,-0.16891891891891442,0.0,0.0,0.0,0.0,0.456789762926763,-87.18984820640766,-91.17443207851346,1.4185624372223558,-0.16891891891891442,0.0,0.0,0.0,0.0,1.4456854822102219,1391888.8321180528,-8631106.267996449,0.0,2713607.4193733647,9952824.855251761,0.27264695790778315,-0.16891891891891442,False,True,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 6개 개선,S0,True,가격 미급등 상태에서 선행조건 6개 개선,2026-09-03T22:55:50.337066+09:00,2026-09-03T13:40:00Z,33763105922-1
KRW-CARV,카브,47.4,46.21333333333334,43.644,57.225833333333334,0.6534049658777574,-5.887025326123499,19.243931208224716,-1.077287095222643,-1.2000918646113488,,,,,False,False,False,False,297.87149210710635,1.276595744680864,10.0,A급,0.634249471458781,0.26645447466950145,0.0,0.029040220705689457,-0.02094814053526406,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,2981278.10896519,4115745.2052875287,0.7243592497259354,20,0.0,complete,1788442894642,1788443722485,1036901.8990512,1798013.32536693,-0.2684776672543882,48.8,48.8,0.0,-2.868852459016391,2.8688524590163906,,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.480519480519476,46.2,2026-08-31T08:00:00,55.2,2026-09-02T13:00:00,D-1,14.130434782608702,86.66666666666666,False,True,0.4380641309429933,-28.56092398815958,-71.7644818364757,0.26645447466950145,0.21141649048626032,0.0,0.029040220705689457,-0.02094814053526406,,,611.7832826549717,,6.264975606929056,-1.8633540372670732,0.0,-0.10164077246985759,0.07330888375398814,,,611.7832826549717,,6.264975606929056,-1.8633540372670732,0.0,-0.10164077246985759,0.07330888375398814,,,611.7832826549717,,6.264975606929056,-1.8633540372670732,0.0,-0.10164077246985759,0.07330888375398814,,,611.7832826549717,,6.264975606929056,-1.8633540372670732,0.0,-0.10164077246985759,0.07330888375398814,,,611.7832826549717,,6.264975606929056,-1.8633540372670732,0.0,-0.10164077246985759,0.07330888375398814,,0.4380641309429933,-1191897.5189937558,-10460736.732998282,0.21141649048626032,7097023.314252719,1034720.2407097181,6.858881304365755,-1.8633540372670732,False,False,falling,falling,sell_advantage_weakening,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-03T13:40:00Z,33763105922-1
KRW-LSK,리스크,138.0,132.53333333333333,118.46,138.30833333333334,1.2735608762098671,-11.88024086892904,4.175453395191906,-1.3278820994615643,-1.5776709857336004,,,2.6465932586383745,,False,False,False,False,-91.40156391514797,-2.8169014084507005,13.0,A급,0.0,0.0008964271890192776,0.0,-0.05094243504839557,0.042425319520136284,False,False,False,True,2026-09-03T22:55:50.337066+09:00,1788443750,0.0,9999.999999180001,0.0,1,0.0,complete,1788443385618,1788443385618,876293.7036905,3271864.24505412,-0.5775022482180566,134.0,140.0,4.477611940298498,2.9850746268656803,1.4285714285714286,33.333333333333,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.407407407407418,135.0,2026-08-30T19:00:00,145.0,2026-08-31T05:00:00,D-3,4.82758620689655,70.00000000000016,False,True,-0.695438563061465,-100.0,-94.83140027746076,0.0008964271890192776,0.0,0.0,-0.05094243504839557,0.042425319520136284,0.04090507517370279,-11.410815603764185,-100.0,-50.0,0.016092465941952128,0.0,0.0,-0.05094243504839557,0.042425319520136284,0.04090507517370279,-11.410815603764185,-100.0,-50.0,0.016092465941952128,0.0,0.0,-0.05094243504839557,0.042425319520136284,0.04090507517370279,-11.410815603764185,-100.0,-50.0,0.016092465941952128,0.0,0.0,-0.05094243504839557,0.042425319520136284,0.04090507517370279,-11.410815603764185,-100.0,-50.0,0.016092465941952128,0.0,0.0,-0.05094243504839557,0.042425319520136284,0.04090507517370279,-11.410815603764185,-100.0,-50.0,0.016092465941952128,0.0,0.0,-0.05094243504839557,0.042425319520136284,0.04090507517370279,-0.695438563061465,-134550.67142688,-183476.00000082,0.0,9999.999999180001,1614488.023182325,0.006193914018308389,0.0,False,True,falling,falling,sell_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S0,True,가격 미급등 상태에서 선행조건 3개 개선,2026-09-03T22:55:50.337066+09:00,2026-09-03T13:40:00Z,33763105922-1
KRW-0G,제로지,250.0,238.26666666666668,232.22,394.34166666666664,1.1318619128466434,-2.6038526684465944,39.57862259884617,-1.8109994004360939,-1.6829621931627947,,,,,False,False,False,False,2611.1996320707144,12.162162162162172,10.0,A급,0.0,0.6143920780978078,0.0,-0.028296547821171636,0.015628642546772653,False,True,False,True,2026-09-03T22:55:50.337066+09:00,1788443750,20856989.63018257,14965240.0671187,1.3936956264409748,18,0.0,complete,1788442900384,1788443644499,1353519.8895703,1853600.44435792,-0.155928216817203,255.0,259.0,1.5686274509803866,-1.9607843137254943,3.474903474903475,225.0000000000007,complete_hourly_ordered,/v1/candles/minutes/60,120,False,61.990950226244344,221.0,2026-08-30T04:00:00,358.0,2026-09-01T11:00:00,D-2,30.16759776536313,78.83211678832117,False,True,1.3600780561083763,3159.5763973952858,-21.375200786313965,0.6143920780978078,0.40160642570281624,0.0,-0.028296547821171636,0.015628642546772653,,1.1144834382419577,-19.858264126880787,-83.94445026971678,6.95293236242378,-1.9607843137254943,0.0,-0.11318619128466434,0.062510607298357,,1.1144834382419577,-19.858264126880787,-83.94445026971678,6.95293236242378,-1.9607843137254943,0.0,-0.11318619128466434,0.062510607298357,,1.1144834382419577,-19.858264126880787,-83.94445026971678,6.95293236242378,-1.9607843137254943,0.0,-0.11318619128466434,0.062510607298357,,1.1144834382419577,-19.858264126880787,-83.94445026971678,6.95293236242378,-1.9607843137254943,0.0,-0.11318619128466434,0.062510607298357,,1.1144834382419577,-19.858264126880787,-83.94445026971678,6.95293236242378,-1.9607843137254943,0.0,-0.11318619128466434,0.062510607298357,,1.3600780561083763,20217121.5280927,-4068500.199036073,0.40160642570281624,35822229.69730127,26622422.44601868,1.3455661208117595,-1.9607843137254943,False,True,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-03T13:40:00Z,33763105922-1
KRW-BORA,보라,30.9,30.09333333333333,30.128,37.63916666666667,0.961753522701847,0.11506461320588805,20.04782252529503,-1.2059822026646398,-1.0829129867983283,0.09541153505553454,,,,False,False,False,False,-33.86901243086417,3.0000000000000027,6.0,관찰,0.0,0.017879497330376637,0.0,0.0,0.0,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,0.0,971091.84641949,0.0,3,0.0,complete,1788442931986,1788443705270,3828113.53525,6458080.60577257,-0.25567931486281664,30.5,32.0,4.918032786885251,1.3114754098360715,3.4375000000000044,73.33333333333324,complete_hourly_ordered,/v1/candles/minutes/60,120,False,9.965635738831601,29.1,2026-08-31T09:00:00,32.0,2026-09-03T11:00:00,D0,3.4375000000000044,37.93103448275853,False,True,-0.16795428101759674,-100.0,-60.4354270647981,0.017879497330376637,0.0,0.0,0.0,0.0,,,,,0.5403920187636544,0.0,0.0,0.0,0.0,,,,,0.5403920187636544,0.0,0.0,0.0,0.0,,,,,0.5403920187636544,0.0,0.0,0.0,0.0,,,,,0.5403920187636544,0.0,0.0,0.0,0.0,,,,,0.5403920187636544,0.0,0.0,0.0,0.0,,-0.16795428101759674,-412235.0395,-1483356.096213242,0.0,971091.84641949,3290510.919510031,0.295118864569545,0.0,False,False,falling,falling,sell_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T13:40:00Z,33763105922-1
KRW-PUNDIX,펀디엑스,124.0,123.26666666666667,114.76,145.975,0.9830693610049179,-7.41257116300685,15.556316720899696,-1.117169242987138,-1.3355990263588235,,,11.64744538883807,,False,False,False,False,-45.65105080823353,-2.3622047244094446,10.0,A급,0.0,0.35585477137087906,0.0,0.0,0.0,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,23455196.315305598,12056922.87334268,1.9453716807929486,41,0.0,complete,1788442854783,1788443719611,1411606.5386149,2686364.79067496,-0.3110705638540822,122.0,144.0,18.032786885245898,1.6393442622950838,13.88888888888889,90.9090909090909,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.999999999999996,120.0,2026-09-02T03:00:00,144.0,2026-09-03T19:00:00,D0,13.888888888888884,83.33333333333329,False,False,-2.581035242954134,64.32267550779387,282.3389141986215,0.35585477137087906,0.0,0.0,0.0,0.0,0.0,1.5199624639028428,49.16309990328962,-67.38137079650807,1.9118055935252727,0.0,-1.0,-0.05461496450027692,0.04084691841083021,0.10120744593569952,1.5199624639028428,49.16309990328962,-67.38137079650807,1.9118055935252727,0.0,-1.0,-0.05461496450027692,0.04084691841083021,0.10120744593569952,1.5199624639028428,49.16309990328962,-67.38137079650807,1.9118055935252727,0.0,-1.0,-0.05461496450027692,0.04084691841083021,0.10120744593569952,1.5199624639028428,49.16309990328962,-67.38137079650807,1.9118055935252727,0.0,-1.0,-0.05461496450027692,0.04084691841083021,0.10120744593569952,1.5199624639028428,49.16309990328962,-67.38137079650807,1.9118055935252727,0.0,-1.0,-0.05461496450027692,0.04084691841083021,0.10120744593569952,-2.581035242954134,9181331.650660997,8903458.126335729,0.0,35512119.188648276,18636178.38545261,1.9055472884059221,0.0,False,False,rising,rising,buy_advantage_weakening,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-03T13:40:00Z,33763105922-1
KRW-USD1,월드리버티파이낸셜유에스디,1375.0,1381.7333333333333,1418.6,1463.9916666666666,-0.004824624885413353,2.598806334884151,5.618770598648664,-0.019763736785594465,0.057486264824819513,,,,,False,False,False,False,-62.40613776248429,-1.2212643678160884,5.0,관찰,0.0,0.0073674720560745754,0.0,0.0,0.0,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,39999.999985,0.0,,6,0.0,complete,1788443460596,1788443760553,38671.94766088,30869.52514562,0.11219812006240276,1379.0,1379.0,0.0,-0.29006526468455807,0.290065264684554,,complete_hourly_ordered,/v1/candles/minutes/60,120,False,0.9454545454545382,1375.0,2026-09-01T04:00:00,1388.0,2026-09-02T07:00:00,D-1,0.9365994236311237,100.0,False,True,,14.285714308163278,,0.0073674720560745754,0.0,0.0,0.0,0.0,,,299.12727299428894,,3.765847823464526,0.0,0.0,0.0,0.0,,,299.12727299428894,,3.765847823464526,0.0,0.0,0.0,0.0,,,299.12727299428894,,3.765847823464526,0.0,0.0,0.0,0.0,,,299.12727299428894,,3.765847823464526,0.0,0.0,0.0,0.0,,,299.12727299428894,,3.765847823464526,0.0,0.0,0.0,0.0,,,5000.000005000002,0.0,0.0,39999.999985,29999.999937660003,1.333333335604,0.0,False,False,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T13:40:00Z,33763105922-1
KRW-BAT,베이직어텐션토큰,93.2,94.88000000000001,97.244,122.76,0.47299682315566915,2.430998313520618,22.7109807754969,-1.2205302517792809,-0.8752274973454661,1.9917558864081615,,,,False,False,False,False,-30.969333041319935,-1.4799154334038,6.0,관찰,0.0,0.004682463122264835,0.0,0.014119308153914822,-0.009812110254244999,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,10010.729612889,554640.091293744,0.01804905518015862,4,0.0,complete,1788443707884,1788443758306,609787.12901808,269019.13388084,0.3877623652944256,93.1,93.7,0.6444683136412444,0.10741138560688146,0.5336179295624333,83.33333333333218,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.759562841530054,91.5,2026-08-31T08:00:00,98.6,2026-09-02T05:00:00,D-1,5.375253549695735,74.64788732394368,False,False,,-80.02150527891844,,0.004682463122264835,0.0,0.0,0.014119308153914822,-0.009812110254244999,,0.011406685733958755,98.35010134138965,-27.003677497255307,1.699935718568078,0.10741138560688146,0.0,0.014119308153914822,-0.009812110254244999,,0.011406685733958755,98.35010134138965,-27.003677497255307,1.699935718568078,0.10741138560688146,0.0,0.014119308153914822,-0.009812110254244999,,0.011406685733958755,98.35010134138965,-27.003677497255307,1.699935718568078,0.10741138560688146,0.0,0.014119308153914822,-0.009812110254244999,,0.011406685733958755,98.35010134138965,-27.003677497255307,1.699935718568078,0.10741138560688146,0.0,0.014119308153914822,-0.009812110254244999,,0.011406685733958755,98.35010134138965,-27.003677497255307,1.699935718568078,0.10741138560688146,0.0,0.014119308153914822,-0.009812110254244999,,,-40096.797268631,554640.091293744,0.0,564650.820906633,764866.224142727,0.7382347436501092,0.10741138560688146,False,False,falling,rising,sell_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T13:40:00Z,33763105922-1
KRW-HUNT,헌트,123.0,118.73333333333333,115.08,126.06666666666666,0.8493771234428182,-3.174603174603177,5.817028027498675,-0.7705298388067131,-0.8774666447104897,,,6.629343762027488,,False,False,False,False,72.35829772490065,3.3613445378151363,13.0,A급,0.0,0.41211429573624514,0.0,0.0,0.0,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,665605.2719988,0.0,,5,0.0,complete,1788442911827,1788443755513,2008446.97998053,3185973.59955867,-0.2266906580911858,123.0,128.0,4.065040650406515,0.0,3.90625,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,12.280701754385959,114.0,2026-08-31T18:00:00,128.0,2026-09-03T13:00:00,D0,3.90625,35.714285714285666,False,True,,-66.12997704170019,-100.0,0.41211429573624514,0.0,0.0,0.0,0.0,0.0,,-37.79389981312533,,2.251567889680814,0.0,0.0,0.0,0.0,0.0,,-37.79389981312533,,2.251567889680814,0.0,0.0,0.0,0.0,0.0,,-37.79389981312533,,2.251567889680814,0.0,0.0,0.0,0.0,0.0,,-37.79389981312533,,2.251567889680814,0.0,0.0,0.0,0.0,0.0,,-37.79389981312533,,2.251567889680814,0.0,0.0,0.0,0.0,0.0,,-1299569.8706879402,-971823.7846793301,0.0,665605.2719988,3053054.073998745,0.2180129325803332,0.0,False,True,falling,falling,buy_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S1,False,,,2026-09-03T13:40:00Z,33763105922-1
KRW-PENGU,펏지펭귄,11.6,12.338666666666667,9.8606,10.56225,1.5472402062987056,-25.13099270497401,-16.818544028655506,-1.4431369488672257,-2.3250688387724314,,,,,False,False,False,False,-39.38061950015725,-7.874015748031493,8.0,B급,0.8620689655172376,0.2439153180231486,0.0,0.10973334796444689,-0.10781940012331503,False,False,False,False,2026-09-03T22:55:50.337066+09:00,1788443750,135376607.23158008,178713916.52890873,0.757504562940299,75,0.0,complete,1788442863333,1788443763003,84005436.7702262,57406076.04066946,0.18809897582474114,11.5,11.7,1.7391304347825987,0.8695652173912993,0.8547008547008517,50.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,4.464285714285721,11.2,2026-09-02T19:00:00,11.7,2026-09-03T21:00:00,D0,0.8547008547008517,19.9999999999999,False,True,0.3102356407389803,804.1281177784684,433.8428684852074,0.2439153180231486,0.0,0.0,0.10973334796444689,-0.10781940012331503,,0.524098407012337,1459.6068063497976,380.5539758285011,2.524913636819697,0.8695652173912993,0.0,0.05486667398224565,-0.0539054463946087,,0.524098407012337,1459.6068063497976,380.5539758285011,2.524913636819697,0.8695652173912993,0.0,0.05486667398224565,-0.0539054463946087,,0.524098407012337,1459.6068063497976,380.5539758285011,2.524913636819697,0.8695652173912993,0.0,0.05486667398224565,-0.0539054463946087,,0.524098407012337,1459.6068063497976,380.5539758285011,2.524913636819697,0.8695652173912993,0.0,0.05486667398224565,-0.0539054463946087,,0.524098407012337,1459.6068063497976,380.5539758285011,2.524913636819697,0.8695652173912993,0.0,0.05486667398224565,-0.0539054463946087,,0.3102356407389803,120403440.86615239,145237040.26454765,0.0,314090523.7604888,40610729.59605137,7.734175841820586,0.8695652173912993,False,False,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T13:40:00Z,33763105922-1
