market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-WAXP,왁스,6.11,5.903333333333333,5.607,6.73625,0.2717699014834096,-5.285060341240112,12.364693511473991,-0.7591562469527752,-1.1277122148820684,,,10.964405056805242,,False,False,False,False,32.56552070552659,2.6890756302521135,11.0,A급,0.0,0.07554854140721545,0.0,0.022647491790284136,-0.017625590872830443,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,71640.9999999915,0.0,,1,0.0,complete,1788647179059,1788647179059,13639904.26849851,11738551.68098492,0.07491994750580133,6.06,6.11,0.8250825082508406,0.8250825082508406,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,14.436619718309874,5.68,2026-09-02T10:00:00,6.5,2026-09-03T10:00:00,D-3,5.999999999999995,47.560975609756106,False,True,,-98.56317930525611,,0.07554854140721545,0.0,0.0,0.022647491790284136,-0.017625590872830443,-0.05005965161555537,,-98.56317930525611,,0.07554854140721545,0.0,0.0,0.022647491790284136,-0.017625590872830443,-0.05005965161555537,,135.66118421049836,-100.0,0.16974125385956285,0.49342105263159297,0.0,0.05661872947571034,-0.04406561261358988,-0.12574526043384715,,135.66118421049836,-100.0,0.16974125385956285,0.49342105263159297,0.0,0.05661872947571034,-0.04406561261358988,-0.12574526043384715,,135.66118421049836,-100.0,0.16974125385956285,0.49342105263159297,0.0,0.05661872947571034,-0.04406561261358988,-0.12574526043384715,,135.66118421049836,-100.0,0.16974125385956285,0.49342105263159297,0.0,0.05661872947571034,-0.04406561261358988,-0.12574526043384715,,-4914436.961019468,0.0,0.0,71640.9999999915,3110379.1501830015,0.023032883304846114,0.49342105263159297,False,True,falling,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 4개 개선,S1,False,,,2026-09-05T22:10:00Z,33995670588-1
KRW-CARV,카브,48.0,46.43333333333333,43.66,56.5075,0.1006036217303885,-6.352114826691099,17.828016929906067,-0.6248238997458094,-0.9403540325717493,,,,,False,False,False,False,35.90812199218156,-0.20703933747411307,8.0,B급,-0.20703933747411307,0.011321653922301778,0.0,-0.014371945961499932,0.01058587253990595,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,30172.963673954,486506.03305776004,0.06201971121367726,4,0.0,complete,1788646734077,1788647318002,2013472.52694519,1621403.9383329,0.10786297481014791,47.1,48.5,2.972399150743099,1.9108280254777066,1.0309278350515463,35.714285714285715,complete_hourly_ordered,/v1/candles/minutes/60,120,False,16.455696202531644,47.4,2026-09-02T03:00:00,55.2,2026-09-02T13:00:00,D-4,13.043478260869568,92.30769230769226,False,True,-0.34987240040198353,-85.39394235758388,-2.9966472435283498,0.011321653922301778,-0.6211180124223503,0.0,-0.014371945961499932,0.01058587253990595,,-0.34987240040198353,-85.39394235758388,-2.9966472435283498,0.011321653922301778,-0.6211180124223503,0.0,-0.014371945961499932,0.01058587253990595,,,,,0.104027941939691,0.0,0.0,0.02874389192297766,-0.02117268178595566,,,,,0.104027941939691,0.0,0.0,0.02874389192297766,-0.02117268178595566,,,,,0.104027941939691,0.0,0.0,0.02874389192297766,-0.02117268178595566,,,,,0.104027941939691,0.0,0.0,0.02874389192297766,-0.02117268178595566,,-0.34987240040198353,-176405.460241966,-15029.243026088981,-0.6211180124223503,516678.99673171405,1690543.9289712438,0.3056288499087578,0.0,False,False,falling,falling,sell_advantage_accelerating,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-05T22:10:00Z,33995670588-1
KRW-LSK,리스크,140.0,135.53333333333333,119.1,137.375,0.8432539682539542,-13.797928911279042,1.3406126781922973,-1.1041992772368356,-1.4711184575103504,,,0.9112880552536098,,False,False,False,False,-81.53513746595628,0.7194244604316502,12.0,A급,0.0,0.30096301282108584,0.0,0.0,0.0,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,503571.42857022,18849003.720366403,0.02671607667126245,8,0.0,complete,1788646494169,1788646815303,947498.43825927,3971840.52835494,-0.6147862773069299,139.0,141.0,1.4388489208633004,0.7194244604316502,0.7092198581560284,50.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.575757575757569,132.0,2026-09-03T08:00:00,142.0,2026-09-04T01:00:00,D-2,1.4084507042253502,20.0,True,True,0.02671607667126245,,536.2583590698894,0.30096301282108584,0.0,0.0,0.0,0.0,0.0,0.02671607667126245,,536.2583590698894,0.30096301282108584,0.0,0.0,0.0,0.0,0.0,0.025054093572825443,8292.85714423581,422.11209351410554,0.4542828905243397,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,0.025054093572825443,8292.85714423581,422.11209351410554,0.4542828905243397,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,0.025054093572825443,8292.85714423581,422.11209351410554,0.4542828905243397,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,0.025054093572825443,8292.85714423581,422.11209351410554,0.4542828905243397,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,0.02671607667126245,503571.42857022,15886527.321954804,0.0,19352575.14893662,1125055.166633055,17.20144551387017,0.7194244604316502,False,True,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 4개 개선,S1,False,,,2026-09-05T22:10:00Z,33995670588-1
KRW-0G,제로지,271.0,244.33333333333334,232.42,385.14166666666665,0.8808147536471411,-5.125778045492366,36.56014020814851,-1.4271574866349594,-1.5048404933501949,,,,,False,False,False,False,-28.26758155266611,-12.86173633440515,7.0,B급,0.37037037037037646,0.0320192063209106,0.0,0.02752546105146969,-0.01593734075230202,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,13010240.5809273,3409751.9665035005,3.8155973539238204,18,0.0,complete,1788646610484,1788647349243,1067614.88085108,1799082.56428198,-0.25516040580869476,269.0,277.0,2.973977695167296,0.743494423791824,2.166064981949458,75.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,18.15181518151816,303.0,2026-09-01T09:00:00,358.0,2026-09-01T11:00:00,D-4,24.301675977653638,158.1818181818181,True,True,-0.09709558839153454,-67.13553776487673,-66.29923508356546,0.0320192063209106,0.37037037037037646,0.0,0.02752546105146969,-0.01593734075230202,,-0.09709558839153454,-67.13553776487673,-66.29923508356546,0.0320192063209106,0.37037037037037646,0.0,0.02752546105146969,-0.01593734075230202,,3.009181985745317,-13.356029392112001,-81.68804960870553,0.23171892192170063,-1.4545454545454528,-1.0,-0.13762730525734845,0.07967635976462617,,3.009181985745317,-13.356029392112001,-81.68804960870553,0.23171892192170063,-1.4545454545454528,-1.0,-0.13762730525734845,0.07967635976462617,,3.009181985745317,-13.356029392112001,-81.68804960870553,0.23171892192170063,-1.4545454545454528,-1.0,-0.13762730525734845,0.07967635976462617,,3.009181985745317,-13.356029392112001,-81.68804960870553,0.23171892192170063,-1.4545454545454528,-1.0,-0.13762730525734845,0.07967635976462617,,-0.09709558839153454,-26577325.124081723,-6707976.74071851,0.37037037037037646,16419992.5474308,29356464.8552021,0.5593313986687706,-1.4545454545454528,False,False,falling,falling,buy_advantage_weakening,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S4,True,당일/5D 급등 후 상승분 상당 부분 반납,2026-09-06T07:29:11.322407+09:00,2026-09-05T22:10:00Z,33995670588-1
KRW-BORA,보라,31.8,30.466666666666665,29.978,37.269999999999996,0.37338018888644076,-1.6300842840305005,18.25418120025042,-1.114940390007833,-1.0597546912990654,,,,,False,False,False,False,-64.36479006413475,6.354515050167242,7.0,B급,-1.5479876160990558,0.06955806022826039,-1.0,-0.043927081045458394,0.03211797080892964,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,400972.34049795603,4178836.2167883553,0.09595311222944347,22,0.0,complete,1788646463493,1788647103652,3006238.54862695,5146862.01027888,-0.2625533005739362,31.3,32.7,4.472843450479247,1.5974440894568787,2.752293577981658,64.28571428571418,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.472972972972983,29.6,2026-09-01T05:00:00,32.7,2026-09-05T09:00:00,D-1,2.752293577981657,29.032258064516174,True,True,0.012092791276787737,2429.028057743997,2110.2993815723707,0.06955806022826039,-1.5479876160990558,-1.0,-0.043927081045458394,0.03211797080892964,,0.012092791276787737,2429.028057743997,2110.2993815723707,0.06955806022826039,-1.5479876160990558,-1.0,-0.043927081045458394,0.03211797080892964,,,,,0.26461481316850666,-0.6249999999999978,-1.0,-0.043927081045458394,0.03211797080892964,,,,,0.26461481316850666,-0.6249999999999978,-1.0,-0.043927081045458394,0.03211797080892964,,,,,0.26461481316850666,-0.6249999999999978,-1.0,-0.043927081045458394,0.03211797080892964,,,,,0.26461481316850666,-0.6249999999999978,-1.0,-0.043927081045458394,0.03211797080892964,,0.012092791276787737,385117.54049800505,3989774.2167883553,-1.5479876160990558,4579808.557286311,1903573.7548597301,2.4059002418972657,-0.6249999999999978,False,False,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T22:10:00Z,33995670588-1
KRW-PUNDIX,펀디엑스,133.0,125.4,115.32,144.25833333333333,0.5344735435595993,-8.740894901144653,13.072612789555766,-0.894596155737279,-1.3291789366233602,,,9.835103784269535,,False,False,False,False,400.56500929831043,7.258064516129026,13.0,A급,-0.7462686567164201,1.35115712831589,0.0,-0.05344735435595105,0.041189499352432435,False,True,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,17540.17999978,10733118.292881181,0.0016342110019800726,16,0.0,complete,1788646794274,1788647031463,1159520.73392289,2462822.51638757,-0.35979521884155463,132.0,135.0,2.2727272727272707,0.7575757575757569,1.4814814814814816,66.66666666666666,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.999999999999996,120.0,2026-09-02T03:00:00,144.0,2026-09-03T19:00:00,D-3,7.638888888888884,45.83333333333329,True,False,,-90.62343369126074,,1.35115712831589,-0.7462686567164201,0.0,-0.05344735435595105,0.041189499352432435,0.09137771875481349,,-90.62343369126074,,1.35115712831589,-0.7462686567164201,0.0,-0.05344735435595105,0.041189499352432435,0.09137771875481349,,-99.57494145492115,,1.760411042300234,0.0,0.0,0.0,0.0,0.0,,-99.57494145492115,,1.760411042300234,0.0,0.0,0.0,0.0,0.0,,-99.57494145492115,,1.760411042300234,0.0,0.0,0.0,0.0,0.0,,-99.57494145492115,,1.760411042300234,0.0,0.0,0.0,0.0,0.0,,-169523.82000022,10733118.292881181,-0.7462686567164201,10750658.472880961,11899512.792012718,0.9034536674557887,0.0,False,True,falling,rising,sell_advantage_weakening,accelerating,neutral,False,True,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S1,True,발사 구조 관찰 또는 초기 준비,2026-09-06T07:29:11.322407+09:00,2026-09-05T22:10:00Z,33995670588-1
KRW-USD1,월드리버티파이낸셜유에스디,1367.0,1380.2,1414.18,1462.15,-0.033800096571712235,2.402805866297078,5.604760113531446,-0.08284686697347769,-0.0003490198577798864,,,,,False,False,False,False,-17.227460616674218,-0.8701957940536631,7.0,B급,0.0,0.08114420143970946,2.0,0.019314340898113347,-0.016086376146748904,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,19999.999989300002,0.0,,2,0.0,complete,1788647040645,1788647340645,38770.54025859,39186.61549702,-0.005337229589729582,1371.0,1372.0,0.07293946024800047,-0.29175784099197966,0.36443148688046645,499.99999999996953,complete_hourly_ordered,/v1/candles/minutes/60,120,False,0.9454545454545382,1375.0,2026-09-01T04:00:00,1388.0,2026-09-02T07:00:00,D-4,1.5129682997118143,161.53846153846217,False,True,,89.91883505049418,,0.08114420143970946,0.0,2.0,0.019314340898113347,-0.016086376146748904,,,89.91883505049418,,0.08114420143970946,0.0,2.0,0.019314340898113347,-0.016086376146748904,,,,,1.1337030660845002,0.29347028613353476,2.0,0.019314340898113347,-0.016086376146748904,,,,,1.1337030660845002,0.29347028613353476,2.0,0.019314340898113347,-0.016086376146748904,,,,,1.1337030660845002,0.29347028613353476,2.0,0.019314340898113347,-0.016086376146748904,,,,,1.1337030660845002,0.29347028613353476,2.0,0.019314340898113347,-0.016086376146748904,,,9469.185610630002,0.0,0.0,19999.999989300002,39999.99996344,0.5000000001895001,0.29347028613353476,False,False,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T22:10:00Z,33995670588-1
KRW-BAT,베이직어텐션토큰,98.6,95.58,96.546,121.76916666666666,0.020929259104218723,1.000559318873913,21.507223366615797,-0.9284919484143164,-0.7106271323021509,1.07761765794811,,,,False,False,False,False,16.33904601138749,5.442902881536815,5.0,관찰,0.0,1.116163595604979,0.0,0.0,0.0,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,507002.05303233804,1431703.7626741328,0.35412497071695953,7,0.0,complete,1788646610665,1788647328629,489188.78947513,1254337.36542183,-0.43885121757288426,97.1,99.1,2.059732234809486,1.5447991761071034,0.5045408678102926,25.00000000000054,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.36728060671723,92.3,2026-09-03T10:00:00,99.1,2026-09-04T04:00:00,D-2,0.5045408678102881,7.352941176470782,False,True,-506.9630018686097,-80.03269255187764,28505.034614730124,1.116163595604979,-0.2024291497975783,0.0,0.0,0.0,,-506.9630018686097,-80.03269255187764,28505.034614730124,1.116163595604979,-0.2024291497975783,0.0,0.0,0.0,,,,,2.5511622234922093,1.0245901639344357,0.0,0.0837170364169082,-0.05925691207643524,,,,,2.5511622234922093,1.0245901639344357,0.0,0.0837170364169082,-0.05925691207643524,,,,,2.5511622234922093,1.0245901639344357,0.0,0.0837170364169082,-0.05925691207643524,,,,,2.5511622234922093,1.0245901639344357,0.0,0.0837170364169082,-0.05925691207643524,,-506.9630018686097,-2032158.794516061,1426698.6865329668,-0.2024291497975783,1938705.815706471,1142061.3517980129,1.6975496217031203,1.0245901639344357,False,False,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T22:10:00Z,33995670588-1
KRW-HUNT,헌트,122.0,120.06666666666666,115.2,125.525,0.2783964365256075,-4.224537037037032,4.348403372502165,-0.7402894778862669,-0.9024613742901135,,,4.818381701845876,,False,False,False,False,188.30901461472908,5.1724137931034475,13.0,A급,0.0,0.3184357217990623,0.0,0.0,0.0,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,3221782.24274,0.0,,3,0.0,complete,1788646546337,1788647338261,1791174.43412749,3516489.35088805,-0.32506107896875924,122.0,123.0,0.8196721311475308,0.0,0.8130081300813009,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.344827586206895,116.0,2026-09-01T07:00:00,128.0,2026-09-03T13:00:00,D-3,4.6875,50.0,False,True,,346.417290484431,,0.3184357217990623,0.0,0.0,0.0,0.0,0.0,,346.417290484431,,0.3184357217990623,0.0,0.0,0.0,0.0,0.0,,,-100.0,0.7466063711504489,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.7466063711504489,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.7466063711504489,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.7466063711504489,0.8264462809917328,0.0,0.0,0.0,0.0,,2500084.7835659003,0.0,0.0,3221782.24274,1703125.15169923,1.8916884877929177,0.8264462809917328,False,False,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S1,False,,,2026-09-05T22:10:00Z,33995670588-1
KRW-PENGU,펏지펭귄,11.8,12.42,9.9758,10.50225,-0.2676659528908054,-24.50129312937309,-18.260372777262013,-0.5642449424268523,-1.5330647995262843,,,,,False,False,False,False,9.76227639340328,-2.4793388429751984,7.0,B급,-0.8403361344537785,0.01219668940635188,0.0,-0.053533190578169965,0.05409043592143448,False,False,False,False,2026-09-06T07:29:11.322407+09:00,1788647351,0.0,27690852.098667163,0.0,8,0.0,complete,1788646577844,1788647154800,72193644.99858968,116451171.53469306,-0.234607700065244,11.4,11.9,4.385964912280693,3.5087719298245723,0.8403361344537785,19.999999999999595,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.71428571428572,11.2,2026-09-02T19:00:00,12.4,2026-09-04T00:00:00,D-2,4.8387096774193505,50.0,False,False,,-100.0,,0.01219668940635188,-0.8403361344537785,0.0,-0.053533190578169965,0.05409043592143448,,,-100.0,,0.01219668940635188,-0.8403361344537785,0.0,-0.053533190578169965,0.05409043592143448,,0.0,,299.21191454908035,0.20955139399836398,0.0,0.0,0.0,0.0,,0.0,,299.21191454908035,0.20955139399836398,0.0,0.0,0.0,0.0,,0.0,,299.21191454908035,0.20955139399836398,0.0,0.0,0.0,0.0,,0.0,,299.21191454908035,0.20955139399836398,0.0,0.0,0.0,0.0,,,-2094107.44627665,27690852.098667163,-0.8403361344537785,27690852.098667163,33212676.50615807,0.8337434682065721,0.0,False,False,falling,rising,sell_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T22:10:00Z,33995670588-1
