market,snapshot_kst,snapshot_epoch,price,value_accel_pct,launch_score,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,slope15,gap120,f120up,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_value_accel_pct,delta_price_pct_15m,delta_launch_score,delta_slope15,delta_gap120,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-0G,2026-09-03T23:17:54.803607+09:00,1788445074,251.0,2611.9038054616085,10.0,572971.6216112201,2432865.2275051503,0.235513095889323,8,0.0,complete,1788444175215,1788444769999,1435085.34879455,1656957.60470754,-0.07175587766712443,255.0,259.0,1.5686274509803866,-1.5686274509803977,3.088803088803089,200.0000000000007,complete_hourly_ordered,/v1/candles/minutes/60,120,False,61.990950226244344,221.0,2026-08-30T04:00:00,358.0,2026-09-01T11:00:00,D-2,29.88826815642458,78.1021897810219,True,1.1884550084889645,39.547365974261986,,True,-1.1581825305516518,-97.25285560490445,-83.74322619220396,0.7041733908940842,0.40000000000000036,0.0,0.05659309564232107,-0.03125662458418077,,0.20189552555672452,-10.454729695098052,-87.21814423499727,1.318565468991892,0.8032128514056325,0.0,0.02829654782114943,-0.015627982037408117,,-0.0436990923096941,-97.79839079482933,-97.38988559674965,7.657105753317865,-1.5686274509803977,0.0,-0.05659309564234327,0.03125398271417623,,-0.0436990923096941,-97.79839079482933,-97.38988559674965,7.657105753317865,-1.5686274509803977,0.0,-0.05659309564234327,0.03125398271417623,,-0.0436990923096941,-97.79839079482933,-97.38988559674965,7.657105753317865,-1.5686274509803977,0.0,-0.05659309564234327,0.03125398271417623,,-0.0436990923096941,-97.79839079482933,-97.38988559674965,7.657105753317865,-1.5686274509803977,0.0,-0.05659309564234327,0.03125398271417623,,-1.1581825305516518,-20284018.008571353,-12532374.83961355,0.7041733908940842,0.40000000000000036,0.0,0.05659309564232107,-0.03125662458418077,3005836.84911637,31222326.071659975,0.09627203438390589,-1.5686274509803977,False,True,falling,falling,sell_advantage_accelerating,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-1INCH,2026-09-03T23:17:54.803607+09:00,1788445074,123.0,103.91682547793559,9.0,161585.20739624,561841.99093596,0.2875990225064147,3,0.0,complete,1788444903831,1788445315401,1681317.46598877,961717.51200716,0.2722627433887551,120.0,124.0,3.3333333333333437,2.499999999999991,0.8064516129032258,25.0000000000005,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.000000000000004,120.0,2026-08-31T08:00:00,126.0,2026-09-01T21:00:00,D-2,2.3809523809523836,50.00000000000022,True,0.21586616297895045,-3.793753929993705,,True,0.22670416014500877,-51.483699613845104,-89.7273870802755,1.6766537045180314,-0.8064516129032251,0.0,-0.05396654074474316,0.04863813372013759,,0.20606992803389165,223.17041479299706,-8.387062484556761,2.2105818226143015,0.0,0.0,0.0,0.0,,-0.3442289359252642,-98.11549744546373,-95.8599254221548,27.225561620256016,1.6528925619834656,1.0,0.05396654074474316,-0.04864493055267438,,-0.3442289359252642,-98.11549744546373,-95.8599254221548,27.225561620256016,1.6528925619834656,1.0,0.05396654074474316,-0.04864493055267438,,-0.3442289359252642,-98.11549744546373,-95.8599254221548,27.225561620256016,1.6528925619834656,1.0,0.05396654074474316,-0.04864493055267438,,-0.3442289359252642,-98.11549744546373,-95.8599254221548,27.225561620256016,1.6528925619834656,1.0,0.05396654074474316,-0.04864493055267438,,0.22670416014500877,-171468.23260256005,-4907477.21077527,1.6766537045180314,-0.8064516129032251,0.0,-0.05396654074474316,0.04863813372013759,723427.1983322,31161.051147,23.215750807618285,1.6528925619834656,False,False,falling,falling,sell_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-2Z,2026-09-03T23:17:54.803607+09:00,1788445074,74.2,23.655828331264715,6.0,40216.802167710004,579750.124937336,0.06936919965658819,6,0.0,complete,1788444240869,1788445062421,797898.53963112,1325567.35121961,-0.24849413115700603,73.9,75.3,1.8944519621109546,0.4059539918809252,1.4608233731739633,78.57142857142824,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.841446453407495,71.9,2026-08-31T08:00:00,76.1,2026-09-02T01:00:00,D-1,2.4967148488830415,45.23809523809506,False,0.2787213657347021,25.769274166250263,,False,0.060959275895172395,-19.80437680087145,-90.2775427647615,0.06148151117410805,0.13495276653172628,0.0,-0.026130128037626932,0.01754747159111858,,0.06936919965658819,,864.992501346039,0.6646339565529402,-0.13458950201883368,0.0,-0.043550213396037485,0.029245314594518845,,0.0521152861778037,-51.17590815770859,-87.85618602351688,2.93308446901532,0.2702702702702675,0.0,-0.017420085358410553,0.011698408674501337,,0.0521152861778037,-51.17590815770859,-87.85618602351688,2.93308446901532,0.2702702702702675,0.0,-0.017420085358410553,0.011698408674501337,,0.0521152861778037,-51.17590815770859,-87.85618602351688,2.93308446901532,0.2702702702702675,0.0,-0.017420085358410553,0.011698408674501337,,0.0521152861778037,-51.17590815770859,-87.85618602351688,2.93308446901532,0.2702702702702675,0.0,-0.017420085358410553,0.011698408674501337,,0.060959275895172395,-9931.573221618004,-5383249.875063331,0.06148151117410805,0.13495276653172628,0.0,-0.026130128037626932,0.01754747159111858,619966.927105046,1507018.873365337,0.41138630581353797,0.2702702702702675,False,False,falling,falling,sell_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-A,2026-09-03T23:17:54.803607+09:00,1788445074,107.0,-40.07085825383301,12.0,9657033.11083665,3804919.50372886,2.5380387420476724,33,0.0,complete,1788444780063,1788445044912,1251857.33021979,3050893.89020241,-0.4181130787770929,105.0,108.0,2.857142857142847,1.904761904761898,0.9259259259259258,33.33333333333333,complete_hourly_ordered,/v1/candles/minutes/60,120,False,6.930693069306937,101.0,2026-08-31T08:00:00,108.0,2026-09-03T00:00:00,D0,0.92592592592593,14.285714285714285,False,0.9181430234061816,0.6176376950016002,0.4614476010735645,True,,,,0.4372992123038415,0.9433962264151052,0.0,0.0,0.0,0.0,2.5380387420476724,,461.4492641345518,0.4372992123038415,0.9433962264151052,0.0,0.0,0.0,0.0,,6491.546486223759,,1.6377379553889284,0.9433962264151052,0.0,0.0,0.0,0.0,,6491.546486223759,,1.6377379553889284,0.9433962264151052,0.0,0.0,0.0,0.0,,6491.546486223759,,1.6377379553889284,0.9433962264151052,0.0,0.0,0.0,0.0,,6491.546486223759,,1.6377379553889284,0.9433962264151052,0.0,0.0,0.0,0.0,,9657033.11083665,3804919.50372886,0.4372992123038415,0.9433962264151052,0.0,0.0,0.0,13461952.61456551,607729.1402910049,22.15123765189109,0.9433962264151052,False,True,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S0,True,가격 미급등 상태에서 선행조건 3개 개선,2026-09-03T23:17:54.803607+09:00,2026-09-03T14:00:00Z,33765068330-1
KRW-AAVE,2026-09-03T23:17:54.803607+09:00,1788445074,179700.0,-11.061754577506244,7.0,10814076.67642,10724496.898271998,1.0083528186914237,19,0.0,complete,1788444437740,1788445081563,1112.83280633,503.21457698,0.37722794247615166,174900.0,180800.0,3.373356203544886,2.7444253859348233,0.6084070796460177,18.64406779661015,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.945865556216528,168100.0,2026-08-31T11:00:00,186500.0,2026-09-02T14:00:00,D-1,3.646112600536189,36.95652173913045,True,1.8955861042572408,-30.44372023063425,,True,-5.915461845970572,-60.41631600655355,171.79979728805804,0.44877018193186835,-0.05561735261401246,0.0,-0.01958250107703119,0.02098067495280631,,-1.4114385900634463,-76.5240704471768,-43.663714137104826,0.9269773085795787,0.3910614525139744,0.0,-0.003916500215406238,0.00419624018256215,,0.5732535258981528,-54.365569270564805,-80.30896709034049,2.8721624917940503,0.6159014557670872,0.0,0.035248501938678345,-0.03776852867061464,,0.5732535258981528,-54.365569270564805,-80.30896709034049,2.8721624917940503,0.6159014557670872,0.0,0.035248501938678345,-0.03776852867061464,,0.5732535258981528,-54.365569270564805,-80.30896709034049,2.8721624917940503,0.6159014557670872,0.0,0.035248501938678345,-0.03776852867061464,,0.5732535258981528,-54.365569270564805,-80.30896709034049,2.8721624917940503,0.6159014557670872,0.0,0.035248501938678345,-0.03776852867061464,,-5.915461845970572,-16505453.962038,6778762.940675998,0.44877018193186835,-0.05561735261401246,0.0,-0.01958250107703119,0.02098067495280631,21538573.574691996,28907453.427309997,0.7450872014324051,0.6159014557670872,False,False,falling,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-ADA,2026-09-03T23:17:54.803607+09:00,1788445074,291.0,-30.763516442057416,8.0,453553886.64506155,57793556.10091372,7.84782798021821,480,0.0,complete,1788444175098,1788445478757,6957312.28457526,4814855.35147112,0.1819934101638119,277.0,291.0,5.054151624548742,5.054151624548742,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,11.363636363636353,264.0,2026-09-02T19:00:00,294.0,2026-09-03T23:00:00,D0,0.3401360544217691,3.333333333333228,False,0.7897793263646813,-2.2866572371522773,,True,6.956289934106598,550.6907685067282,-26.079473474745907,0.5722441891815144,1.041666666666674,0.0,0.046457607433203485,-0.041121785982371595,,6.718616917154527,262.44621798206333,-47.84820970304233,0.8340472104915939,1.041666666666674,0.0,0.046457607433203485,-0.041121785982371595,,7.285894452781047,1045.1444096047678,-18.003422203418097,2.8910225297541743,2.1052631578947434,0.0,0.13937282229963266,-0.12337990146114608,,7.285894452781047,1045.1444096047678,-18.003422203418097,2.8910225297541743,2.1052631578947434,0.0,0.13937282229963266,-0.12337990146114608,,7.285894452781047,1045.1444096047678,-18.003422203418097,2.8910225297541743,2.1052631578947434,0.0,0.13937282229963266,-0.12337990146114608,,7.285894452781047,1045.1444096047678,-18.003422203418097,2.8910225297541743,2.1052631578947434,0.0,0.13937282229963266,-0.12337990146114608,,6.956289934106598,383850440.9229218,-20389810.30296223,0.5722441891815144,1.041666666666674,0.0,0.046457607433203485,-0.041121785982371595,511347442.74597526,126416401.53986843,4.044945406745419,2.1052631578947434,False,False,rising,falling,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-AERO,2026-09-03T23:17:54.803607+09:00,1788445074,687.0,3.3553226396299207,8.0,6364228.3956024395,11658047.794722559,0.5459085867261103,56,0.0,complete,1788444190573,1788445200902,98614.6039194,99175.12743381,-0.0028339363756403812,638.0,687.0,7.68025078369905,7.68025078369905,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.096153846153854,624.0,2026-09-02T20:00:00,687.0,2026-09-03T23:00:00,D0,0.29112081513827937,3.1746031746031433,False,0.7712844853159151,-3.2548950074723213,,True,-1.0346626643502215,-48.987649488832005,47.696256531377124,0.728732141626498,0.8810572687224738,0.0,0.02966478789674376,-0.026473754860072862,,-1.7305355820517008,-16.88615119879352,246.585565878108,1.9833428977108936,1.327433628318575,0.0,0.039553050529006484,-0.035298786888192435,,0.34421575582244596,1588.4135067779014,523.8057216873787,4.1543506627506055,2.998500749625177,0.0,0.15821220211607034,-0.14121661067466995,,0.34421575582244596,1588.4135067779014,523.8057216873787,4.1543506627506055,2.998500749625177,0.0,0.15821220211607034,-0.14121661067466995,,0.34421575582244596,1588.4135067779014,523.8057216873787,4.1543506627506055,2.998500749625177,0.0,0.15821220211607034,-0.14121661067466995,,0.34421575582244596,1588.4135067779014,523.8057216873787,4.1543506627506055,2.998500749625177,0.0,0.15821220211607034,-0.14121661067466995,,-1.0346626643502215,-6111629.571791432,3764788.975230488,0.728732141626498,0.8810572687224738,0.0,0.02966478789674376,-0.026473754860072862,18022276.190325,4591500.4642751,3.925138705865367,2.998500749625177,False,False,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-AGLD,2026-09-03T23:17:54.803607+09:00,1788445074,225.0,-26.997458973014133,7.0,1387398.93746582,77091.86920733,17.996696042413564,10,0.0,complete,1788444654437,1788445097226,589901.04162021,609593.52827427,-0.01641732038502877,221.0,225.0,1.8099547511312153,1.8099547511312153,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.882352941176472,221.0,2026-08-31T08:00:00,234.0,2026-08-31T12:00:00,D-3,3.8461538461538436,69.23076923076935,False,0.08678044547294483,13.223399586180953,,False,,27103.900738037744,,0.005301817562894939,0.44642857142858094,-1.0,-0.028926815157648278,0.022358801203367307,,,341.840466430878,,0.0066772719699557115,0.44642857142858094,-1.0,-0.028926815157648278,0.022358801203367307,,,,,1.1493068783432818,1.3513513513513598,0.0,0.028926815157648278,-0.02236020314093068,,,,,1.1493068783432818,1.3513513513513598,0.0,0.028926815157648278,-0.02236020314093068,,,,,1.1493068783432818,1.3513513513513598,0.0,0.028926815157648278,-0.02236020314093068,,,,,1.1493068783432818,1.3513513513513598,0.0,0.028926815157648278,-0.02236020314093068,,,1382298.93746646,77091.86920733,0.005301817562894939,0.44642857142858094,-1.0,-0.028926815157648278,0.022358801203367307,1464490.80667315,395104.79836971004,3.706588258902356,1.3513513513513598,False,False,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-AHT,2026-09-03T23:17:54.803607+09:00,1788445074,1.33,1215.839789520261,8.0,7288.517365956401,537892.1115437598,0.013550147342816067,4,0.0,complete,1788444375839,1788444894309,202197066.38310477,188090768.7569565,0.03614331874086212,1.35,1.4,3.703703703703698,-1.4814814814814836,4.999999999999989,140.0000000000001,complete_hourly_ordered,/v1/candles/minutes/60,120,False,37.00787401574803,1.27,2026-08-30T08:00:00,1.74,2026-09-01T18:00:00,D-2,23.563218390804597,87.23404255319144,False,0.6739243131156147,19.867959562616036,,False,,-96.35574131702171,,0.09844258387443006,1.526717557251911,0.0,0.0,0.0,,0.013550147342816067,,-32.30221543789974,0.09844258387443006,1.526717557251911,0.0,0.0,0.0,,-2.16419583376837,-98.50825441341297,139.74964063786177,0.892471565533242,0.7575757575757569,0.0,0.0,0.0,,-2.16419583376837,-98.50825441341297,139.74964063786177,0.892471565533242,0.7575757575757569,0.0,0.0,0.0,,-2.16419583376837,-98.50825441341297,139.74964063786177,0.892471565533242,0.7575757575757569,0.0,0.0,0.0,,-2.16419583376837,-98.50825441341297,139.74964063786177,0.892471565533242,0.7575757575757569,0.0,0.0,0.0,,,-192711.4826340382,537892.1115437598,0.09844258387443006,1.526717557251911,0.0,0.0,0.0,545180.6289097163,2098882.81548116,0.2597480073153755,0.7575757575757569,False,True,falling,rising,sell_advantage_weakening,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-AI,2026-09-03T23:17:54.803607+09:00,1788445074,26.6,,,466847.428135662,0.0,,3,0.0,complete,1788444507714,1788445113711,7754327.91370234,6340244.75374922,0.10032820386379267,26.2,26.9,2.6717557251908275,1.526717557251911,1.115241635687722,42.8571428571425,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.166051660516602,27.1,2026-08-29T21:00:00,28.5,2026-08-30T00:00:00,D-4,6.666666666666665,135.71428571428567,True,,,,True,,-89.19291344779663,,,0.0,,,,,,505.8200678346533,,,0.37735849056603765,,,,,,2495.4867122060223,,,0.0,,,,,,2495.4867122060223,,,0.0,,,,,,2495.4867122060223,,,0.0,,,,,,2495.4867122060223,,,0.0,,,,,,-3852979.4362145667,0.0,,0.0,,,,466847.428135662,3177987.612987427,0.1469003297016655,0.0,False,False,falling,flat_or_na,buy_only,flat_or_na,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-AKT,2026-09-03T23:17:54.803607+09:00,1788445074,708.0,-40.17110901362061,7.0,1297773.84253712,4550864.149656239,0.2851708598322256,32,0.0,complete,1788444315249,1788445240333,192284.83708529,76129.48017603,0.4327465021032193,687.0,710.0,3.3478893740902516,3.056768558951961,0.28169014084507044,8.695652173913274,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.799151343705788,707.0,2026-08-30T08:00:00,748.0,2026-08-31T01:00:00,D-3,5.3475935828877,97.5609756097562,False,0.0632339656730041,19.34541416752373,,True,-0.2780097208504581,-49.75516233402364,-0.7720604072952941,0.20352164469984757,0.42553191489360653,0.0,0.018066847335140857,-0.013094602010895073,,-0.45426419068609075,244.07443841371506,792.1693468266355,0.2621317339190057,0.14144271570013522,0.0,0.018066847335140857,-0.013094602010895073,,0.20892390760528629,168.70949820702722,-28.154369332231543,1.5255205316558644,0.0,0.0,0.00903342366758153,-0.006547241414111227,,0.20892390760528629,168.70949820702722,-28.154369332231543,1.5255205316558644,0.0,0.0,0.00903342366758153,-0.006547241414111227,,0.20892390760528629,168.70949820702722,-28.154369332231543,1.5255205316558644,0.0,0.0,0.00903342366758153,-0.006547241414111227,,0.20892390760528629,168.70949820702722,-28.154369332231543,1.5255205316558644,0.0,0.0,0.00903342366758153,-0.006547241414111227,,-0.2780097208504581,-1285126.0190658094,-35408.7975962311,0.20352164469984757,0.42553191489360653,0.0,0.018066847335140857,-0.013094602010895073,5848637.992193359,4638740.84680631,1.2608244748615438,0.0,False,False,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T14:00:00Z,33765068330-1
KRW-ALGO,2026-09-03T23:17:54.803607+09:00,1788445074,128.0,-2.5575252627873635,11.0,3932964.1184896007,0.0,,10,0.0,complete,1788444424317,1788445119806,5480045.66744698,6333834.59562707,-0.07226998320346345,128.0,130.0,1.5625,0.0,1.5384615384615385,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,12.06896551724137,116.0,2026-08-31T08:00:00,130.0,2026-09-03T09:00:00,D0,1.538461538461533,14.285714285714231,False,0.8073196986006392,9.41297382262258,10.750973097535928,False,,-85.19587218366314,-100.0,0.047305516751883214,0.0,0.0,0.0,0.0,0.0,,-21.056542194679718,-100.0,0.3683167072552451,0.7874015748031482,0.0,0.0,0.0,0.0,,21995.30403645843,-100.0,3.3830233471773834,0.0,0.0,0.053821313240032254,-0.042890748115032906,-0.15584680572642462,,21995.30403645843,-100.0,3.3830233471773834,0.0,0.0,0.053821313240032254,-0.042890748115032906,-0.15584680572642462,,21995.30403645843,-100.0,3.3830233471773834,0.0,0.0,0.053821313240032254,-0.042890748115032906,-0.15584680572642462,,21995.30403645843,-100.0,3.3830233471773834,0.0,0.0,0.053821313240032254,-0.042890748115032906,-0.15584680572642462,,-22633708.14537344,-68682.95128,0.047305516751883214,0.0,0.0,0.0,0.0,3932964.1184896007,6435260.179241611,0.6111585248994699,0.0,False,True,falling,falling,buy_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S1,True,발사 구조 관찰 또는 초기 준비,2026-09-03T23:17:54.803607+09:00,2026-09-03T14:00:00Z,33765068330-1
