market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-WAXP,왁스,6.11,5.902,5.606599999999999,6.736083333333334,0.2491224096931255,-5.268790354225391,12.382319102346822,-0.755902249549831,-1.1241870967075023,,,11.014464708420798,,False,False,False,False,32.48997216411937,2.35294117647058,11.0,A급,0.164473684210531,0.0941927124523474,0.0,0.0339712376854262,-0.026440021740759434,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,4986077.961019459,0.0,,4,0.0,complete,1788645381978,1788645381978,12306013.27027171,10951387.74514137,0.058244922733739914,6.06,6.11,0.8250825082508406,0.8250825082508406,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,14.436619718309874,5.68,2026-09-02T10:00:00,6.5,2026-09-03T10:00:00,D-3,5.999999999999995,47.560975609756106,False,True,,16301.572240195588,-100.0,0.0941927124523474,0.49342105263159297,0.0,0.0339712376854262,-0.026440021740759434,-0.07568560881829178,,16301.572240195588,-100.0,0.0941927124523474,0.49342105263159297,0.0,0.0339712376854262,-0.026440021740759434,-0.07568560881829178,,16301.572240195588,-100.0,0.0941927124523474,0.49342105263159297,0.0,0.0339712376854262,-0.026440021740759434,-0.07568560881829178,,16301.572240195588,-100.0,0.0941927124523474,0.49342105263159297,0.0,0.0339712376854262,-0.026440021740759434,-0.07568560881829178,,16301.572240195588,-100.0,0.0941927124523474,0.49342105263159297,0.0,0.0339712376854262,-0.026440021740759434,-0.07568560881829178,,16301.572240195588,-100.0,0.0941927124523474,0.49342105263159297,0.0,0.0339712376854262,-0.026440021740759434,-0.07568560881829178,,4955677.961019459,-55062.0987723411,0.49342105263159297,4986077.961019459,3009738.779806921,1.6566480767275502,0.49342105263159297,False,True,rising,falling,buy_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 6개 개선,S1,False,,,2026-09-05T21:40:00Z,33994076599-1
KRW-CARV,카브,48.3,46.440000000000005,43.662,56.50833333333333,0.11497556769188844,-6.362512024185804,17.81743105736616,-0.6269033392447505,-0.9424712070797305,,,,,False,False,False,False,35.89680033825926,0.0,8.0,B급,0.6249999999999867,0.09270628801738923,0.0,0.04311583788447759,-0.03175855432586161,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,206578.42391592,501535.276083849,0.4118921116156608,4,0.0,complete,1788644795457,1788645078397,2198856.08039864,1591642.70077763,0.16019352984268187,47.1,48.5,2.972399150743099,2.547770700636942,0.41237113402062436,14.285714285714285,complete_hourly_ordered,/v1/candles/minutes/60,120,False,16.455696202531644,47.4,2026-09-02T03:00:00,55.2,2026-09-02T13:00:00,D-4,12.50000000000001,88.46153846153852,False,True,,,,0.09270628801738923,0.6249999999999867,0.0,0.04311583788447759,-0.03175855432586161,,,,,0.09270628801738923,0.6249999999999867,0.0,0.04311583788447759,-0.03175855432586161,,,,,0.09270628801738923,0.6249999999999867,0.0,0.04311583788447759,-0.03175855432586161,,,,,0.09270628801738923,0.6249999999999867,0.0,0.04311583788447759,-0.03175855432586161,,,,,0.09270628801738923,0.6249999999999867,0.0,0.04311583788447759,-0.03175855432586161,,,,,0.09270628801738923,0.6249999999999867,0.0,0.04311583788447759,-0.03175855432586161,,,206578.42391592,501535.276083849,0.6249999999999867,708113.699999769,1845271.964485406,0.3837448970278166,0.6249999999999867,False,False,rising,rising,sell_advantage_weakening,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-05T21:40:00Z,33994076599-1
KRW-LSK,리스크,140.0,135.53333333333333,119.1,137.375,0.8432539682539542,-13.797928911279042,1.3406126781922973,-1.1041992772368356,-1.4711184575103504,,,0.9112880552536098,,False,False,False,False,-81.83610047877737,0.7194244604316502,12.0,A급,0.7194244604316502,0.15331987770325384,0.0,0.049603174603163325,-0.04254674913117196,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,0.0,2962476.3984116,0.0,6,0.0,complete,1788645111839,1788645249490,959406.67089948,4365899.07099411,-0.6396801545676771,139.0,140.0,0.7194244604316502,0.7194244604316502,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.575757575757569,132.0,2026-09-03T08:00:00,142.0,2026-09-04T01:00:00,D-2,1.4084507042253502,20.0,False,True,-0.0016619830984370063,-100.0,-17.940238258346486,0.15331987770325384,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,-0.0016619830984370063,-100.0,-17.940238258346486,0.15331987770325384,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,-0.0016619830984370063,-100.0,-17.940238258346486,0.15331987770325384,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,-0.0016619830984370063,-100.0,-17.940238258346486,0.15331987770325384,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,-0.0016619830984370063,-100.0,-17.940238258346486,0.15331987770325384,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,-0.0016619830984370063,-100.0,-17.940238258346486,0.15331987770325384,0.7194244604316502,0.0,0.049603174603163325,-0.04254674913117196,-0.03439142948141516,-0.0016619830984370063,-5999.999999000001,-647668.6172884,0.7194244604316502,2962476.3984116,1096294.241315,2.7022639422588983,0.7194244604316502,False,True,falling,falling,sell_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 5개 개선,S1,False,,,2026-09-05T21:40:00Z,33994076599-1
KRW-0G,제로지,270.0,244.26666666666668,232.4,385.1333333333333,0.8532892925956714,-5.106138841078603,36.57607754890081,-1.423229645752207,-1.5016530251997344,,,,,False,False,False,False,-28.29960075898702,-13.183279742765276,7.0,B급,-1.8181818181818188,0.19969971560079003,-1.0,-0.16515276630881814,0.09561370051692819,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,39587565.70500902,10117728.707222011,3.912692942315355,22,0.0,complete,1788644782520,1788645490017,1200756.53427696,1864578.57387053,-0.21655773877027928,269.0,277.0,2.973977695167296,0.3717472118959009,2.527075812274368,87.50000000000038,complete_hourly_ordered,/v1/candles/minutes/60,120,False,18.15181518151816,303.0,2026-09-01T09:00:00,358.0,2026-09-01T11:00:00,D-4,24.581005586592177,159.99999999999997,False,True,3.1062775741368513,163.6403114951594,-45.663101604069354,0.19969971560079003,-1.8181818181818188,-1.0,-0.16515276630881814,0.09561370051692819,,3.1062775741368513,163.6403114951594,-45.663101604069354,0.19969971560079003,-1.8181818181818188,-1.0,-0.16515276630881814,0.09561370051692819,,3.1062775741368513,163.6403114951594,-45.663101604069354,0.19969971560079003,-1.8181818181818188,-1.0,-0.16515276630881814,0.09561370051692819,,3.1062775741368513,163.6403114951594,-45.663101604069354,0.19969971560079003,-1.8181818181818188,-1.0,-0.16515276630881814,0.09561370051692819,,3.1062775741368513,163.6403114951594,-45.663101604069354,0.19969971560079003,-1.8181818181818188,-1.0,-0.16515276630881814,0.09561370051692819,,3.1062775741368513,163.6403114951594,-45.663101604069354,0.19969971560079003,-1.8181818181818188,-1.0,-0.16515276630881814,0.09561370051692819,,3.1062775741368513,24571817.361935213,-8502636.101785455,-1.8181818181818188,49705294.41223103,26927235.34787353,1.845911537894153,-1.8181818181818188,False,False,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,True,True,True,⚡ 2차 시동/재점화,S4,⚡ 2차 시동·재점화,Higher Low·BID 증가·ASK 감소·ratio 및 거래대금 재가속 확인,S3,True,Higher Low·BID 증가·ASK 감소·ratio 및 거래대금 재가속 확인,2026-09-06T06:58:23.995940+09:00,2026-09-05T21:40:00Z,33994076599-1
KRW-BORA,보라,32.3,30.48,29.982,37.27166666666667,0.41730726993189915,-1.660996597958779,18.222063229441492,-1.1211228527934887,-1.0661782854608515,,,,,False,False,False,False,-64.43434812436301,7.0234113712374535,8.0,B급,0.0,0.19505675294024627,0.0,0.0,0.0,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,15854.799999951,189062.0,0.08386032095265573,16,0.0,complete,1788644744327,1788645486867,2931827.44621231,5065802.74924899,-0.2668259535490555,31.3,32.7,4.472843450479247,3.194888178913735,1.2232415902140847,28.571428571428854,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.472972972972983,29.6,2026-09-01T05:00:00,32.7,2026-09-05T09:00:00,D-1,1.2232415902140858,12.903225806451902,False,True,,,,0.19505675294024627,0.9374999999999911,0.0,0.0,0.0,,,,,0.19505675294024627,0.9374999999999911,0.0,0.0,0.0,,,,,0.19505675294024627,0.9374999999999911,0.0,0.0,0.0,,,,,0.19505675294024627,0.9374999999999911,0.0,0.0,0.0,,,,,0.19505675294024627,0.9374999999999911,0.0,0.0,0.0,,,,,0.19505675294024627,0.9374999999999911,0.0,0.0,0.0,,,15854.799999951,189062.0,0.9374999999999911,204916.799999951,1999568.3481684672,0.10248051795161063,0.9374999999999911,False,False,rising,rising,sell_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T21:40:00Z,33994076599-1
KRW-PUNDIX,펀디엑스,134.0,125.46666666666667,115.34,144.26666666666668,0.5879208979155504,-8.779839315646493,13.031423290203334,-0.902385038637647,-1.3374168364938466,,,9.743726065514721,,False,False,False,False,399.21385216999454,8.064516129032251,13.0,A급,0.7518796992481258,0.40925391398434385,0.0,0.05344735435595105,-0.041189499352432435,False,True,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,187064.0,0.0,,2,0.0,complete,1788644605281,1788644607309,1162051.92854516,2493441.64864464,-0.3642161289537814,132.0,135.0,2.2727272727272707,1.5151515151515138,0.7407407407407408,33.33333333333333,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.999999999999996,120.0,2026-09-02T03:00:00,144.0,2026-09-03T19:00:00,D-3,6.944444444444442,41.66666666666664,True,False,,-95.46679956091518,,0.40925391398434385,0.7518796992481258,0.0,0.05344735435595105,-0.041189499352432435,-0.09137771875481349,,-95.46679956091518,,0.40925391398434385,0.7518796992481258,0.0,0.05344735435595105,-0.041189499352432435,-0.09137771875481349,,-95.46679956091518,,0.40925391398434385,0.7518796992481258,0.0,0.05344735435595105,-0.041189499352432435,-0.09137771875481349,,-95.46679956091518,,0.40925391398434385,0.7518796992481258,0.0,0.05344735435595105,-0.041189499352432435,-0.09137771875481349,,-95.46679956091518,,0.40925391398434385,0.7518796992481258,0.0,0.05344735435595105,-0.041189499352432435,-0.09137771875481349,,-95.46679956091518,,0.40925391398434385,0.7518796992481258,0.0,0.05344735435595105,-0.041189499352432435,-0.09137771875481349,,-3939468.73363233,0.0,0.7518796992481258,187064.0,11919488.137009751,0.015693962513303766,0.7518796992481258,False,True,falling,flat_or_na,buy_only,accelerating,neutral,False,True,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S0,True,가격 미급등 상태에서 선행조건 3개 개선,2026-09-06T06:58:23.995940+09:00,2026-09-05T21:40:00Z,33994076599-1
KRW-USD1,월드리버티파이낸셜유에스디,1367.0,1379.9333333333334,1414.1,1462.1166666666666,-0.05311443746982558,2.4161421870211806,5.620846489678195,-0.08017960282865717,0.0028682553715698943,,,,,False,False,False,False,-17.308604818113928,-1.1602610587382212,5.0,관찰,0.0,1.0525588646447908,0.0,0.0,0.0,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,10530.81437867,0.0,,1,0.0,complete,1788645240549,1788645240549,39759.54025859,25617.37320821,0.2163174475583302,1371.0,1372.0,0.07293946024800047,-0.29175784099197966,0.36443148688046645,499.99999999996953,complete_hourly_ordered,/v1/candles/minutes/60,120,False,0.9454545454545382,1375.0,2026-09-01T04:00:00,1388.0,2026-09-02T07:00:00,D-4,1.5129682997118143,161.53846153846217,False,True,,,,1.0525588646447908,0.29347028613353476,0.0,0.0,0.0,,,,,1.0525588646447908,0.29347028613353476,0.0,0.0,0.0,,,,,1.0525588646447908,0.29347028613353476,0.0,0.0,0.0,,,,,1.0525588646447908,0.29347028613353476,0.0,0.0,0.0,,,,,1.0525588646447908,0.29347028613353476,0.0,0.0,0.0,,,,,1.0525588646447908,0.29347028613353476,0.0,0.0,0.0,,,10530.81437867,0.0,0.29347028613353476,10530.81437867,39999.99997422,0.26327035963642775,0.29347028613353476,False,False,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T21:40:00Z,33994076599-1
KRW-BAT,베이직어텐션토큰,98.8,95.58,96.546,121.76916666666666,0.020929259104218723,1.000559318873913,21.507223366615797,-0.9284919484143164,-0.7106271323021509,1.07761765794811,,,,False,False,False,False,15.222882415782513,5.442902881536815,5.0,관찰,1.2295081967213184,1.4349986278872304,0.0,0.0837170364169082,-0.05925691207643524,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,2539160.847548399,5005.076141166,507.31712683932665,32,0.0,complete,1788645031416,1788645246876,544970.3406902,1112666.88590483,-0.3424733325884225,97.1,98.8,1.750772399588052,1.750772399588052,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.36728060671723,92.3,2026-09-03T10:00:00,99.1,2026-09-04T04:00:00,D-2,0.3027245206861706,4.41176470588253,False,True,,,,1.4349986278872304,1.2295081967213184,0.0,0.0837170364169082,-0.05925691207643524,,,,,1.4349986278872304,1.2295081967213184,0.0,0.0837170364169082,-0.05925691207643524,,,,,1.4349986278872304,1.2295081967213184,0.0,0.0837170364169082,-0.05925691207643524,,,,,1.4349986278872304,1.2295081967213184,0.0,0.0837170364169082,-0.05925691207643524,,,,,1.4349986278872304,1.2295081967213184,0.0,0.0837170364169082,-0.05925691207643524,,,,,1.4349986278872304,1.2295081967213184,0.0,0.0837170364169082,-0.05925691207643524,,,2539160.847548399,5005.076141166,1.2295081967213184,2544165.923689565,1131665.359516864,2.2481609976784416,1.2295081967213184,False,False,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T21:40:00Z,33994076599-1
KRW-HUNT,헌트,122.0,120.06666666666666,115.2,125.525,0.2783964365256075,-4.224537037037032,4.348403372502165,-0.7402894778862669,-0.9024613742901135,,,4.818381701845876,,False,False,False,False,187.99057889293002,5.1724137931034475,13.0,A급,0.8264462809917328,0.4281706493513866,0.0,0.0,0.0,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,721697.4591741001,0.0,,9,0.0,complete,1788645051436,1788645135000,1733669.48948793,3497190.04229982,-0.33713781494131845,122.0,123.0,0.8196721311475308,0.0,0.8130081300813009,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.344827586206895,116.0,2026-09-01T07:00:00,128.0,2026-09-03T13:00:00,D-3,4.6875,50.0,False,True,,,-100.0,0.4281706493513866,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.4281706493513866,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.4281706493513866,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.4281706493513866,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.4281706493513866,0.8264462809917328,0.0,0.0,0.0,0.0,,,-100.0,0.4281706493513866,0.8264462809917328,0.0,0.0,0.0,0.0,,721697.4591741001,-285935.74524097,0.8264462809917328,721697.4591741001,1761633.650229745,0.4096751098504387,0.8264462809917328,False,False,rising,falling,buy_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 4개 개선,S0,True,가격 미급등 상태에서 선행조건 4개 개선,2026-09-06T06:58:23.995940+09:00,2026-09-05T21:40:00Z,33994076599-1
KRW-PENGU,펏지펭귄,11.9,12.426666666666668,9.9778,10.503083333333333,-0.21413276231263545,-24.543152465139283,-18.314463213183448,-0.5726168095800912,-1.5438828867105712,,,,,False,False,False,False,9.750079703996928,-1.6528925619834656,7.0,B급,0.8474576271186418,0.1973547045920121,0.0,0.053533190578169965,-0.05409043592143448,False,False,False,False,2026-09-06T06:58:23.995940+09:00,1788645503,2094107.44627665,0.0,,3,0.0,complete,1788645022193,1788645518484,70805837.44457795,115669325.1222004,-0.2405869342602474,11.4,11.9,4.385964912280693,4.385964912280693,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.71428571428572,11.2,2026-09-02T19:00:00,12.4,2026-09-04T00:00:00,D-2,4.0322580645161255,41.6666666666667,False,False,,,-100.0,0.1973547045920121,0.8474576271186418,0.0,0.053533190578169965,-0.05409043592143448,,,,-100.0,0.1973547045920121,0.8474576271186418,0.0,0.053533190578169965,-0.05409043592143448,,,,-100.0,0.1973547045920121,0.8474576271186418,0.0,0.053533190578169965,-0.05409043592143448,,,,-100.0,0.1973547045920121,0.8474576271186418,0.0,0.053533190578169965,-0.05409043592143448,,,,-100.0,0.1973547045920121,0.8474576271186418,0.0,0.053533190578169965,-0.05409043592143448,,,,-100.0,0.1973547045920121,0.8474576271186418,0.0,0.053533190578169965,-0.05409043592143448,,,2094107.44627665,-6936379.173438413,0.8474576271186418,2094107.44627665,34136476.1929653,0.061345155675681454,0.8474576271186418,False,False,rising,falling,buy_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T21:40:00Z,33994076599-1
