market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-WAXP,왁스,6.04,5.9,5.606,6.735833333333333,0.2151511720076993,-5.244381020335364,12.408759124087581,-0.7510203827718256,-1.1188990923593505,,,11.09015031723909,,False,False,False,False,32.14358653218898,1.8487394957983128,11.0,A급,-0.328947368421062,0.028328884851468672,0.0,-0.022647491790284136,0.01762689922612104,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,0.0,8547.143287429999,0.0,1,0.0,complete,1788607630060,1788607630060,9935130.25578658,17583708.53837721,-0.277939717580407,6.06,6.08,0.33003300330034513,-0.3300330033003229,0.6578947368421059,199.99999999999326,complete_hourly_ordered,/v1/candles/minutes/60,120,False,14.436619718309874,5.68,2026-09-02T10:00:00,6.5,2026-09-03T10:00:00,D-2,7.07692307692308,56.0975609756097,True,True,,-100.0,,0.028328884851468672,-0.6578947368421018,0.0,-0.022647491790284136,0.01762689922612104,0.05053693414543048,,-100.0,,0.028328884851468672,-0.6578947368421018,0.0,-0.022647491790284136,0.01762689922612104,0.05053693414543048,,-100.0,,-7.057157137201877,-0.49423393739703725,-1.0,-0.5264346808160347,-0.6743065926941334,0.42062613743167354,,-100.0,,-7.057157137201877,-0.49423393739703725,-1.0,-0.5264346808160347,-0.6743065926941334,0.42062613743167354,,-100.0,,-7.057157137201877,-0.49423393739703725,-1.0,-0.5264346808160347,-0.6743065926941334,0.42062613743167354,,-100.0,,-7.057157137201877,-0.49423393739703725,-1.0,-0.5264346808160347,-0.6743065926941334,0.42062613743167354,,-29985.007496198403,8547.143287429999,-0.6578947368421018,8547.143287429999,3998536.2525104545,0.0021375680368194063,-0.49423393739703725,False,True,falling,rising,sell_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S1,True,발사 구조 관찰 또는 초기 준비,2026-09-05T20:29:49.199372+09:00,2026-09-05T11:10:00Z,33963101448-1
KRW-CARV,카브,48.4,46.44666666666667,43.663999999999994,56.50916666666667,0.12934751365336616,-6.372908269207307,17.80684549704325,-0.6289825882490511,-0.944588319144313,,,,,False,False,False,False,34.61059507642326,0.20703933747412417,8.0,B급,0.4149377593360981,0.10097309845713909,0.0,0.014371945961477728,-0.010585560322912357,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,2479136.8933445397,49244.606654364,50.343318015412386,5,0.0,complete,1788607202054,1788607414009,2426997.16242474,1580822.30197629,0.21113098231207653,47.1,48.4,2.7600849256900206,2.7600849256900206,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,16.455696202531644,47.4,2026-09-02T03:00:00,55.2,2026-09-02T13:00:00,D-3,12.318840579710155,87.1794871794872,True,True,40.63147229362018,-24.095388659206673,-85.35706616141785,0.10097309845713909,0.4149377593360981,0.0,0.014371945961477728,-0.010585560322912357,,40.63147229362018,-24.095388659206673,-85.35706616141785,0.10097309845713909,0.4149377593360981,0.0,0.014371945961477728,-0.010585560322912357,,,,,-230.47833196855865,3.418803418803429,-1.0,-0.1301306469347896,-0.6597879544968563,,,,,-230.47833196855865,3.418803418803429,-1.0,-0.1301306469347896,-0.6597879544968563,,,,,-230.47833196855865,3.418803418803429,-1.0,-0.1301306469347896,-0.6597879544968563,,,,,-230.47833196855865,3.418803418803429,-1.0,-0.1301306469347896,-0.6597879544968563,,40.63147229362018,-786984.689458665,-287058.262683276,0.4149377593360981,2528381.499998904,2001400.440311584,1.2633061575649889,3.418803418803429,False,False,falling,falling,buy_advantage_accelerating,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-05T11:10:00Z,33963101448-1
KRW-LSK,리스크,139.0,135.46666666666667,119.08,137.36666666666667,0.7936507936507908,-13.761056992498045,1.3831594273234693,-1.0968248934806362,-1.462609107684116,,,0.9456794847350249,,False,False,False,False,-82.35673475937155,0.0,12.0,A급,0.0,0.006446182449209914,0.0,0.0,0.0,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,435037.99999963003,0.0,,2,0.0,complete,1788606920100,1788607234970,931487.52157225,3785879.70252795,-0.6050816155191633,139.0,139.0,0.0,0.0,0.0,,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.575757575757569,132.0,2026-09-03T08:00:00,142.0,2026-09-04T01:00:00,D-1,2.1126760563380254,30.0,False,True,,,,0.006446182449209914,0.0,0.0,0.0,0.0,0.0,,,,0.006446182449209914,0.0,0.0,0.0,0.0,0.0,,,,10.707133630612944,0.7246376811594235,-1.0,-0.4117736161935337,-1.1797032419221771,-0.7027255935235837,,,,10.707133630612944,0.7246376811594235,-1.0,-0.4117736161935337,-1.1797032419221771,-0.7027255935235837,,,,10.707133630612944,0.7246376811594235,-1.0,-0.4117736161935337,-1.1797032419221771,-0.7027255935235837,,,,10.707133630612944,0.7246376811594235,-1.0,-0.4117736161935337,-1.1797032419221771,-0.7027255935235837,,435037.99999963003,0.0,0.0,435037.99999963003,1852458.7902509947,0.23484355079266597,0.7246376811594235,False,False,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S1,False,,,2026-09-05T11:10:00Z,33963101448-1
KRW-0G,제로지,269.0,244.2,232.38,385.125,0.8257638315441795,-5.086496256132195,36.59201557935736,-1.4193011287629251,-1.4984654191084252,,,,,False,False,False,False,-29.727544315426492,-13.5048231511254,7.0,B급,-0.37037037037036535,0.029177434594629403,0.0,-0.027525461051491895,0.01593803045654596,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,669742.0299815501,0.0,,3,0.0,complete,1788606898065,1788607496553,1445584.62129084,1793923.3976128,-0.10752829574407093,269.0,273.0,1.486988847583648,0.0,1.465201465201465,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,29.241877256317682,277.0,2026-08-31T22:00:00,358.0,2026-09-01T11:00:00,D-4,24.860335195530723,109.87654320987652,False,True,,846.2606934020639,-100.0,0.029177434594629403,-0.37037037037036535,0.0,-0.027525461051491895,0.01593803045654596,,,846.2606934020639,-100.0,0.029177434594629403,-0.37037037037036535,0.0,-0.027525461051491895,0.01593803045654596,,,42.84795495053994,-100.0,-2578.2848455874546,-1.46520146520146,-1.0,-0.5681586663649485,-1.2224279864380208,,,42.84795495053994,-100.0,-2578.2848455874546,-1.46520146520146,-1.0,-0.5681586663649485,-1.2224279864380208,,,42.84795495053994,-100.0,-2578.2848455874546,-1.46520146520146,-1.0,-0.5681586663649485,-1.2224279864380208,,,42.84795495053994,-100.0,-2578.2848455874546,-1.46520146520146,-1.0,-0.5681586663649485,-1.2224279864380208,,,598964.27976415,-1776167.7262151004,-0.37037037037036535,669742.0299815501,23604741.75016863,0.028373198786500832,-1.46520146520146,False,True,rising,falling,buy_only,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-05T11:10:00Z,33963101448-1
KRW-BORA,보라,31.8,30.466666666666665,29.978,37.269999999999996,0.37338018888644076,-1.6300842840305005,18.25418120025042,-1.114940390007833,-1.0597546912990654,,,,,False,False,False,False,-65.31401552276415,6.354515050167242,7.0,B급,-1.2422360248447228,0.02441348395539933,0.0,-0.0219635405227514,0.01605934446507007,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,362103.50098003,276711.29149119,1.3085967653458,14,0.0,complete,1788607103543,1788607689793,2974186.22704899,5350787.79078712,-0.28547855628693897,31.3,32.7,4.472843450479247,1.5974440894568787,2.752293577981658,64.28571428571418,complete_hourly_ordered,/v1/candles/minutes/60,120,False,11.60409556313995,29.3,2026-08-31T23:00:00,32.7,2026-09-05T09:00:00,D0,2.752293577981657,26.470588235294297,False,True,1.2859411571476826,434.10296538989195,-90.75312744019473,0.02441348395539933,-1.2422360248447228,0.0,-0.0219635405227514,0.01605934446507007,,1.2859411571476826,434.10296538989195,-90.75312744019473,0.02441348395539933,-1.2422360248447228,0.0,-0.0219635405227514,0.01605934446507007,,1.3085967653458,,-67.57200065831852,2.779073793932909,1.9230769230769384,-1.0,-0.357031497700544,-0.7419474875082344,,1.3085967653458,,-67.57200065831852,2.779073793932909,1.9230769230769384,-1.0,-0.357031497700544,-0.7419474875082344,,1.3085967653458,,-67.57200065831852,2.779073793932909,1.9230769230769384,-1.0,-0.357031497700544,-0.7419474875082344,,1.3085967653458,,-67.57200065831852,2.779073793932909,1.9230769230769384,-1.0,-0.357031497700544,-0.7419474875082344,,1.2859411571476826,294306.929074518,-2715773.894192145,-1.2422360248447228,638814.79247122,2432700.678729099,0.2625949004153491,1.9230769230769384,False,False,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T11:10:00Z,33963101448-1
KRW-PUNDIX,펀디엑스,132.0,125.33333333333333,115.3,144.25,0.48102618920362605,-8.701936976004625,13.113807047949166,-0.8868045707092733,-1.3209400849446802,,,9.927631992860873,,False,False,False,False,390.1635715823007,6.451612903225801,13.0,A급,0.0,0.33348850675992026,0.0,0.0,0.0,False,True,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,390940.2,1940513.40949224,0.2014622512205646,11,0.0,complete,1788606920681,1788607494269,1169995.52295637,2547335.80304839,-0.3705185681073876,132.0,135.0,2.2727272727272707,0.0,2.2222222222222223,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.999999999999996,120.0,2026-09-02T03:00:00,144.0,2026-09-03T19:00:00,D-2,8.333333333333337,49.99999999999994,False,False,0.2014622512205646,,-1.3734800774393596,0.33348850675992026,0.0,0.0,0.0,0.0,0.0,0.2014622512205646,,-1.3734800774393596,0.33348850675992026,0.0,0.0,0.0,0.0,0.0,,-21.85148338752162,,214.5524483061997,1.538461538461533,0.0,-0.3829046963255367,-1.0751105518211492,-0.5058248743859952,,-21.85148338752162,,214.5524483061997,1.538461538461533,0.0,-0.3829046963255367,-1.0751105518211492,-0.5058248743859952,,-21.85148338752162,,214.5524483061997,1.538461538461533,0.0,-0.3829046963255367,-1.0751105518211492,-0.5058248743859952,,-21.85148338752162,,214.5524483061997,1.538461538461533,0.0,-0.3829046963255367,-1.0751105518211492,-0.5058248743859952,0.2014622512205646,390940.2,-27023.730635879794,0.0,2331453.60949224,15751363.213723075,0.14801598933741847,1.538461538461533,False,False,rising,falling,sell_advantage_weakening,accelerating,leading_buy_inflow,False,True,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 4개 개선,S0,True,가격 미급등 상태에서 선행조건 4개 개선,2026-09-05T20:29:49.199372+09:00,2026-09-05T11:10:00Z,33963101448-1
KRW-USD1,월드리버티파이낸셜유에스디,1367.0,1380.2,1414.18,1462.15,-0.033800096571712235,2.402805866297078,5.604760113531446,-0.08284686697347769,-0.0003490198577798864,,,,,False,False,False,False,-23.52475909693782,-0.8701957940536631,7.0,B급,0.146520146520146,0.04860058081916918,2.0,0.009657170449062225,-0.008043096390140114,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,0.0,0.0,,0,0.0,complete,,,44282.87421936,22747.13627689,0.3212850152197845,1371.0,1372.0,0.07293946024800047,-0.29175784099197966,0.36443148688046645,499.99999999996953,complete_hourly_ordered,/v1/candles/minutes/60,120,False,0.9454545454545382,1375.0,2026-09-01T04:00:00,1388.0,2026-09-02T07:00:00,D-3,1.5129682997118143,161.53846153846217,True,True,,,-100.0,0.04860058081916918,0.146520146520146,2.0,0.009657170449062225,-0.008043096390140114,,,,-100.0,0.04860058081916918,0.146520146520146,2.0,0.009657170449062225,-0.008043096390140114,,,-100.0,,2.3145930400388153,-0.21897810218978186,2.0,0.004815533104418623,-0.030189904980226778,,,-100.0,,2.3145930400388153,-0.21897810218978186,2.0,0.004815533104418623,-0.030189904980226778,,,-100.0,,2.3145930400388153,-0.21897810218978186,2.0,0.004815533104418623,-0.030189904980226778,,,-100.0,,2.3145930400388153,-0.21897810218978186,2.0,0.004815533104418623,-0.030189904980226778,,,0.0,-64155.0,0.146520146520146,0,39999.99997422,0.0,-0.21897810218978186,False,False,flat_or_na,falling,unavailable,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T11:10:00Z,33963101448-1
KRW-BAT,베이직어텐션토큰,97.2,95.47333333333333,96.514,121.75583333333334,-0.09069345611832924,1.0782546228181058,21.58623474576852,-0.9129528876254778,-0.694824856471606,1.1810627223301364,,,,False,False,False,False,4.647931177008191,3.735325506937026,5.0,관찰,-0.3076923076923088,0.006203301909146752,0.0,-0.020929259104240927,0.014815951709252317,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,209479.92274331997,35939.897878973,5.828617639614338,8,0.0,complete,1788607260732,1788607693279,479846.65776814,645165.16430437,-0.1469482393808789,97.1,98.6,1.5447991761071034,0.1029866117404854,1.4198782961460361,93.33333333333258,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.36728060671723,92.3,2026-09-03T10:00:00,99.1,2026-09-04T04:00:00,D-1,1.917255297679099,27.941176470588253,False,True,,,,0.006203301909146752,-0.3076923076923088,0.0,-0.020929259104240927,0.014815951709252317,,,,,0.006203301909146752,-0.3076923076923088,0.0,-0.020929259104240927,0.014815951709252317,,,,,7.3333756121819915,0.9345794392523477,0.0,-0.45504323190307394,-0.3298839554682296,,,,,7.3333756121819915,0.9345794392523477,0.0,-0.45504323190307394,-0.3298839554682296,,,,,7.3333756121819915,0.9345794392523477,0.0,-0.45504323190307394,-0.3298839554682296,,,,,7.3333756121819915,0.9345794392523477,0.0,-0.45504323190307394,-0.3298839554682296,,,209479.92274331997,35939.897878973,-0.3076923076923088,245419.820622293,1344592.0208931211,0.18252363304913655,0.9345794392523477,False,False,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T11:10:00Z,33963101448-1
KRW-HUNT,헌트,121.0,120.06666666666666,115.2,125.525,0.2783964365256075,-4.224537037037032,4.348403372502165,-0.7402894778862669,-0.9024613742901135,,,4.818381701845876,,False,False,False,False,184.26988286872282,5.1724137931034475,13.0,A급,0.0,0.3496219606203681,0.0,0.0,0.0,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,2365999.9999999,1747711.2649557,1.3537705268838398,3,0.0,complete,1788607422061,1788607732233,1780177.74482369,3467520.76571031,-0.3215396268477546,122.0,123.0,0.8196721311475308,-0.8196721311475419,1.6260162601626018,200.00000000000136,complete_hourly_ordered,/v1/candles/minutes/60,120,False,12.280701754385959,114.0,2026-08-31T18:00:00,128.0,2026-09-03T13:00:00,D-2,5.46875,50.0,False,True,,16.52250741071686,,0.3496219606203681,-0.8196721311475419,0.0,0.0,0.0,0.0,,16.52250741071686,,0.3496219606203681,-0.8196721311475419,0.0,0.0,0.0,0.0,,,,17.071254637351274,-1.6260162601625994,-1.0,-0.5067970575854508,-0.4399932100529753,-0.0256135937645956,,,,17.071254637351274,-1.6260162601625994,-1.0,-0.5067970575854508,-0.4399932100529753,-0.0256135937645956,,,,17.071254637351274,-1.6260162601625994,-1.0,-0.5067970575854508,-0.4399932100529753,-0.0256135937645956,,,,17.071254637351274,-1.6260162601625994,-1.0,-0.5067970575854508,-0.4399932100529753,-0.0256135937645956,,335491.00000022,1747711.2649557,-0.8196721311475419,4113711.2649556,2013494.3999998,2.0430706263479097,-1.6260162601625994,False,True,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S1,False,,,2026-09-05T11:10:00Z,33963101448-1
KRW-PENGU,펏지펭귄,11.7,12.413333333333332,9.9738,10.501416666666668,-0.3211991434689754,-24.459417005888742,-18.206273756715344,-0.5558697177299831,-1.5222449954169506,,,,,False,False,False,False,5.860516772357127,-3.3057851239669422,6.0,관찰,-0.8474576271186529,0.3730834087580348,-1.0,-0.053533190578169965,0.05409902054666915,False,False,False,False,2026-09-05T20:29:49.199372+09:00,1788607789,524487.856072092,2228697.2502509123,0.23533382832192387,8,0.0,complete,1788606961044,1788607657634,71940373.23230658,106781549.92905664,-0.19494629467081603,11.4,11.9,4.385964912280693,2.631578947368407,1.680672268907572,40.0000000000002,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.71428571428572,11.2,2026-09-02T19:00:00,12.4,2026-09-04T00:00:00,D-1,5.645161290322587,58.3333333333333,True,False,0.04335111417754048,233.42944804702154,172.00802735493258,0.3730834087580348,-0.8474576271186529,-1.0,-0.053533190578169965,0.05409902054666915,,0.04335111417754048,233.42944804702154,172.00802735493258,0.3730834087580348,-0.8474576271186529,-1.0,-0.053533190578169965,0.05409902054666915,,,-93.96185650390721,,6.332632455580511,3.539823008849541,-1.0,-1.0876067427781244,-0.020211419422970778,,,-93.96185650390721,,6.332632455580511,3.539823008849541,-1.0,-1.0876067427781244,-0.020211419422970778,,,-93.96185650390721,,6.332632455580511,3.539823008849541,-1.0,-1.0876067427781244,-0.020211419422970778,,,-93.96185650390721,,6.332632455580511,3.539823008849541,-1.0,-1.0876067427781244,-0.020211419422970778,,0.04335111417754048,367186.85607219796,1409347.4421135322,-0.8474576271186529,2753185.1063230042,40508777.45816758,0.06796514926095093,3.539823008849541,False,False,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-05T11:10:00Z,33963101448-1
