side,rank,market,target,price,ma15,ma50,ma120,gap,prev_gap,delta,speed_to_cross,accel,dday,value15,source_kst,bid_ask_status
golden,1,KRW-SOPH,MA50,7.15,5.596666666666667,5.648,7.699916666666667,0.9088762983947063,1.249453290305799,-0.3405769919110928,0.3405769919110928,0.3072969370611387,0.11119320055634284,276885224.9277765,183209,N/A unless separately timestamped radar event
golden,2,KRW-DOOD,MA50,2.16,1.8826666666666667,1.8964,2.4525,0.7241791464529306,0.9218211244810282,-0.19764197802809758,0.19764197802809758,0.12344015526665875,0.15267065935717242,73369544.68180937,183132,N/A unless separately timestamped radar event
golden,3,KRW-NEWT,MA50,60.5,57.72666666666667,57.856,75.27,0.2235435103244868,0.26391914162892594,-0.040375631304439136,0.040375631304439136,0.06460268507701003,0.2306914499975355,3861433.06300662,182526,N/A unless separately timestamped radar event
golden,4,KRW-ORCA,MA120,1858.0,1759.5333333333333,1643.54,1771.9916666666666,0.7030695215835246,0.805237808549066,-0.10216828696554137,0.10216828696554137,0.04942460985193986,0.286728536509512,60995626.4330752,183137,N/A unless separately timestamped radar event
golden,5,KRW-HIVE,MA50,63.3,60.81333333333334,60.918,72.41916666666665,0.17181566477339963,0.19481656597496322,-0.02300090120156359,0.02300090120156359,0.0076644495105385735,0.3112480667382859,34352916.38761355,183025,N/A unless separately timestamped radar event
dead,1,KRW-BONK,MA50,0.00563,0.004960666666666667,0.00454,0.006213083333333333,-9.265785609397959,-9.91537087469618,0.6495852652982208,0.6495852652982208,0.6495852652982208,0.5943398365329872,762182494.5762916,183204,N/A unless separately timestamped radar event
dead,2,KRW-ALT,MA50,8.8,8.698666666666666,8.6064,9.3415,-1.0720703972237564,-1.1098461085682254,0.037775711344469,0.037775711344469,0.05396379717203992,1.1824952673158216,31493830.96679781,182144,N/A unless separately timestamped radar event
dead,3,KRW-FIL,MA50,1087.0,1018.8666666666667,1014.54,1163.025,-0.4264658531617,-0.4402391747158187,0.0137733215541187,0.0137733215541187,0.0275466431082374,1.2901325565212334,77728241.37711298,183159,N/A unless separately timestamped radar event
dead,4,KRW-SAFE,MA50,134.0,127.86666666666666,125.42,147.66666666666666,-1.9507787168447281,-1.987670068027216,0.036891351182487764,0.036891351182487764,0.07378270236497553,2.2032927482954756,8526800.65569313,175734,N/A unless separately timestamped radar event
dead,5,KRW-MASK,MA120,620.0,599.4666666666667,545.66,588.6583333333333,-1.836096207477466,-1.8657455904419493,0.029649382964483273,0.029649382964483273,0.03953223080651447,2.580290076745876,823426.04351885,180653,N/A unless separately timestamped radar event
