name,label,hi1_pct,lo1_pct,last1_pct,active1,bidratio1,hi3_pct,lo3_pct,last3_pct,active3,bidratio3,hi5_pct,lo5_pct,last5_pct,active5,bidratio5,hi10_pct,lo10_pct,last10_pct,active10,bidratio10
KRW-ANKR,success,0.5357142857142838,-1.0714285714285787,-1.0714285714285787,2,0.22656925687836718,0.5357142857142838,-1.6071428571428736,-1.6071428571428736,3,0.2082455958431639,0.5357142857142838,-1.6071428571428736,-0.8928571428571508,4,0.2105656888954421,0.5357142857142838,-2.1428571428571463,-2.1428571428571463,8,0.19012920938586225
KRW-BONK,success,1.9095836023552692e-12,-1.1385199240967925,-0.5692599620474526,2,0.5401282039268355,1.9095836023552692e-12,-1.1385199240967925,-0.5692599620474526,3,0.5868067207586103,1.9095836023552692e-12,-1.1385199240967925,-0.9487666034136755,5,0.4796554701184726,1.9095836023552692e-12,-1.1385199240967925,-0.7590132827305585,8,0.6213968767196042
KRW-CHIP,success,0.29112081513829047,0.0,0.29112081513829047,2,0.9977886271173764,0.29112081513829047,0.0,0.29112081513829047,4,0.9073079233976932,0.4366812227074135,0.0,0.14556040756912303,5,0.9073079233976932,1.3100436681222627,0.0,1.3100436681222627,10,0.8068413627044447
KRW-CRV,success,0.3875968992248069,-0.9689922480620172,-0.7751937984496138,1,0.3934505256947277,0.3875968992248069,-0.9689922480620172,-0.3875968992248069,3,0.4107927623449314,0.5813953488372103,-0.9689922480620172,-0.3875968992248069,4,0.3128647699725351,0.9689922480620172,-0.9689922480620172,0.3875968992248069,8,0.3834919885813136
KRW-EGLD,success,0.0,-0.3389830508474523,0.0,1,1.0,0.0,-0.3389830508474523,0.0,1,1.0,0.0,-0.3389830508474523,0.0,1,1.0,0.0,-0.3389830508474523,0.0,1,1.0
KRW-HIVE,success,0.0,-0.15923566878980333,-0.15923566878980333,1,0.25843057755218296,0.0,-0.6369426751592355,-0.6369426751592355,2,0.25843057755218296,0.0,-0.6369426751592355,-0.31847133757960666,3,0.6332513620208878,0.0,-1.1146496815286566,-1.1146496815286566,6,0.33508463672392425
KRW-ICX,success,0.0,-0.4672897196261627,0.0,2,0.11100677770001456,0.9345794392523477,-0.4672897196261627,0.0,3,0.7108318732510756,2.336448598130847,-0.4672897196261627,2.336448598130847,4,0.6380443483111151,2.8037383177570208,-0.4672897196261627,0.0,7,0.6424705922515169
KRW-INJ,success,0.6379585326953707,-0.15948963317384823,0.6379585326953707,1,1.0,0.6379585326953707,-0.15948963317384823,0.6379585326953707,1,1.0,0.6379585326953707,-0.15948963317384823,0.6379585326953707,2,1.0,0.6379585326953707,-0.15948963317384823,0.6379585326953707,3,1.0
KRW-IQ,success,0.21505376344086446,-0.3225806451612856,0.21505376344086446,2,0.852551989013758,0.3225806451612856,-0.3225806451612856,0.3225806451612856,4,0.8515963640836599,0.3225806451612856,-0.3225806451612856,0.3225806451612856,5,0.9175690762860768,0.43010752688172893,-0.3225806451612856,0.0,6,0.8302562440866461
KRW-MOC,success,0.0,-0.367647058823517,0.0,2,0.093081452282092,0.0,-0.367647058823517,-0.367647058823517,4,0.22956505485317383,0.0,-0.7352941176470562,0.0,6,0.3227083571130596,0.0,-1.1029411764705954,0.0,11,0.3874585345679612
KRW-SC,success,1.318944844124692,-0.3597122302158251,1.318944844124692,2,0.6960744380646654,1.318944844124692,-0.3597122302158251,1.318944844124692,2,0.6960744380646654,1.318944844124692,-0.3597122302158251,1.318944844124692,3,0.7153395450791957,1.558752997601931,-0.3597122302158251,1.558752997601931,6,0.7473694199861242
KRW-SNT,success,0.10905125408942062,-0.21810250817884125,-0.21810250817884125,2,0.8513838843008187,0.10905125408942062,-0.21810250817884125,0.0,3,0.8737381386780008,0.10905125408942062,-0.21810250817884125,0.10905125408942062,4,0.8770205518367906,0.9814612868047856,-0.21810250817884125,0.9814612868047856,8,0.9285870366548817
KRW-SOPH,success,1.2216404886561838,0.3490401396160525,1.2216404886561838,1,0.4949495387928006,1.9197207678882888,0.3490401396160525,1.7452006980802626,3,0.45275563874654695,4.537521815008727,0.3490401396160525,3.664921465968596,5,0.6940767339066496,6.631762652705064,-0.3490401396160636,-0.3490401396160636,9,0.5266864666948614
KRW-T,success,0.0,-0.7633587786259555,-0.3816793893129833,2,0.055898711370838385,0.0,-0.7633587786259555,-0.3816793893129833,3,0.03809469890284701,0.0,-0.7633587786259555,-0.3816793893129833,5,0.4084002047424091,0.190839694656475,-0.7633587786259555,0.0,9,0.4295140377791107
KRW-DRV,success,2.145922746781115,-0.8583690987124415,2.145922746781115,1,0.07902537521506665,3.0042918454935563,-0.8583690987124415,2.145922746781115,3,0.45723237038158443,3.0042918454935563,-0.8583690987124415,2.145922746781115,4,0.40963274555687157,6.866952789699576,-0.8583690987124415,4.7210300429184615,8,0.503743379467129
KRW-FLOCK#2,fake,0.0,-0.34602076124566894,0.0,2,1.0,0.11534025374855261,-0.9227220299884653,-0.34602076124566894,4,0.349128754417527,0.11534025374855261,-0.9227220299884653,-0.23068050749711633,5,0.3830768259255403,0.11534025374855261,-1.6147635524798254,-1.4994232987312506,8,0.3589052700420873
KRW-ZRO#4,fake,0.27472527472527375,0.27472527472527375,0.27472527472527375,1,,0.3434065934065922,0.2060439560439553,0.3434065934065922,2,0.8291462644294774,0.3434065934065922,0.2060439560439553,0.3434065934065922,2,0.8291462644294774,0.4120879120879106,0.2060439560439553,0.4120879120879106,4,0.3889797105493964
KRW-ZRO#7,fake,0.205479452054802,0.136986301369868,0.205479452054802,1,0.8545097737500174,0.4109589041095818,0.136986301369868,0.4109589041095818,2,0.9431304905590896,0.8904109589041198,0.136986301369868,0.4109589041095818,4,0.2760286851095729,0.8904109589041198,0.136986301369868,0.136986301369868,5,0.19860700186827415
KRW-FLOCK#7,fake,0.0,-0.5747126436781658,-0.5747126436781658,2,0.22551416529836046,0.0,-0.5747126436781658,-0.5747126436781658,3,0.25567946173277284,0.0,-0.5747126436781658,-0.11494252873562871,4,0.27680787069059887,0.0,-0.6896551724137834,-0.5747126436781658,8,0.43143761401696257
KRW-FLOCK#8,fake,0.0,-1.00783874580066,0.0,2,1.0,0.11198208286675726,-1.00783874580066,0.11198208286675726,4,0.8712143284494224,0.11198208286675726,-1.00783874580066,-0.33594624860021627,6,0.7616128090397023,0.11198208286675726,-3.2474804031354942,-3.2474804031354942,10,0.2564474241938382
KRW-FLOCK#11,fake,0.3500583430571691,-1.2835472578763274,0.3500583430571691,2,1.0,0.3500583430571691,-1.2835472578763274,-0.2333722287047868,3,0.9769534230510507,0.8168028004667427,-1.2835472578763274,0.7001166861143382,5,0.9790554174955178,0.933488914819125,-1.2835472578763274,0.4667444574095514,9,0.9503342501006381
KRW-ELSA#10,fake,0.2743484224965842,-0.137174211248281,0.2743484224965842,2,0.8792582268533371,0.2743484224965842,-0.137174211248281,0.2743484224965842,2,0.8792582268533371,0.2743484224965842,-0.137174211248281,0.2743484224965842,2,0.8792582268533371,0.2743484224965842,-0.137174211248281,0.2743484224965842,2,0.8792582268533371
KRW-SOPH#2,success,0.30864197530864335,-0.6172839506172867,0.30864197530864335,1,0.987529127297115,2.4691358024691246,-0.6172839506172867,1.6975308641975273,3,0.8522304774750892,4.475308641975295,-0.6172839506172867,4.475308641975295,5,0.8345537630374835,5.709876543209869,-0.6172839506172867,4.938271604938271,8,0.7785630411344593
KRW-FLOCK#12,fake,0.0,-0.3370786516853852,0.0,1,1.0,0.3370786516853963,-0.3370786516853852,0.3370786516853963,3,0.7066902017649378,0.44943820224718767,-0.3370786516853852,0.11235955056179137,5,0.738110401852079,0.44943820224718767,-0.3370786516853852,0.44943820224718767,9,0.5422079950655276
KRW-ELSA#11,fake,0.40540540540541237,-0.40540540540540126,0.0,2,0.967870292644544,0.40540540540541237,-0.40540540540540126,0.2702702702702675,3,0.943633494722121,0.40540540540541237,-0.40540540540540126,0.2702702702702675,4,0.44042605171443433,0.40540540540541237,-0.40540540540540126,0.0,8,0.5097399506754073
KRW-QUID#2,fake,0.1098901098901095,-0.1098901098900984,0.1098901098901095,1,0.7355741087247747,0.3296703296703285,-0.1098901098900984,0.3296703296703285,3,0.7581571328165513,0.9890109890109855,-0.1098901098900984,0.9890109890109855,5,0.7071477581996908,1.6483516483516425,-0.1098901098900984,1.6483516483516425,8,0.7208403712898185
KRW-LA#8,fake,0.10471204188480243,-0.10471204188481353,0.10471204188480243,2,0.9771409082990967,0.10471204188480243,-0.10471204188481353,0.10471204188480243,4,0.9205381237279594,0.20942408376962707,-0.10471204188481353,0.20942408376962707,5,0.7710192740921167,0.5235602094240788,-0.10471204188481353,0.10471204188480243,9,0.588975848213744
KRW-T#1,success,0.3311258278145601,-0.33112582781458233,-0.16556291390728006,2,0.03791493168737811,0.3311258278145601,-0.33112582781458233,-0.33112582781458233,3,0.40744218403084476,0.8278145695364225,-0.33112582781458233,0.4966887417218624,5,0.24972900123100977,0.9933774834437026,-0.33112582781458233,0.8278145695364225,8,0.6615276168220143
