name,market,label,stage5_sec,stage5_price,t_price,t_to_stage5_pct,attempts,value10,bid10,ask10,net10,bid_ratio,trades10,active_seconds10,bid_active_seconds10,max_second_concentration,value_per_trade,net_per_trade,rise3_pct,high_ticks3,last_ticks3,retrace_ticks3,high_hold_ratio,move_pct_per_value_m,move_pct_per_net_m,ticks_per_value_m,ticks_per_net_m
KRW-ANKR,KRW-ANKR,success,1788393602,5.57,5.46,2.0146520146520297,1,8834743.185909547,5754851.766668427,3079891.4192411206,2674960.347427306,0.6513886873188106,20.0,1,1,1.8826717780179303,441737.1592954773,133748.0173713653,1.4571948998178597,8.000000000000007,8.000000000000007,0.0,1.0,0.1649391350890569,0.5447538320406673,0.9055158516389176,2.9906985379032474
KRW-BONK,KRW-BONK,success,1788189381,0.00524,0.00511,2.544031311154593,1,18037786.33819198,10654274.9126993,7383511.425492677,3270763.487206624,0.5906642152723954,22.0,8,7,0.5870140567455105,819899.3790087263,148671.0676003011,0.7692307692307665,4.00000000000001,4.00000000000001,0.0,1.0,0.04264551951156278,0.23518385607506076,0.22175670146012777,1.2229560515903233
KRW-CHIP,KRW-CHIP,success,1788421265,68.4,57.1,19.789842381786336,3,66074039.8358284,59912510.64273721,6161529.193091191,53750981.44964602,0.9067481085097793,50.0,8,5,0.522907458221281,1321480.796716568,1075019.6289929203,1.333333333333342,9.000000000000057,9.000000000000057,0.0,1.0,0.020179382653856544,0.024805748609119074,0.13621083291353164,0.16743880311155374
KRW-CRV,KRW-CRV,success,1788263761,513.0,502.0,2.1912350597609542,1,24269441.08840195,19535228.4198025,4734212.668599451,14801015.75120305,0.8049311209370261,79.0,9,8,0.6552642467147131,307208.11504306266,187354.62976206394,-0.5813953488372103,0.0,-3.0,3.0,,-0.023955860652887122,-0.03928077360433547,-0.12361224096889734,-0.20268879179837065
KRW-EGLD,KRW-EGLD,success,1788325058,5885.0,5755.0,2.2589052997393555,1,1139482.07344045,994834.5218216999,144647.55161875,850186.97020295,0.8730585105371476,9.0,4,3,0.4806320850203104,126609.11927116111,94465.21891143889,0.17021276595745594,2.0,2.0,0.0,1.0,0.14937730915198233,0.20020627452902987,1.7551833825356982,2.352423725715975
KRW-HIVE,KRW-HIVE,success,1788393976,62.5,60.9,2.6272577996715896,1,6765773.524520433,5248973.968367026,1516799.556153406,3732174.4122136203,0.7758128393366641,27.0,6,4,0.6735948154118689,250584.20461186787,138228.6819338378,0.6441223832528209,3.999999999999986,3.999999999999986,0.0,1.0,0.09520306597884197,0.17258635639988223,0.5912110397286039,1.0717612732432602
KRW-ICX,KRW-ICX,success,1788222598,21.1,19.3,9.326424870466333,1,24253068.872541085,22241910.252652302,2011158.619888783,20230751.63276352,0.9170761180591961,74.0,8,7,0.28744455080986453,327744.1739532579,273388.5355778854,1.4423076923076872,5.0,3.000000000000007,1.999999999999993,0.6000000000000014,0.05946907997035557,0.07129283768042917,0.12369568633834031,0.14828910237529355
KRW-INJ,KRW-INJ,success,1788333219,6255.0,6175.0,1.2955465587044523,1,913024.49243855,913024.49243855,0.0,913024.49243855,1.0,7.0,4,4,0.9670893054867613,130432.07034836429,130432.07034836429,0.48192771084336616,6.0,6.0,0.0,1.0,0.5278365638978756,0.5278365638978756,6.571565220528652,6.571565220528652
KRW-IQ,KRW-IQ,success,1788221062,0.927,0.913,1.533406352683464,1,1139562.2017886424,820108.271744644,319453.9300439984,500654.34170064563,0.7196695980767109,14.0,3,3,0.6182136227737608,81397.30012776017,35761.024407188976,0.7608695652173925,7.000000000000006,7.000000000000006,0.0,1.0,0.6676858569221945,1.5197502584973814,6.142709883684185,13.9817023781759
KRW-MOC,KRW-MOC,success,1788320466,26.9,24.7,8.906882591093112,2,62775684.33718249,40164361.188973926,22611323.14820857,17553038.040765356,0.6398076199893258,104.0,9,7,0.7810452277244098,603612.3493959855,168779.2119304361,0.3731343283581934,3.000000000000007,0.9999999999999787,2.0000000000000284,0.33333333333332543,0.005943930875432659,0.02125753544723269,0.01592973474615985,0.05697019499858477
KRW-SC,KRW-SC,success,1788220806,0.831,0.822,1.0948905109489093,1,2760773.2458702973,2046157.6807628495,714615.5651074477,1331542.1156554017,0.7411538357319256,8.0,1,1,1.000000000000001,345096.65573378716,166442.76445692522,0.727272727272732,6.000000000000005,6.000000000000005,0.0,1.0,0.2634308081479067,0.5461883020611475,2.173304167220218,4.506053492004442
KRW-SNT,KRW-SNT,success,1788393997,9.14,8.97,1.8952062430323213,1,3028890.6220490388,3019671.646220308,9218.9758287308,3010452.670391577,0.9969563193330189,15.0,4,4,0.33476868408345695,201926.0414699359,200696.8446927718,0.3293084522502765,3.0000000000001137,3.0000000000001137,0.0,1.0,0.10872246420951971,0.1093883506255033,0.9904616489487559,0.9965278741983665
KRW-SOPH,KRW-SOPH,success,1788307204,5.7,5.57,2.333931777378817,1,11841125.325247455,6525898.190160647,5315227.135086808,1210671.0550738387,0.5511214526415181,59.0,2,1,2.3785895021918995,200697.0394109738,20519.84839108201,2.1505376344086002,12.00000000000001,12.00000000000001,0.0,1.0,0.18161598457397107,1.7763186997788092,1.0134171939227605,9.911858344765774
KRW-T,KRW-T,success,1788307509,5.21,5.0,4.200000000000004,1,49749539.65919946,27278451.721568912,22471087.937630553,4807363.7839383595,0.548315660977673,81.0,9,9,0.2985466705104237,614191.8476444378,59350.17017207851,0.19230769230769162,1.9999999999999574,0.9999999999999787,0.9999999999999787,0.5,0.0038655170203596234,0.04000273350442111,0.020100688505869685,0.20801421422298605
KRW-DRV,KRW-DRV,success,1788566404,230.0,206.0,11.650485436893199,1,5500233.31686677,3779999.9999973504,1720233.31686942,2059766.6831279304,0.6872435735418297,22.0,2,1,2.6184075550067267,250010.60531212593,93625.75832399684,11.650485436893199,24.0,24.0,0.0,1.0,2.1181802235854867,5.656216081328662,4.363451260586104,11.651805127537049
KRW-FLOCK#2,KRW-FLOCK,fake,1788642806,86.4,84.7,2.007083825265643,4,48277042.40325233,38650339.63819914,9626702.765053194,29023636.87314595,0.8005946038565805,53.0,7,5,0.4032415927873583,910887.592514195,547615.7900593575,0.23201856148491462,2.0000000000000284,2.0000000000000284,0.0,1.0,0.004805981268423435,0.007994124323529875,0.041427558533811346,0.06890935166882975
KRW-ZRO#4,KRW-ZRO,fake,1788644733,1453.0,1422.0,2.1800281293952173,1,2758998.802806,1757068.122806,1001930.68,755137.442806,0.6368499040372902,8.0,1,1,1.0,344874.85035075,94392.18035075,0.9027777777777857,13.0,13.0,0.0,1.0,0.32721209478584345,1.1955145204072677,4.7118541649161045,17.215409093864505
KRW-ZRO#7,KRW-ZRO,fake,1788645699,1457.0,1447.0,0.6910850034554272,1,6566738.735472341,6559796.309162971,6942.426309369999,6552853.8828536,0.9989427893222143,19.0,4,3,0.4693822370268187,345617.8281827548,344887.04646597896,0.6202618883528688,9.0,9.0,0.0,1.0,0.09445508849047483,0.09465522952920791,1.3705433339967708,1.3734473804687877
