day,market,korean_name,day_open,day_high,day_high_kst,day_high_gain_pct,day_close,day_close_gain_pct,v55_pass,route,T_kst,T_price,T_value_x,T_value_60s_krw,stage2_kst,stage2_bid_krw,stage2_ask_krw,stage2_bid_count,stage4_kst,stage4_price,stage4_rise_pct,stage4_high_ticks,stage4_last_ticks,stage4_t_ticks,stage4_trades10,stage5_kst,stage5_price,stage5_bid_share,stage5_bid_krw,stage5_ask_krw,stage5_notional10_krw,stage6_kst,stage6_price,stage5_to_6_sec,T_to_stage6_sec,stage6_to_day_high_gain_pct
2026-09-04,KRW-META2,메타다오,7395.0,9245.0,2026-09-04T14:37:00+09:00,25.016903313049355,7810.0,5.611899932386755,True,primary,2026-09-04T07:48:36+09:00,7300.0,3.8541760439391366,1049457.615035601,2026-09-04T07:48:37+09:00,326273.863029,0.0,1,2026-09-04T09:01:32+09:00,7590.0,1.200000000000001,18.0,18.0,58.0,19,2026-09-04T09:01:32+09:00,7590.0,0.8725958839860257,13233637.577390648,1932188.6891043,15165826.266494948,2026-09-04T09:01:33+09:00,7605.0,1,4377,21.56476002629848
2026-09-04,KRW-LPT,라이브피어,1906.0,2445.0,2026-09-04T09:04:00+09:00,28.279118572927597,1920.0,0.7345225603357708,True,primary,2026-09-04T07:24:35+09:00,1916.0,5.669437414348379,445853.2,2026-09-04T07:24:36+09:00,966813.5999999999,0.0,2,2026-09-04T08:57:11+09:00,1954.0,0.6697578567748552,14.0,13.0,38.0,21,2026-09-04T08:57:11+09:00,1954.0,0.920852647525104,24291392.306354865,2087846.9472224999,26379239.253577366,2026-09-04T08:57:25+09:00,1957.0,14,5570,24.936126724578433
2026-09-04,KRW-SKR,시커,27.3,34.3,2026-09-04T18:57:00+09:00,25.641025641025617,28.0,2.564102564102555,True,final_high,2026-09-04T15:15:23+09:00,26.9,2.874511657968986,5484042.943687476,2026-09-04T15:15:33+09:00,330712.31564400694,0.0,1,2026-09-04T17:21:22+09:00,30.6,1.324503311258285,4.000000000000021,4.000000000000021,37.00000000000003,69,2026-09-04T17:21:22+09:00,30.6,0.9530734161753192,80790723.34453864,3977902.0030778884,84768625.34761654,2026-09-04T17:21:36+09:00,30.900000000000002,14,7573,11.003236245954673
2026-09-04,KRW-BONK,봉크,0.00468,0.00692,2026-09-04T21:36:00+09:00,47.86324786324785,0.00565,20.72649572649572,True,primary,2026-09-04T04:10:44+09:00,0.0047,5.16016039655444,2451604.6733126994,2026-09-04T04:10:45+09:00,2451604.6733126985,441099.69990600005,3,2026-09-04T07:42:37+09:00,0.005,1.0101010101009944,4.999999999999969,4.999999999999969,29.99999999999999,22,2026-09-04T07:42:37+09:00,0.005,0.5540197552439264,2466259.850976062,1985313.9920725594,4451573.843048621,2026-09-04T07:42:38+09:00,0.00503,1,12714,37.57455268389662
2026-09-04,KRW-AZTEC,아즈텍,18.2,26.5,2026-09-04T20:41:00+09:00,45.60439560439562,22.9,25.82417582417582,True,final_high,2026-09-04T19:44:12+09:00,21.6,5.038711854245274,155196266.83478415,2026-09-04T19:44:17+09:00,4803558.381764819,4698903.732953489,18,2026-09-04T19:45:21+09:00,22.8,1.7857142857143016,4.000000000000021,4.000000000000021,11.999999999999993,92,2026-09-04T19:45:21+09:00,22.8,0.8013096806755439,38080833.19481005,9442407.960477151,47523241.1552872,2026-09-04T19:45:24+09:00,23.1,3,72,14.71861471861471
2026-09-04,KRW-XCN,오닉스코인,4.63,6.57,2026-09-04T16:34:00+09:00,41.90064794816415,5.12,10.583153347732189,True,primary,2026-09-04T09:39:48+09:00,4.89,2.8123151602053538,522281.25641023996,2026-09-04T09:40:45+09:00,792755.8999999745,0.0,1,2026-09-04T13:19:44+09:00,5.36,1.132075471698113,7.000000000000028,6.00000000000005,47.000000000000064,42,2026-09-04T13:19:44+09:00,5.36,0.8456521353679309,22005277.428871326,4016388.583119705,26021666.01199103,2026-09-04T13:19:50+09:00,5.390000000000001,6,13202,21.892393320964732
2026-09-04,KRW-FLOCK,플록,55.3,71.0,2026-09-04T23:52:00+09:00,28.390596745027132,67.7,22.423146473779386,True,primary,2026-09-04T02:21:14+09:00,51.3,5.696957011602556,49813819.93001115,2026-09-04T02:21:20+09:00,2274883.80923044,1267895.3039338677,5,2026-09-04T02:21:56+09:00,52.8,1.1494252873563093,5.999999999999943,5.999999999999943,15.0,33,2026-09-04T02:21:56+09:00,52.8,0.8241528054466877,4292041.593116953,915780.99118,5207822.584296953,2026-09-04T02:22:01+09:00,53.099999999999994,5,47,33.709981167608305
