market,cycle_id,t_kst,t_price,t_value_x,t_source,stage2_kst,stage2_price,stage2_current_x,stage2_bid_krw,stage2_ask_krw,stage2_net_krw,stage2_bid_count,stage2_prev_bid_krw,prior_stage5_to_stage3,stage4_kst,stage5_kst,stage5_price,stage5_current_x,start_price,high_price,last_price,high_ticks,last_ticks,rise_pct,t_ticks,trades10,stage5_bid_krw,stage5_ask_krw,stage5_net_krw,bid_share_pct,stage6_kst,stage6_price,plus3_sec,t_age_sec,f03_a,f03_b,f15,post_status,post_high,post_low,max_return_pct,max_loss_pct,notes
KRW-FLOCK,32,13:00:56,93.1,8.9992,main,13:01:09,94.2,8.2820,43669686,16038505,27631182,27,21685259,0,13:01:22,13:01:22,94.7,8.8160,94.3,94.7,94.7,4,4,0.42418,16,65,42004301,9670503,32333799,81.286,13:01:36,95.0,14,40,N/A,true,false,in_progress,98.3,94.0,3.47,-1.05,"F03-B recycle candidate; post horizon open"
KRW-BONK,28,12:31:33,0.00613,11.3376,main,12:31:48,0.00619,12.1498,13657000,12996000,661000,11,12394000,0,13:04:06,13:04:06,0.00635,2.4736,0.00631,0.00635,0.00635,4,4,0.63391,22,22,26776616,3579620,23196996,88.208,13:04:28,0.00638,22,1975,N/A,false,false,in_progress,0.00653,0.00630,2.35,-1.25,"long T-to-entry; exact active-seconds10 unavailable"
KRW-SOPH,21,12:47:49,6.57,3.5112,main,12:47:50,6.57,3.5112,5589000,0,5589000,17,0,3,13:07:14,13:07:14,6.77,2.0026,6.73,6.77,6.77,4,4,0.59435,20,45,14344653,1499685,12844968,90.535,13:07:24,6.80,10,1175,N/A,false,false,in_progress_fake_leaning,6.84,6.54,0.59,-3.82,"three prior -4tick recycles"
KRW-SOPH,22,13:26:16,6.63,2.9946,main,13:26:26,6.62,3.1979,1903000,198000,1704000,11,0,0,13:29:04,13:29:04,6.71,4.8074,6.66,6.71,6.71,5,5,0.75075,8,40,27465000,0,27465000,100.000,13:29:19,6.74,15,183,N/A,false,false,in_progress,6.85,6.66,1.63,-1.19,"event-derived bounds only; continuous post-stage price unavailable"
KRW-BLEND,2,09:40:44,88.5,3.8173,reserve_handover,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,13:30:33,13:30:33,90.1,26.4295,89.6,90.1,90.1,5,5,0.55804,16,30,38597000,2761000,35835000,93.323,13:30:34,90.4,1,13790,N/A,false,false,in_progress,N/A,N/A,N/A,N/A,"reserve T handed over 10:45:23; old T late-signal risk"
KRW-IOST,11,13:43:37,1.09,2.91386,main,13:43:38,1.09,3.4464,80322000,7996000,72326000,58,30388000,2,13:43:57,13:43:57,1.10,6.1174,1.09,1.11,1.10,20,10,0.91743,10,131,46297000,10079000,36218000,82.122,13:43:59,1.103,2,22,N/A,false,false,in_progress,N/A,N/A,N/A,N/A,"two prior -4tick recycles; high-to-last 10tick wick"
