market,cycle_id,t_time_kst,t_price,t_value_x,stage2_time_kst,stage2_price,stage2_value_x,stage2_bid_krw,stage2_ask_krw,stage2_net_krw,stage2_bid_count,stage3_time_kst,last_event_kst,last_price,t_return_pct,last_bad_count,last_bad_reason,stage4,stage5,stage6,stage7,stage8,f03,n01,t02,final_alert
KRW-ZKP,15,2026-09-06T19:02:30+09:00,65.2,220.190438,2026-09-06T19:04:09+09:00,65.4,0.085737,193834,0,193834,1,2026-09-06T19:04:09+09:00,2026-09-06T19:45:49+09:00,66.0,1.226994,1,BID-value/count-down,none,none,none,none,none,not_evaluated_no_stage5,not_evaluated_no_stage5,not_evaluated_no_stage8,no
KRW-XRP,23,2026-09-06T18:10:55+09:00,1931,2.812911,2026-09-06T18:10:56+09:00,1931,2.723948,21827739,5997,21821742,21,2026-09-06T18:10:56+09:00,2026-09-06T19:45:50+09:00,1934,0.155360,0,,none,none,none,none,none,not_evaluated_no_stage5,not_evaluated_no_stage5,not_evaluated_no_stage8,no
KRW-ARB,42,2026-09-06T19:09:34+09:00,263,4.596473,2026-09-06T19:09:52+09:00,263,4.657888,634656,67742,566914,1,2026-09-06T19:09:52+09:00,2026-09-06T19:45:51+09:00,265,0.760456,0,,none,none,none,none,none,not_evaluated_no_stage5,not_evaluated_no_stage5,not_evaluated_no_stage8,no
KRW-ZKC,7,2026-09-06T16:42:12+09:00,67.1,15.673181,2026-09-06T16:42:20+09:00,67.1,25.001062,4985147,0,4985147,1,2026-09-06T16:42:20+09:00,2026-09-06T19:45:51+09:00,67.5,0.596125,0,,none,none,none,none,none,not_evaluated_no_stage5,not_evaluated_no_stage5,not_evaluated_no_stage8,no
KRW-ENA,10,2026-09-06T16:14:41+09:00,236,3.240445,2026-09-06T16:14:42+09:00,236,3.240445,15629341,2037274,13592067,8,2026-09-06T16:14:42+09:00,2026-09-06T19:45:52+09:00,238,0.847458,2,ASK>BID/net-;BID-value/count-down,none,none,none,none,none,not_evaluated_no_stage5,not_evaluated_no_stage5,not_evaluated_no_stage8,no
