cycle,t_time_kst,t_price,final_time_kst,final_price,stage5_to_final_sec,first_10pct_candle_kst,exact_first_10pct_second,max_price,max_return_pct,min_price,min_return_pct,observed_at_kst,observed_price,observed_return_pct,classification,note
KRW-PROM#28,2026-09-06T12:50:21+09:00,6720,2026-09-06T13:53:16+09:00,7010,12,2026-09-06T16:37:00+09:00,N/A,7760,10.6990,6955,-0.7846,2026-09-06T17:29:00+09:00,7330,4.5649,confirmed_delayed_success,"first +10% is minute-candle bounded; delay >=9824s from Stage6; reset at 13:56:59 did not end market outcome"
KRW-PROM#29,2026-09-06T14:08:52+09:00,7015,2026-09-06T16:36:47+09:00,7585,5,N/A,N/A,7760,2.3072,7185,-5.2736,2026-09-06T17:29:00+09:00,7330,-3.3619,in_progress_fake_leaning,"same PROM terminal wave as #28; later entry captured only +2.31% before drawdown"
