market,cycle_id,t_kst,t_price,t_value_x,stage5_kst,stage5_price,current_value_x,bid_krw,ask_krw,net_krw,bid_share_pct,trades10,rise_pct,t_ticks,prior_returns,return_kst,return_delay_sec,return_reason,stage6_reached
KRW-IOST,22,15:23:15,1.05,2.81026,15:25:43,1.07,0.94292,17560752,1395056,16165696,92.640,20,0.94340,20,1,15:25:49,6,5초 체결정체,false
KRW-ENSO,9,13:52:27,1245,3.66384,15:39:26,1276,2.14255,6953522,0,6953522,100.000,20,0.55162,31,0,15:39:27,1,5차 기준 -4틱,false
KRW-UP2,16,14:25:58,73.1,60.54272,15:42:06,74.4,10.15927,2798600,0,2798600,100.000,15,0.67659,13,0,15:42:12,6,5초 체결정체,false
KRW-IOST,25,15:39:07,1.04,2.92923,15:42:07,1.06,0.89605,13679037,0,13679037,100.000,11,0.95238,20,0,15:42:13,6,5초 체결정체,false
KRW-IOST,25,15:39:07,1.04,2.92923,15:42:56,1.06,0.98300,10249923,5057,10244866,99.951,11,0.95238,20,1,15:43:02,6,5초 체결정체,false
