retain_pct,activate_pct,fallback_min,avg_net_pct,median_net_pct,wins,losses,worst_net_pct,trail_exits,time_exits
60,5,30,3.1813523054730393,3.429411764705892,14,3,-6.522018348623847,10,7
60,5,60,3.0079122409081793,3.418225039619649,13,4,-5.054128440366978,12,5
80,5,30,2.9263473851308794,4.012149532710286,14,3,-6.522018348623847,10,7
60,5,15,2.8240263255909572,3.3991423670668985,13,4,-6.522018348623847,10,7
60,4,30,2.812843653968719,2.657527733755949,15,2,-6.522018348623847,13,4
80,5,60,2.8090426272223303,4.255029585798831,13,4,-5.054128440366978,12,5
75,5,30,2.744610180640018,3.7551401869159062,14,3,-6.522018348623847,10,7
60,4,60,2.726224610449447,2.657527733755949,14,3,-5.054128440366978,14,3
70,5,30,2.713758551515211,3.896913580246897,14,3,-6.522018348623847,10,7
50,5,30,2.687587230697184,2.9794165316045285,14,3,-6.522018348623847,10,7
60,5,20,2.6812319012137564,3.3991423670668985,12,5,-8.72385321100917,10,7
75,5,60,2.595134844964073,3.9828402366863913,13,4,-5.054128440366978,12,5
80,4,30,2.589736423515036,3.559305993690842,15,2,-6.522018348623847,13,4
60,3,30,2.578100574808776,2.4283630470016138,15,2,-6.522018348623847,14,3
80,5,15,2.569021405248798,4.012149532710286,13,4,-6.522018348623847,10,7
60,5,10,2.5559590450916625,2.7938906752411508,12,5,-4.136697247706422,8,9
70,5,60,2.5321126380718697,3.9823327615780335,13,4,-5.054128440366978,12,5
60,4,15,2.4769619261389044,2.6444794952681483,13,4,-6.522018348623847,12,5
50,5,60,2.45905864922281,2.8411764705882248,13,4,-5.054128440366978,12,5
80,4,60,2.4511253601662495,3.559305993690842,14,3,-5.054128440366978,14,3
60,4,20,2.447295410882282,2.657527733755949,13,4,-8.72385321100917,12,5
50,4,30,2.436830947725056,2.301372212692987,15,2,-6.522018348623847,13,4
60,3,60,2.4358621612393256,2.4283630470016138,14,3,-5.054128440366978,14,3
80,5,20,2.4262269808715966,4.012149532710286,12,5,-8.72385321100917,10,7
60,4,10,2.4131809171589857,2.585185185185168,12,5,-4.136697247706422,10,7
75,4,30,2.4099449656498653,3.3305993690851854,15,2,-6.522018348623847,13,4
75,5,15,2.387284200757936,3.7551401869159062,13,4,-6.522018348623847,10,7
60,3,15,2.3812672721044073,2.4283630470016138,13,4,-6.522018348623847,13,4
70,4,30,2.381039083150746,3.101892744479484,15,2,-6.522018348623847,13,4
70,5,15,2.356432571633129,3.896913580246897,13,4,-6.522018348623847,10,7
50,5,15,2.330261250815102,2.831854199683048,13,4,-6.522018348623847,10,7
50,4,60,2.3036609097072653,2.301372212692987,14,3,-5.054128440366978,14,3
75,4,60,2.3024686583617777,3.3305993690851854,14,3,-5.054128440366978,14,3
60,3,10,2.29482730044126,2.181603288797518,12,5,-4.136697247706422,11,6
60,3,20,2.273008168733402,2.4283630470016138,13,4,-8.72385321100917,13,4
70,4,60,2.2563328623145056,3.101892744479484,14,3,-5.054128440366978,14,3
50,3,30,2.2505419701275757,2.1979397781299537,15,2,-6.522018348623847,14,3
75,5,20,2.244489776380735,3.7551401869159062,12,5,-8.72385321100917,10,7
60,5,5,2.231227071102547,2.9145867098865463,11,6,-2.1183486238532057,7,10
70,5,20,2.213638147255928,3.896913580246897,12,5,-8.72385321100917,10,7
80,4,15,2.2060445701836415,3.4802469135802316,13,4,-6.522018348623847,12,5
