market,fetched_kst,trade_timestamp_kst,price,day_return_pct,trade_value_15m,trade_value_30m,trade_value_45m,trade_value_60m,trade_value_90m,trade_value_120m,median_15m,anomaly_15m,change_15m_pct,change_accel_pctp,dir_15_vs_30,dir_15_vs_45,dir_15_vs_60,dir_15_vs_90,dir_15_vs_120,bid_10s,ask_10s,net_10s,ratio_10s,trades_10s,prev_bid_10s,prev_ask_10s,prev_trades_10s,bid_15m_ticks,ask_15m_ticks,trades_15m_ticks,tick_coverage_sec,slope15_1m_pct,higher_low_15m,preexpansion_score
KRW-PENDLE,2026-09-06T18:00:31+09:00,2026-09-06T17:59:37.329+09:00,2905.0,5.4446461,13557096.81043697,51021226.97885489,61056426.2777379,104871085.49558784,195541753.49611837,256226425.07668766,34138673.334412456,0.3971184432867562,-63.81312805210799,-337.14034411036755,↓,↓,↓,↓,↓,499999.99998652004,0.0,499999.99998652004,999.0,1,0.0,0.0,0,2283907.5831924,4273848.01630597,25,9501.724,0.015271638104871817,False,-0.5631697123845676
KRW-PENGU,2026-09-06T17:56:05+09:00,2026-09-06T17:54:13.261+09:00,11.9,1.70940171,45924692.65764036,76820810.27181073,161991184.9320697,225889216.1890372,354527457.71334344,536463105.21133095,73531949.08529201,0.6245542683000401,48.64227677776969,112.36661433362326,↑,↓,↓,↓,↓,8826.586706546,0.0,8826.586706546,999.0,1,0.0,0.0,0,108726.63668150902,8901.784418826,4,17809.086,-0.05402160864345719,False,7.150398901246753
KRW-PEPE,2026-09-06T17:57:42+09:00,2026-09-06T17:57:39.911+09:00,0.00492,-0.20283976,7581184.70419214,25049831.08470681,148994525.65810597,160979196.80672905,204655350.0215185,247873507.5829435,20286288.989011668,0.37370978537763055,-56.60118970266328,29.30490620516126,↓,↓,↓,↓,↓,0.0,162414.60527,-162414.60527,0.0,2,0.0,76125.78648000001,1,2653379.3228747714,520191.5736988781,10,16650.763,-0.028245041426060803,False,-6.0028211119813815
KRW-PIEVERSE,2026-09-06T17:57:59+09:00,2026-09-06T17:54:53.172+09:00,1388.0,-1.76928521,18146697.60545041,30044025.73697429,156643088.3991854,174369163.6702416,275415119.04025686,301262885.52570355,18243730.108379476,0.9946813232626974,52.52750369528621,143.12986055217064,↑,↓,↓,↓,↓,5199.99999372,0.0,5199.99999372,999.0,1,0.0,0.0,0,360066.17993221,6850572.240860419,14,13027.188,0.05963568020818273,False,4.269934259014535
KRW-PLUME,2026-09-06T17:59:20+09:00,2026-09-06T17:58:57.048+09:00,18.9,-2.57731959,12273092.50693281,45967481.90167474,54371031.36621479,64175558.09701574,178126657.20578915,231074592.2913987,27814925.880975015,0.4412412443395155,-63.57526363469863,-364.5295215577359,↓,↓,↓,↓,↓,105470.99999985,0.0,105470.99999985,999.0,1,0.0,0.0,0,2469622.118174844,5059882.259851967,14,27661.158,-0.07142857142857197,True,-0.5146346312265333
KRW-POKT,2026-09-06T18:02:29+09:00,2026-09-06T18:00:41.553+09:00,10.3,-1.9047618999999998,4654583.13618478,10964698.02543238,43973425.42766518,60668312.3245489,93929239.7296427,139686074.81132492,18509100.83977056,0.2514753783275881,-26.23615864560306,54.64733676349057,↓,↓,↓,↓,↓,11000.000000009999,0.0,11000.000000009999,999.0,1,0.0,0.0,0,3665570.1357044275,279965.770095664,29,32435.772,0.03096614368290658,False,0.3695696514301581
KRW-POL,2026-09-06T18:00:59+09:00,2026-09-06T17:58:52.301+09:00,135.0,1.5037593999999999,82473733.99765612,151142562.4507039,168043323.79243073,223974918.47463715,338650574.8952435,616803515.588975,62300211.567627095,1.323811459422262,20.103598467603746,-286.20252623642966,↑,↑,↑,↑,→,103005.00000124,5807.57135,97197.42865124,17.736329662353608,2,0.0,0.0,0,1702756.18201399,41424515.15480959,42,13730.792,-0.09286775631500743,False,4.958782567054582
KRW-POLYX,2026-09-06T18:07:33+09:00,2026-09-06T17:55:11.502+09:00,49.0,-0.6085192700000001,7872080.229011601,23380711.7084968,39088917.68094715,48545267.789960854,82787394.37745751,107155204.6945107,15608418.725967776,0.504348349901377,-49.24065195936353,-47.97014090727286,↓,↓,↓,↓,↓,0.0,414395.17356503,-414395.17356503,0.0,2,0.0,0.0,0,0.0,4130916.2752842,14,32100.585,-0.04499361380965254,False,-6.445216815108485
KRW-POWR,2026-09-06T17:58:27+09:00,2026-09-06T17:45:59.205+09:00,66.3,-2.35640648,32215711.76191375,90870829.47045335,105535579.96029794,110553651.58862144,148668452.3225723,174058528.10890734,14991530.2827422,2.1489275046857297,-45.07604277260966,-345.0495557836803,↓,↓,↑,↑,↑,0.0,8560.452177225001,-8560.452177225001,0.0,1,0.0,0.0,0,277467.38230875204,8560.452177225001,4,31471.233,-0.022006097299153697,True,-3.636179744845697
KRW-PRL,2026-09-06T17:59:55+09:00,2026-09-06T17:57:55.652+09:00,171.0,-1.15606936,35707406.59406951,68196144.43961604,115065356.5758405,132895337.1624457,209323664.34809196,302378532.94993526,31995253.692955688,1.1160219867839685,9.907029210629027,40.5891628229487,→,→,→,→,→,5496.99999904,11000.000001690001,-5503.000002650001,0.4997272725632237,2,0.0,0.0,0,2430860.402672,9124914.886117104,51,13103.673,0.014614185502727983,False,-1.7129168278129345
KRW-PROM,2026-09-06T17:56:05+09:00,2026-09-06T17:56:04.596+09:00,7520.0,8.12365205,482757796.0967106,858468426.9111787,1083612285.4841707,1801742567.9838111,4872141003.136792,5128732955.367674,546920456.6570543,0.882683743532788,28.49191811532854,-38.383888844630064,↑,↑,→,↓,↓,0.0,3473538.1790824,-3473538.1790824,0.0,3,533329.629616,1880970.5664853,3,228196856.82231498,219107723.7141992,500,793.126,0.0898777471916184,True,-1.3167499292307197
KRW-PROS,2026-09-06T17:56:05+09:00,2026-09-06T17:34:25.984+09:00,566.0,-0.17636684,1257921.4925746399,12366419.83439507,15337330.52013199,29095023.86533334,57604656.54098808,80380231.52196258,12272895.3958042,0.102495902719475,-88.67604374716507,-362.584905940544,↓,↓,↓,↓,↓,0.0,5000.99999664,-5000.99999664,0.0,1,0.0,0.0,0,9999.9999984,133444.99999326002,12,30566.011,0.03149778255610805,True,-4.887254507008578
KRW-PROVE,2026-09-06T18:06:32+09:00,2026-09-06T16:48:29.425+09:00,248.0,-0.40160643,12971305.49554458,17077648.75934886,38459300.59748026,70880116.77427825,102303578.75252599,123065374.21056633,15711730.98912386,0.8255809308677519,215.8845878736267,296.67960177203304,↑,→,↓,↓,↓,389735.13243343995,0.0,389735.13243343995,999.0,2,0.0,0.0,0,389735.13243343995,1064839.03631063,5,27911.994,-0.030298949636412605,False,10.238845756235857
KRW-PUMP,2026-09-06T18:03:23+09:00,2026-09-06T18:00:18.770+09:00,5.44,3.6190476200000004,18988758.60467681,29571391.306422282,43823606.663335994,157801956.42236966,272654553.8597419,409575808.35663563,40660777.801557064,0.46700431303480017,79.43321987868724,105.18067431487168,↑,↑,↓,↓,↓,23667.999999904,57465.937187717995,-33797.937187813994,0.41186137663761074,3,0.0,0.0,0,3548881.514611994,4718350.663364841,25,13497.326,0.0019717124980285954,True,3.6031487276028944
KRW-PUNDIX,2026-09-06T17:56:05+09:00,2026-09-06T17:33:23.448+09:00,134.0,0.7518796999999999,4574107.22237197,28887044.05463621,65441551.61595005,80386547.61858746,126029945.62998623,172377289.02562967,23695376.298714526,0.19303796507422907,-81.18652940231414,-47.69798983296968,↓,↓,↓,↓,↓,309513.2,0.0,309513.2,999.0,1,0.0,0.0,0,309513.2,999000.499749,2,30425.562,-0.048070075487822245,False,3.2123417615816514
KRW-PYTH,2026-09-06T18:03:14+09:00,2026-09-06T18:01:11.900+09:00,74.6,-1.06100796,78166160.12401322,100339572.13243735,174492725.33163556,245154107.7181646,313468258.04291254,391174253.8091777,43732119.56060454,1.787385585454863,252.52202094254264,322.6198373511591,↑,↑,↑,↑,↑,499999.999999927,0.0,499999.999999927,999.0,2,0.0,0.0,0,3256759.032885939,71264201.39633842,22,15885.056,-0.06385493176099878,False,12.279174667563915
KRW-QKC,2026-09-06T18:05:32+09:00,2026-09-06T17:52:06.981+09:00,3.07,-0.32467532,7671121.42522685,13419622.83458343,19605233.82485596,25597918.07622659,36603301.09993732,44084911.25885357,5870592.830363605,1.306703027597253,33.44558657915449,40.512141226760804,↑,↑,↑,↑,↑,0.0,9476.0035255264,-9476.0035255264,0.0,1,0.0,0.0,0,0.0,9476.0035255264,1,31913.236,-0.00116586351624434,False,-3.916244180628943
KRW-QTUM,2026-09-06T18:02:57+09:00,2026-09-06T18:01:11.317+09:00,1185.0,-0.25252525000000003,10343728.47385681,13812582.77892255,53002627.211825304,57500858.33874647,129147907.99627025,146714765.8373938,19560002.198722765,0.5288204146793112,198.18861111437718,289.3372450206113,↑,↓,↓,↓,↓,0.0,257835.235779,-257835.235779,0.0,1,0.0,0.0,0,0.0,257835.235779,1,32313.385,-0.040317727765074016,False,4.3231626344189
KRW-QUID,2026-09-06T17:57:06+09:00,2026-09-06T17:56:57.566+09:00,93.4,3.77777778,39463156.776610546,81012325.5775256,97200940.7151817,128287697.99297512,201221887.4970593,279661923.17678636,32933525.74797097,1.1982669902581526,-5.020586655535119,-161.6773077376747,→,↑,↑,↑,↑,8445.277267128,0.0,8445.277267128,999.0,1,0.0,156553.777800036,1,20121745.05205708,19143317.393750027,64,7872.851,0.02294607163253662,True,1.3180936892839679
KRW-RAY,2026-09-06T18:03:31+09:00,2026-09-06T18:03:25.292+09:00,1494.0,20.0,497195313.76248413,1071076316.7588252,1597974935.7789903,2496964999.0978193,4734914421.922943,6133145379.092996,674056265.5333872,0.737616930789967,-13.362646408134504,-22.27942513561448,→,→,↓,↓,↓,397570.67094993003,513395.35513904004,-115824.68418911,0.7743947563418414,7,0.0,38610.74043666,1,71631712.79697451,124296913.19713005,500,351.641,0.03226762529399392,True,1.311378623868964
KRW-RE,2026-09-06T18:01:29+09:00,2026-09-06T18:01:27.083+09:00,611.0,-0.81168831,31586651.98452554,66232484.41019951,125470834.83764412,158450754.2837181,220172284.0388515,263567343.1481629,33924873.14702036,0.9310764950435727,-8.829865605657815,32.68465636249128,→,↓,↓,↓,→,0.0,242383.69999999998,-242383.69999999998,0.0,1,0.0,0.0,0,351939.1939059,7916079.42065473,30,12392.313,-0.021010692107761506,True,-4.3221227282022445
KRW-RED,2026-09-06T18:04:08+09:00,2026-09-06T17:57:42.505+09:00,174.0,0.57803468,11895977.85113,35320302.43309607,70406749.31125748,102242684.35464057,179529513.69792053,263637613.08041447,33461190.960772246,0.3555156738167533,-49.215279144959936,-15.977025249681347,↓,↓,↓,↓,↓,0.0,101162.79069642,-101162.79069642,0.0,1,0.0,0.0,0,0.0,1259099.7205209,4,32173.96,0.06387362637362637,True,0.39106724119842884
KRW-RENDER,2026-09-06T18:04:56+09:00,2026-09-06T18:04:33.750+09:00,2006.0,0.14977534,28217475.95278281,68613415.48781314,84123130.44170697,105197728.7115157,146699419.1628375,190049660.5730039,18292156.611851282,1.5425997355883683,-30.147741883034218,-190.603460476938,↓,→,→,↑,↑,5098.99999076,0.0,5098.99999076,999.0,1,0.0,0.0,0,145088.4213577,194562.89683056,7,32609.799,-0.01387261853381836,False,4.696859709147205
KRW-RLUSD,2026-09-06T17:59:37+09:00,2026-09-06T17:53:44.391+09:00,1362.0,-0.14662756999999998,10957720.63841813,15294369.436366571,32034838.98584834,33856731.68955806,49271649.07932067,57334664.5693132,4219551.2030721,2.5968924444950963,152.67715115879236,226.77197098968122,↑,→,↑,↑,↑,0.0,530683.07425914,-530683.07425914,0.0,3,0.0,0.0,0,0.0,530683.07425914,3,31775.129,-0.0036660475119757556,False,6.208949887708039
KRW-RVN,2026-09-06T17:59:55+09:00,2026-09-06T17:59:49.816+09:00,4.0,0.50251256,6719670.05617097,10324426.57135058,22141723.10655961,23488527.46433864,37119698.58409022,49711425.90729177,3646343.27659933,1.8428517411662626,86.41120496972476,155.90713405604816,↑,↓,↑,↑,↑,149889.9999999707,183171.9611702864,-33281.96117031571,0.8183020973424255,6,0.0,0.0,0,350042.6721808013,8263216.59042378,66,7923.513,-0.02145002145002151,False,9.305559720646972
KRW-SAFE,2026-09-06T18:02:19+09:00,2026-09-06T17:57:34.244+09:00,133.0,-0.74626866,8526800.65569313,18482860.68969436,65466934.22081048,76181548.07170033,106135209.41969544,128721319.01719336,14976830.673997551,0.5693327808330755,-14.35567255949637,64.45404042248329,→,↓,↓,↓,↓,0.0,125960.0,-125960.0,0.0,1,99999.9999999,0.0,1,223912.97043664,125960.0,4,32182.407,0.007999715565668777,False,-4.084653132633951
KRW-SAHARA,2026-09-06T18:05:42+09:00,2026-09-06T18:05:17.141+09:00,12.8,0.7874015700000001,95521038.62807956,163740779.0867503,191845673.15548876,230419660.16369146,367557805.3426233,440826172.58052385,39370594.80699548,2.426202578252821,40.0196453194492,-102.71295595568849,↑,↑,↑,↑,↑,2181960.6,0.0,2181960.6,999.0,1,350457.238208768,0.0,2,39137521.227588736,53678313.330246754,76,12617.336,-0.01679355127631014,False,6.6693139690643335
KRW-SAND,2026-09-06T18:00:31+09:00,2026-09-06T18:00:06.935+09:00,52.2,-0.19120458999999998,62255160.26300727,91667875.74174447,101342296.52773412,126021346.894395,168528859.10235262,202148594.15292835,21717323.753700703,2.86661289250241,111.66070269170572,-92.36489356241103,↑,↑,↑,↑,↑,0.0,170575.66113718302,-170575.66113718302,0.0,5,0.0,176078.101818994,1,8097655.524826637,31148823.351169672,69,12954.048,0.0041103397880893535,False,1.9447917490452937
KRW-SC,2026-09-06T18:01:48+09:00,2026-09-06T18:00:10.783+09:00,0.984,-2.5742574300000003,31065483.12568871,43311838.365189336,58940787.13415249,86405219.15023558,112415754.42218328,130226592.31423615,13071196.625594571,2.37663650968724,153.67125579933338,175.31438471008818,↑,↑,↑,↑,↑,24578.99999999739,0.0,24578.99999999739,999.0,1,0.0,0.0,0,13315464.128182616,16272577.978122523,102,13343.611,-0.012341974328693408,False,7.962369249841062
KRW-SEI,2026-09-06T17:57:42+09:00,2026-09-06T17:57:41.198+09:00,65.6,0.45941806999999996,68729435.56536186,136756719.72053996,207683851.5793335,264114955.53830466,367228736.4439505,451892317.7725596,69477208.00698583,0.9892371547004482,1.0321614612485153,5.120650065847244,→,→,→,↑,↑,95672.99999958399,0.0,95672.99999958399,999.0,2,0.0,0.0,0,6403426.426157551,13066760.882706577,22,17064.52,-0.012517960552096623,False,4.216377908018651
KRW-SENT,2026-09-06T18:02:28+09:00,2026-09-06T17:41:02.709+09:00,18.1,-1.09289617,3647549.75535515,10154857.77284509,26114522.12342014,43361963.16236358,144140778.0701485,177289480.83979174,16603552.694759246,0.21968489650449716,-43.94687103251466,15.279664848514251,↓,↓,↓,↓,↓,0.0,500000.000000087,-500000.000000087,0.0,2,0.0,0.0,0,0.0,518200.000000087,3,31012.619,-0.017635071585327386,False,-6.452753316874768
KRW-SHIB,2026-09-06T17:57:06+09:00,2026-09-06T17:56:54.133+09:00,0.0074,-0.80428954,43835248.28213031,134049541.82164815,168125837.0141933,196610601.2776776,281692288.0834221,437029870.025401,42540843.40287225,1.0304273440702556,-51.4098636011282,-216.15194612438913,↓,↓,↓,→,↓,27880.59999999996,0.0,27880.59999999996,999.0,1,3084799.6001999,0.0,3,16058688.07903551,17872416.41135702,111,5978.261,0.019768054823405573,False,-1.8665299215227185
KRW-SIGN,2026-09-06T18:05:04+09:00,2026-09-06T18:05:02.582+09:00,14.1,-0.70422535,24587670.021033548,59557536.3224398,98002382.74638715,146958455.5686325,230625784.50292245,324425653.7330243,37939108.69670297,0.6480824369806636,-29.68897905095851,-20.650107925759954,↓,↓,↓,↓,↓,305195.24066595,0.0,305195.24066595,999.0,1,0.0,0.0,0,11866312.768516866,7540235.649560603,28,25616.951,0.06347325660121847,False,-0.28710931932126993
KRW-SKR,2026-09-06T17:57:25+09:00,2026-09-06T17:57:16.865+09:00,29.7,-0.33557047,154024942.56886986,370220739.99297,525089966.38271636,608338978.3810271,872402866.4454092,983596205.4768988,129672007.66797912,1.1878041015856378,-28.756736067941645,-68.35567542082399,↓,↓,→,→,↑,995718.1675338801,0.0,995718.1675338801,999.0,4,133093.159999688,0.0,2,46082047.40439406,108457697.7897809,238,2002.246,-0.03605884804000106,False,1.3065845117442016
KRW-SKY,2026-09-06T17:57:24+09:00,2026-09-06T17:30:10.020+09:00,95.6,-0.8298755200000001,9044280.84188344,27736951.0939995,44236357.28745499,65166017.42045065,86176503.41743273,142480852.24431723,17596038.222785775,0.51399529413227,-51.61589692698077,-64.908884765116,↓,↓,↓,↓,↓,0.0,47800.0,-47800.0,0.0,1,0.0,0.0,0,0.0,47800.0,1,30608.898,-0.13599072587836605,False,-6.434605176454503
KRW-SLX,2026-09-06T18:05:13+09:00,2026-09-06T17:59:51.653+09:00,94.2,-1.875,29886160.11829169,51822510.35520833,69184119.73300195,91341162.4487281,329179989.56060153,410494152.6048819,24996906.700660557,1.1955943379787042,36.240348989306035,9.890597882854134,↑,↑,↑,↓,↓,16549.799999985,0.0,16549.799999985,999.0,1,457454.27286279,0.0,2,1268438.9226673462,10718851.706234355,22,6417.415,0.0018939202634315748,False,-0.5810255458336915
KRW-SNT,2026-09-06T18:05:32+09:00,2026-09-06T18:03:19.793+09:00,9.86,2.92275574,23950981.49902613,58287332.44239918,67555308.5351489,80046512.85922924,107191719.23092031,136510172.26401445,13811539.995315649,1.7341282367606652,-30.245990499905762,-300.72980055455326,↓,→,↑,↑,↑,1224387.80609686,0.0,1224387.80609686,999.0,2,0.0,0.0,0,11093614.738185024,6722384.25349676,56,18202.653,0.05368750967342577,True,6.907541060436731
KRW-SOL,2026-09-06T18:05:33+09:00,2026-09-06T18:05:24.942+09:00,143500.0,1.91761364,219379722.930192,430646249.721352,741736432.599074,865018423.887146,2172049466.098063,2851303860.585181,227894027.77497548,0.9626391927515073,3.840265782876262,35.928599513998535,→,↓,→,↓,↓,8776082.120946,0.0,8776082.120946,999.0,8,8189812.093284,0.0,1,143707649.142669,80269464.98208998,205,2082.931,0.00796305144131231,True,10.373481746878536
KRW-SOMI,2026-09-06T18:07:09+09:00,2026-09-06T18:06:42.233+09:00,175.0,2.94117647,52027630.805771425,64949459.53591393,102392857.27562189,118326041.2060817,153632709.05293003,190182630.46468696,14427506.33030115,3.606141603036499,302.63365110549387,368.12335153286944,↑,↑,↑,↑,↑,999999.9999985601,0.0,999999.9999985601,999.0,1,0.0,0.0,0,8356337.31257083,0.0,13,28843.839,0.057273768613974804,False,21.46675576334015
KRW-SONIC,2026-09-06T18:00:50+09:00,2026-09-06T17:57:29.301+09:00,30.5,-0.32679738999999997,23571988.60717421,63440046.32146042,74591295.87052433,102321354.29458153,207517273.1605478,227866081.70551288,29407653.303828113,0.8015596608011476,-40.87500129526629,-298.3959906594845,↓,→,→,↓,↓,49500.249874887,0.0,49500.249874887,999.0,1,0.0,0.0,0,1577548.836919341,3937825.1193896323,17,31991.278,-0.0442642810548878,False,-1.1182843731187377
KRW-SOON,2026-09-06T18:04:36+09:00,2026-09-06T17:49:58.876+09:00,260.0,0.0,15081280.97609466,28643226.79520952,49813867.52809556,67940428.16138549,152190483.5174139,250302059.044506,19648600.683087982,0.7675498738734854,11.202928969369385,47.1427713660711,→,↓,↓,↓,↓,0.0,1075041.4285338,-1075041.4285338,0.0,2,0.0,0.0,0,1785227.38630326,1524442.2319619998,9,31195.078,-0.01779781680113906,False,0.06723351281649048
KRW-SOPH,2026-09-06T18:04:47+09:00,2026-09-06T18:04:46.578+09:00,7.22,14.785373609999999,1583243501.3980768,2813431147.914002,2873181936.021711,2911459836.1105595,3029044682.663747,3181921084.9605966,52985386.23087849,29.88075796030348,28.699349719699963,-1930.1649522847292,↑,↑,↑,↑,↑,3754442.57340228,17467114.56367412,-13712671.990271838,0.21494349050702924,30,4071538.236441373,3343826.2893557795,25,97919065.21831496,165961245.30051872,500,152.512,0.16171018379742863,True,10.2174837429925
KRW-SPK,2026-09-06T18:04:36+09:00,2026-09-06T18:03:04.100+09:00,30.4,4.82758621,98981293.1195591,191268956.68453425,227039075.04439396,316414215.36412126,443233976.5268151,563267004.0635933,63409880.58134692,1.5609758638888858,7.253005760484221,-150.74911387616189,→,↑,↑,↑,↑,0.0,6393456.807699075,-6393456.807699075,0.0,6,0.0,0.0,0,58808142.021282114,37648989.82977631,100,5329.914,0.03892243819588585,True,-1.1016014057101202
KRW-SPX,2026-09-06T18:04:47+09:00,2026-09-06T18:02:33.121+09:00,816.0,0.12269939,11319824.07210794,20903558.11576064,31401631.36041117,42686441.42839328,82449235.07141525,105605264.6569457,10891441.65631632,1.03933202135304,18.114964590498552,26.824555195267354,↑,↑,→,↓,↓,17911.91771456,0.0,17911.91771456,999.0,1,0.0,0.0,0,17911.91771456,34843.200000000004,2,32310.736,0.04161312930732391,False,6.132630442156156
KRW-STEEM,2026-09-06T18:04:36+09:00,2026-09-06T18:03:13.478+09:00,62.5,-1.10759494,5530568.0869035,7722355.25882874,16458878.71112267,31091823.8294126,41972271.35753107,60261002.716115735,6350855.92274658,0.8708382230960253,152.33143791262887,227.24380226563994,↑,→,↓,↓,↓,0.0,200000.000000112,-200000.000000112,0.0,2,0.0,0.0,0,0.0,200000.000000112,2,32489.897,-0.0768559283437073,False,2.3110840385341476
KRW-STORJ,2026-09-06T18:03:05+09:00,2026-09-06T18:00:54.326+09:00,75.9,-2.69230769,39023907.62264683,91510024.84780058,104803894.86310828,129020392.16989928,173528268.55453765,214881126.22757,21976916.9105344,1.775677078887309,-25.649086490351426,-320.46351723713,↓,↑,↑,↑,↑,0.0,1125433.385401388,-1125433.385401388,0.0,1,0.0,0.0,0,2903775.000327877,36120132.62231897,75,12619.056,-0.00706933604795851,False,-5.04675521322396
KRW-STRAX,2026-09-06T18:07:26+09:00,2026-09-06T17:10:38.710+09:00,13.3,0.75757576,7876923.52748341,25429212.56004922,44156035.13009639,116426139.91258393,214169202.93552235,227017768.5966339,31147290.34635986,0.25289273769536663,-55.12309811632612,-48.85116632924345,↓,↓,↓,↓,↓,184907.546226781,0.0,184907.546226781,999.0,1,0.0,0.0,0,1251407.546226754,348872.180451168,5,29426.733,-0.02154708037061009,False,3.278182011464903
KRW-STX,2026-09-06T18:06:23+09:00,2026-09-06T18:04:02.577+09:00,361.0,-1.9021739100000001,21860298.107113272,44258525.63375993,73517854.249837,194311792.15851063,319199413.68050164,390294775.61077076,41667844.70142751,0.5246323217280388,-2.401660662181526,21.04761659040879,→,↓,↓,↓,↓,0.0,2385908.6672844,-2385908.6672844,0.0,1,0.0,0.0,0,798849.35013262,2826780.74700887,8,15844.323,-0.027695716395864108,False,-6.001952114290981
KRW-SUI,2026-09-06T18:06:32+09:00,2026-09-06T18:06:25.022+09:00,1083.0,-0.27624309,116946064.57027857,234439187.0941136,284202171.10681605,350367052.00654507,482026770.39116234,1072017096.4157001,68818054.62962297,1.6993515030275026,-0.4656084899313573,-136.57106891377535,→,↑,↑,↑,↓,601999.999994,0.0,601999.999994,999.0,2,0.0,0.0,0,72177593.40168653,39675798.74452596,135,3737.961,0.01584172357952545,False,0.8692866533302528
KRW-SUN,2026-09-06T18:06:41+09:00,2026-09-06T17:51:09.948+09:00,22.9,-0.43478261000000007,31260727.445441287,37370144.853604205,49920616.70340031,54021015.058137886,74857101.89730017,82861297.54066634,7657559.661870955,4.082335473153,411.68098947819766,463.0022028853081,↑,↑,↑,↑,↑,0.0,99565.217391384,-99565.217391384,0.0,6,0.0,0.0,0,0.0,99565.217391384,6,31718.106,-0.0435413642960819,False,12.9905690204683
KRW-SUPER,2026-09-06T18:02:19+09:00,2026-09-06T17:42:20.105+09:00,162.0,1.25,11377580.14451237,15715096.94831811,40986718.56824787,64903210.23712513,89441006.54694153,107300911.34401733,13299348.454894405,0.8554990632135224,162.3063070217889,245.14271986050807,↑,↓,↓,↓,↓,0.0,499999.99999896,-499999.99999896,0.0,1,0.0,0.0,0,3974075.536825079,872208.15227352,22,31330.004,-0.01755001755001755,True,8.90156104228976
KRW-SYRUP,2026-09-06T18:06:32+09:00,2026-09-06T18:01:04.249+09:00,290.0,-0.6849315100000001,2760886.33045413,9347680.92788385,28334215.051003437,37854843.947972,61442063.371377096,90600603.86995378,12784993.16109144,0.2159474233319368,-58.08452366904723,7.223549122347123,↓,↓,↓,↓,↓,0.0,498281.7869389,-498281.7869389,0.0,3,0.0,0.0,0,570221.8814187,1301432.6035352,9,30311.08,0.008608815426997247,True,-2.617986851887927
KRW-T,2026-09-06T18:01:09+09:00,2026-09-06T18:01:06.847+09:00,6.33,7.47028862,240264736.34778234,388514831.65057796,494775937.05536854,566878827.4695731,722286815.2312618,905067113.5969872,89978739.07549107,2.670238978857029,62.06717159746171,22.552252438610097,↑,↑,↑,↑,↑,553870.9999999558,170527.14476480757,383343.8552351482,3.247993161228725,5,0.0,5177371.7701349445,1,119023978.83194003,120878153.36352843,346,1379.268,0.04289326350009028,True,6.9399872154514775
KRW-TAIKO,2026-09-06T18:01:29+09:00,2026-09-06T18:00:16.201+09:00,113.0,5.607476640000001,17382657.58429963,32521236.64571914,88161465.75651366,103664689.96589983,223997468.0357663,310501186.0588541,45496406.98229888,0.38206660123870084,14.823574351169654,87.61560036660075,→,↓,↓,↓,↓,99999.99999973,0.0,99999.99999973,999.0,1,0.0,0.0,0,13265318.91996063,1303512.75869735,36,25776.806,0.022163120567375887,True,2.543174627473828
KRW-TAO,2026-09-06T18:02:57+09:00,2026-09-06T17:56:02.524+09:00,320100.0,-0.68259386,13713393.411636,32162629.120926,82526150.995499,136618446.652983,206152244.775589,263818753.644991,34766899.061303005,0.3944382093857653,-25.669585300323828,37.69827496322844,↓,↓,↓,↓,↓,0.0,1659360.0,-1659360.0,0.0,3,0.0,0.0,0,5143240.110640999,4041119.2807110003,15,15230.113,-0.00926783369412129,False,-3.8121524704110894
KRW-TFUEL,2026-09-06T18:03:49+09:00,2026-09-06T18:00:11.380+09:00,13.0,0.0,3005079.0534852203,5629203.58765339,10092169.44744141,14099862.66428481,25949752.527174022,37192345.5535001,4235329.53831571,0.70952662037256,14.517394824701423,55.7196218501887,→,↓,↓,↓,↓,69035.8628102,0.0,69035.8628102,999.0,2,0.0,0.0,0,70746.73123115,37535.261495376006,5,32201.244,-0.005500146670577863,False,5.257806590031126
KRW-THETA,2026-09-06T18:00:30+09:00,2026-09-06T17:57:13.868+09:00,244.0,-0.40816326999999997,11684236.05844561,19167052.78247683,31694529.60449128,40628944.6598532,46706294.09575076,68165776.65440722,8208615.88969657,1.4234112322287644,56.147564337924315,96.41632850852156,↑,↑,↑,↑,↑,2866489.4073137403,0.0,2866489.4073137403,999.0,3,0.0,0.0,0,2927739.4073137403,19639.665225,5,32054.583,0.016061207802826775,False,5.897768034070179
KRW-TIA,2026-09-06T18:04:09+09:00,2026-09-06T17:53:56.466+09:00,522.0,0.96711799,10955092.290966751,29322026.05943828,40991850.82409636,52125547.72154397,83179274.093258,136712195.74570465,15018379.266564805,0.7294457075908257,-40.354266917583494,-97.74252371553952,↓,↓,↓,↓,↓,0.0,5931.818179919999,-5931.818179919999,0.0,1,0.0,0.0,0,43150.99999028,1615912.95646046,7,32034.522,-0.1457956600361664,True,-0.1976097216500916
KRW-TOKAMAK,2026-09-06T17:57:24+09:00,2026-09-06T17:52:19.724+09:00,440.0,-1.12359551,5965107.1241816105,19622411.8840359,23309824.0980355,32326276.08556746,42756589.50908749,66539739.17983346,9085615.006608654,0.6565441216519452,-56.32295515791614,-326.69935918465,↓,↓,↓,↓,↓,0.0,5157.785599999999,-5157.785599999999,0.0,1,0.0,0.0,0,0.0,5157.785599999999,1,31926.444,-0.07279825715579906,False,-6.2778014661828605
