market,fetched_kst,trade_timestamp_kst,price,day_return_pct,trade_value_15m,trade_value_30m,trade_value_45m,trade_value_60m,trade_value_90m,trade_value_120m,median_15m,anomaly_15m,change_15m_pct,change_accel_pctp,dir_15_vs_30,dir_15_vs_45,dir_15_vs_60,dir_15_vs_90,dir_15_vs_120,bid_10s,ask_10s,net_10s,ratio_10s,trades_10s,prev_bid_10s,prev_ask_10s,prev_trades_10s,bid_15m_ticks,ask_15m_ticks,trades_15m_ticks,tick_coverage_sec,slope15_1m_pct,higher_low_15m,preexpansion_score
KRW-LINK,2026-09-06T18:02:57+09:00,2026-09-06T18:02:33.053+09:00,16630.0,1.09422492,29233888.9457886,156087848.1482005,175835398.0092518,208946692.417079,287841124.3849122,470603116.84408337,41860643.13101755,0.6983621549791029,-76.95468936910189,-619.3329089203277,↓,↓,↓,↓,↓,507756.7542642,0.0,507756.7542642,999.0,2,9562.249855200002,0.0,1,20092146.13276709,8004191.225145299,55,6870.263,0.01847957505572523,False,4.7681983704770134
KRW-LIT,2026-09-06T18:01:29+09:00,2026-09-06T18:01:14.235+09:00,6280.0,-3.1611410899999997,41300763.3567325,98953244.46958365,164700877.2095388,198292264.4922451,223160869.12650484,322941614.5660052,41223991.72192527,1.0018623047308248,-28.362556893451252,-16.050095912351114,↓,↓,↓,↑,→,0.0,42621.0894932,-42621.0894932,0.0,2,0.0,0.0,0,5529784.50572225,17814748.8707751,22,14882.641,0.00227564078251701,False,-4.897951464796092
KRW-LPT,2026-09-06T17:56:48+09:00,2026-09-06T17:56:11.482+09:00,1977.0,-1.15,16523407.93385561,30139165.49173243,42432871.03533862,48028966.52942003,67583106.20167774,111263337.2647068,12954731.550741505,1.2754728161781046,21.35503928899418,10.60114568400041,↑,↑,↑,↑,↑,0.0,3606276.12873728,-3606276.12873728,0.0,2,0.0,0.0,0,2282468.34166074,7048157.978086099,21,30498.142,-0.0487634594345598,False,-4.851081006299222
KRW-LSK,2026-09-06T17:55:46+09:00,2026-09-06T17:55:06.793+09:00,140.0,0.0,30454194.34401702,41617789.52201955,53557088.59211645,79193075.74044177,128655102.35923856,147534095.83588478,18535298.26793435,1.6430377274641486,172.79916423363267,179.29622815288062,↑,↑,↑,↑,↑,4999.9999994,0.0,4999.9999994,999.0,1,0.0,0.0,0,4999.9999994,0.0,1,32047.657,-0.028195488721804506,True,13.713245169108994
KRW-MANA,2026-09-06T18:03:14+09:00,2026-09-06T18:01:34.349+09:00,102.0,-1.9230769200000002,8646587.70786242,19558793.95297148,29662818.21636651,38008866.00983741,48650433.284422256,85896929.01901518,9225036.028432965,0.9372958198984069,-20.762240800407415,-28.760855616109314,↓,↓,↓,→,↓,14759.299999249999,0.0,14759.299999249999,999.0,1,0.0,0.0,0,14759.299999249999,409617.77120604,3,32364.711,0.01750700280112045,False,0.03102540188824765
KRW-MANTRA,2026-09-06T17:59:55+09:00,2026-09-06T17:58:34.029+09:00,6.16,-1.5974440900000002,7147977.12160216,35546228.21632362,45061631.29146195,59696079.50410306,78422644.58473577,105999654.6808132,13814844.053890575,0.5174127984158552,-74.82951644536028,-273.27458356942026,↓,↓,↓,↓,↓,0.0,99999.9999999616,-99999.9999999616,0.0,1,0.0,0.0,0,858649.4739185264,3524479.9862635485,14,32313.552,-0.008110738617929967,False,-6.430845921742559
KRW-MASK,2026-09-06T18:03:58+09:00,2026-09-06T18:00:48.362+09:00,623.0,-0.16025641,323461.30384401,8716682.22732068,11971181.3177885,20788054.7730771,32559636.31503774,64821120.28618179,8605047.189382635,0.037589718769132814,-96.14616001660035,-254.0420969999529,↓,↓,↓,↓,↓,0.0,26679.32367149,-26679.32367149,0.0,2,0.0,0.0,0,0.0,26679.32367149,2,32358.066,-0.02812901843120446,False,-6.958651309353954
KRW-MBL,2026-09-06T18:05:23+09:00,2026-09-06T18:03:12.674+09:00,0.95,0.9564293300000001,7142243.88697454,13292735.330355009,41773343.32655117,60003205.94782796,86356768.42038888,111569876.31800091,15672777.34787087,0.45571016090168637,16.124767471410006,94.5294017959233,→,↓,↓,↓,↓,0.0,1136400.0,-1136400.0,0.0,1,0.0,0.0,0,61502.05,2426204.4294850323,28,32565.863,0.01317546201953483,False,1.7949883996955713
KRW-ME,2026-09-06T18:00:49+09:00,2026-09-06T17:56:15.552+09:00,88.3,0.22701475999999998,14307497.59512407,24441972.855949,46003963.47479031,69366197.67784683,122206078.93272471,163968030.18595946,22978155.16633874,0.6226564966400554,41.17650126820145,94.17492594996892,↑,→,↓,↓,↓,199999.99999865997,0.0,199999.99999865997,999.0,2,0.0,0.0,0,210033.97508309197,20000.000000758,4,29699.763,-0.0024202136241893778,True,7.597833197008477
KRW-MED,2026-09-06T18:04:47+09:00,2026-09-06T18:02:58.835+09:00,2.03,-0.49019608,10539499.0568654,24779669.282991562,69120218.56846288,77417953.20192108,99220675.15170763,109639681.90852481,11268952.42979218,0.9352687503588802,-25.987548677411255,41.89699390133367,↓,↓,↓,↓,↓,0.0,103000.0000000048,-103000.0000000048,0.0,1,0.0,0.0,0,0.0,202024.39024389087,2,32273.04,-0.06302521008403392,True,-4.133264496578558
KRW-MEGA,2026-09-06T18:06:06+09:00,2026-09-06T18:02:11.472+09:00,53.7,-1.8281535599999998,11559538.02875252,37289922.0475303,86508042.5098531,112938170.37203123,129232293.38683087,199021658.99564737,26080255.940477956,0.44322947041372773,-55.0743664753838,-7.35264077168646,↓,↓,↓,↓,↓,698100.0,1263544.353,-565444.3529999999,0.5524934667647555,8,0.0,5999.999999709,1,2612281.112910687,1344126.1373858089,16,25079.07,0.023993175274588666,False,-0.012447582544899305
KRW-MET2,2026-09-06T18:05:22+09:00,2026-09-06T18:02:39.331+09:00,274.0,4.980842910000001,16501292.62347522,40156677.13848534,55810041.453431554,164529285.7170448,216416030.71116233,355895522.29296905,25943372.497058764,0.6360504065285265,-30.242974435674018,-81.36310451801926,↓,↓,↓,↓,↓,4034990.5047457498,0.0,4034990.5047457498,999.0,2,0.0,0.0,0,4039990.5047452496,950759.0763626399,4,18194.999,-0.005201109570041608,True,-0.30034455281862105
