market,bid_ratio,move_pct_per_net_m,stage5_price,stage6_price,entry_saving_pct,seconds_saved,robust_bid68
KRW-ANKR,0.6513886873,0.5447538320,5.57,5.60,0.538600,1,False
KRW-DRV,0.6872435735,5.6562160813,230.0,233.0,1.304348,2,True
KRW-EGLD,0.8730585105,0.2002062745,5885.0,5900.0,0.254885,6,True
KRW-HIVE,0.7758128393,0.1725863564,62.5,62.8,0.480000,7,True
KRW-INJ,1.0,0.5278365639,6255.0,6270.0,0.239808,6,True
KRW-IQ,0.7196695981,1.5197502585,0.927,0.930,0.323625,9,True
KRW-SC,0.7411538357,0.5461883021,0.831,0.834,0.361011,2,True
